seed,outer_fold,w_prior_fc,w_sc,weight_sum
0,0,0.65,0.35,1.0
0,1,0.85,0.15,1.0
0,2,0.85,0.15,1.0
0,3,0.5,0.5,1.0
0,4,0.6,0.4,1.0
1,0,0.55,0.45,1.0
1,1,0.8,0.2,1.0
1,2,0.6,0.4,1.0
1,3,0.7,0.3,1.0
1,4,0.8,0.2,1.0
2,0,0.6,0.4,1.0
2,1,0.65,0.35,1.0
2,2,0.8,0.2,1.0
2,3,1.0,0.0,1.0
2,4,0.75,0.25,1.0
3,0,0.9,0.1,1.0
3,1,0.9,0.1,1.0
3,2,0.55,0.45,1.0
3,3,0.95,0.05,1.0
3,4,0.6,0.4,1.0
4,0,0.8,0.2,1.0
4,1,0.9,0.1,1.0
4,2,0.65,0.35,1.0
4,3,0.85,0.15,1.0
4,4,0.65,0.35,1.0
5,0,0.75,0.25,1.0
5,1,0.75,0.25,1.0
5,2,0.85,0.15,1.0
5,3,0.8,0.2,1.0
5,4,0.8,0.2,1.0
6,0,0.75,0.25,1.0
6,1,0.7,0.3,1.0
6,2,0.55,0.45,1.0
6,3,1.0,0.0,1.0
6,4,0.7,0.3,1.0
7,0,1.0,0.0,1.0
7,1,0.5,0.5,1.0
7,2,0.55,0.45,1.0
7,3,0.55,0.45,1.0
7,4,0.8,0.2,1.0
8,0,0.8,0.2,1.0
8,1,1.0,0.0,1.0
8,2,0.55,0.45,1.0
8,3,1.0,0.0,1.0
8,4,0.5,0.5,1.0
9,0,0.85,0.15,1.0
9,1,0.85,0.15,1.0
9,2,0.9,0.1,1.0
9,3,1.0,0.0,1.0
9,4,0.8,0.2,1.0
