rank	roi_i_1based	roi_j_1based	mean_abs_coef	sign_consistency	top10_frequency
1	24	68	0.0790179093899775	1.0	0.6
2	24	67	0.0746499841540914	1.0	0.46
3	12	68	0.0671867547138216	1.0	0.5
4	24	91	0.0653575561725326	1.0	0.32
5	32	107	0.0649969517990635	1.0	0.26
6	24	36	0.0649514097212454	1.0	0.3
7	32	35	0.0608685993940878	1.0	0.42
8	32	100	0.0575842301691318	1.0	0.16
9	12	67	0.0558039755913791	1.0	0.14
10	24	93	0.0553578702236923	1.0	0.1
11	14	68	0.053902833664363	1.0	0.1
12	74	107	0.0530527032021678	1.0	0.1
13	32	103	0.0528541619520212	1.0	0.12
14	74	93	0.0527685367774265	1.0	0.02
15	12	105	0.0526664885819934	1.0	0.08
16	61	67	0.0520585016227775	1.0	0.12
17	62	99	0.0517151959374814	1.0	0.14
18	95	108	0.0512245914247374	1.0	0.12
19	24	99	0.0503141505233354	1.0	0.04
20	31	103	0.0502097431333971	1.0	0.08
