rank	roi_i_1based	roi_j_1based	mean_abs_coef	sign_consistency	top10_frequency
1	61	64	0.271793567467149	1.0	0.92
2	14	64	0.2533949474365667	1.0	0.92
3	12	90	0.2179653483622615	1.0	0.72
4	14	61	0.188340534752678	1.0	0.42
5	64	102	0.183613718313794	1.0	0.4
6	61	103	0.1728989039393378	1.0	0.3
7	12	64	0.1728235276219341	1.0	0.28
8	81	82	0.1712777023346019	1.0	0.62
9	13	81	0.1679101134614679	1.0	0.32
10	65	77	0.1620933417626368	1.0	0.34
11	75	91	0.1618695441286596	1.0	0.22
12	29	65	0.1538792226720214	1.0	0.18
13	16	65	0.1510506637852192	1.0	0.08
14	31	101	0.1507877125967908	1.0	0.2
15	13	93	0.1462472830046171	1.0	0.16
16	12	20	0.1441490582515174	1.0	0.12
17	9	101	0.1421827278525144	1.0	0.06
18	10	101	0.1416730304456752	1.0	0.08
19	19	64	0.1363691471592308	1.0	0.2
20	90	101	0.1324501964639199	1.0	0.02
