rank	roi_i_1based	roi_j_1based	roi_i_name	roi_j_name	mean_abs_coef	mean_signed_coef	top20_frequency	sign_consistency	top10_frequency
1	24	68	Frontal_Sup_Medial_R	Precuneus_R	0.0790179093899775	-0.0790179093899775	0.7	1.0	0.6
2	24	67	Frontal_Sup_Medial_R	Precuneus_L	0.0746499841540914	-0.0746499841540914	0.7	1.0	0.46
3	12	68	Frontal_Inf_Oper_R	Precuneus_R	0.0671867547138216	0.0671867547138216	0.72	1.0	0.5
4	24	91	Frontal_Sup_Medial_R	Cerebelum_Crus1_L	0.0653575561725326	-0.0653575561725326	0.58	1.0	0.32
5	32	107	Cingulum_Ant_R	Cerebelum_10_L	0.0649969517990635	0.0649969517990635	0.34	1.0	0.26
6	24	36	Frontal_Sup_Medial_R	Cingulum_Post_R	0.0649514097212454	-0.0649514097212454	0.46	1.0	0.3
7	32	35	Cingulum_Ant_R	Cingulum_Post_L	0.0608685993940878	0.0608685993940878	0.64	1.0	0.42
8	32	100	Cingulum_Ant_R	Cerebelum_6_R	0.0575842301691318	0.0575842301691318	0.3	1.0	0.16
9	12	67	Frontal_Inf_Oper_R	Precuneus_L	0.0558039755913791	0.0558039755913791	0.3	1.0	0.14
10	24	93	Frontal_Sup_Medial_R	Cerebelum_Crus2_L	0.0553578702236923	-0.0553578702236923	0.2	1.0	0.1
11	14	68	Frontal_Inf_Tri_R	Precuneus_R	0.053902833664363	0.053902833664363	0.26	1.0	0.1
12	74	107	Putamen_R	Cerebelum_10_L	0.0530527032021678	0.0530527032021678	0.26	1.0	0.1
13	32	103	Cingulum_Ant_R	Cerebelum_8_L	0.0528541619520212	0.0528541619520212	0.24	1.0	0.12
14	74	93	Putamen_R	Cerebelum_Crus2_L	0.0527685367774265	0.0527685367774265	0.2	1.0	0.02
15	12	105	Frontal_Inf_Oper_R	Cerebelum_9_L	0.0526664885819934	0.0526664885819934	0.18	1.0	0.08
16	61	67	Parietal_Inf_L	Precuneus_L	0.0520585016227775	0.0520585016227775	0.18	1.0	0.12
17	62	99	Parietal_Inf_R	Cerebelum_6_L	0.0517151959374814	-0.0517151959374814	0.2	1.0	0.14
18	95	108	Cerebelum_3_L	Cerebelum_10_R	0.0512245914247374	0.0512245914247374	0.22	1.0	0.12
19	24	99	Frontal_Sup_Medial_R	Cerebelum_6_L	0.0503141505233354	-0.0503141505233354	0.14	1.0	0.04
20	31	103	Cingulum_Ant_L	Cerebelum_8_L	0.0502097431333971	0.0502097431333971	0.24	1.0	0.08
