rank	roi_i_1based	roi_j_1based	roi_i_name	roi_j_name	mean_abs_coef	mean_signed_coef	top20_frequency	sign_consistency	top10_frequency
1	61	64	Parietal_Inf_L	SupraMarginal_R	0.271793567467149	-0.271793567467149	0.94	1.0	0.92
2	14	64	Frontal_Inf_Tri_R	SupraMarginal_R	0.2533949474365667	-0.2533949474365667	0.92	1.0	0.92
3	12	90	Frontal_Inf_Oper_R	Temporal_Inf_R	0.2179653483622615	0.2179653483622615	0.84	1.0	0.72
4	14	61	Frontal_Inf_Tri_R	Parietal_Inf_L	0.188340534752678	-0.188340534752678	0.66	1.0	0.42
5	64	102	SupraMarginal_R	Cerebelum_7b_R	0.183613718313794	-0.183613718313794	0.68	1.0	0.4
6	61	103	Parietal_Inf_L	Cerebelum_8_L	0.1728989039393378	-0.1728989039393378	0.54	1.0	0.3
7	12	64	Frontal_Inf_Oper_R	SupraMarginal_R	0.1728235276219341	0.1728235276219341	0.38	1.0	0.28
8	81	82	Temporal_Sup_L	Temporal_Sup_R	0.1712777023346019	0.1712777023346019	0.76	1.0	0.62
9	13	81	Frontal_Inf_Tri_L	Temporal_Sup_L	0.1679101134614679	-0.1679101134614679	0.44	1.0	0.32
10	65	77	Angular_L	Thalamus_L	0.1620933417626368	0.1620933417626368	0.54	1.0	0.34
11	75	91	Pallidum_L	Cerebelum_Crus1_L	0.1618695441286596	0.1618695441286596	0.46	1.0	0.22
12	29	65	Insula_L	Angular_L	0.1538792226720214	0.1538792226720214	0.52	1.0	0.18
13	16	65	Frontal_Inf_Orb_R	Angular_L	0.1510506637852192	0.1510506637852192	0.32	1.0	0.08
14	31	101	Cingulum_Ant_L	Cerebelum_7b_L	0.1507877125967908	-0.1507877125967908	0.32	1.0	0.2
15	13	93	Frontal_Inf_Tri_L	Cerebelum_Crus2_L	0.1462472830046171	-0.1462472830046171	0.32	1.0	0.16
16	12	20	Frontal_Inf_Oper_R	Supp_Motor_Area_R	0.1441490582515174	0.1441490582515174	0.32	1.0	0.12
17	9	101	Frontal_Mid_Orb_L	Cerebelum_7b_L	0.1421827278525144	0.1421827278525144	0.22	1.0	0.06
18	10	101	Frontal_Mid_Orb_R	Cerebelum_7b_L	0.1416730304456752	0.1416730304456752	0.22	1.0	0.08
19	19	64	Supp_Motor_Area_L	SupraMarginal_R	0.1363691471592308	-0.1363691471592308	0.28	1.0	0.2
20	90	101	Temporal_Inf_R	Cerebelum_7b_L	0.1324501964639199	0.1324501964639199	0.18	1.0	0.02
