task,seed,outer_fold,n_train,n_test,w_fp,w_s,prediction_max_abs_error,prediction_mean_abs_error,prediction_rmse_difference,prediction_pearson,stored_lf1_pearson,reconstructed_lf1_pearson,pearson_abs_error,stored_lf1_rmse,reconstructed_lf1_rmse,rmse_abs_error,stored_lf1_mae,reconstructed_lf1_mae,mae_abs_error,coefficient_length,coefficient_finite,status
fluid_intelligence,0,0,329,83,0.3,0.7,0.0,0.0,0.0,1.0,0.5068562904526167,0.5068562904526167,0.0,3.77031410410168,3.77031410410168,0.0,2.906950642995556,2.906950642995556,0.0,6670,True,PASS
fluid_intelligence,0,1,329,83,0.35,0.65,0.0,0.0,0.0,1.0,0.3689529294778181,0.3689529294778181,0.0,4.7196944797099745,4.7196944797099745,0.0,4.007442494707384,4.007442494707384,0.0,6670,True,PASS
fluid_intelligence,0,2,330,82,0.4,0.6,0.0,0.0,0.0,1.0,0.33051830412783134,0.33051830412783134,0.0,4.881928179289505,4.881928179289505,0.0,4.249160810399762,4.249160810399762,0.0,6670,True,PASS
fluid_intelligence,0,3,330,82,0.35,0.65,0.0,0.0,0.0,0.9999999999999998,0.22756558466653715,0.22756558466653715,0.0,4.653814351527041,4.653814351527041,0.0,3.971300214264687,3.971300214264687,0.0,6670,True,PASS
fluid_intelligence,0,4,330,82,0.4,0.6,0.0,0.0,0.0,1.0,0.46463941347364884,0.46463941347364884,0.0,4.592529161730442,4.592529161730442,0.0,3.7119409633233147,3.7119409633233147,0.0,6670,True,PASS
fluid_intelligence,1,0,329,83,0.25,0.75,0.0,0.0,0.0,1.0,0.2703467731788337,0.2703467731788337,0.0,4.464081193185517,4.464081193185517,0.0,3.5692052596692574,3.5692052596692574,0.0,6670,True,PASS
fluid_intelligence,1,1,329,83,0.4,0.6,0.0,0.0,0.0,1.0,0.3825843691252191,0.3825843691252191,0.0,4.309870742102777,4.309870742102777,0.0,3.6263698737556207,3.6263698737556207,0.0,6670,True,PASS
fluid_intelligence,1,2,330,82,0.65,0.35,0.0,0.0,0.0,0.9999999999999998,0.4520422123898718,0.4520422123898718,0.0,4.821243485026942,4.821243485026942,0.0,4.148839990954124,4.148839990954124,0.0,6670,True,PASS
fluid_intelligence,1,3,330,82,0.65,0.35,0.0,0.0,0.0,0.9999999999999999,0.28331564139356413,0.28331564139356413,0.0,4.977861063509075,4.977861063509075,0.0,4.24427489354662,4.24427489354662,0.0,6670,True,PASS
fluid_intelligence,1,4,330,82,0.4,0.6,0.0,0.0,0.0,1.0,0.3517337366313573,0.3517337366313573,0.0,4.569133962899343,4.569133962899343,0.0,3.8395470595341843,3.8395470595341843,0.0,6670,True,PASS
fluid_intelligence,2,0,329,83,0.5,0.5,0.0,0.0,0.0,1.0,0.4548573823926859,0.4548573823926859,0.0,4.687460837244794,4.687460837244794,0.0,4.0170641860468415,4.0170641860468415,0.0,6670,True,PASS
fluid_intelligence,2,1,329,83,0.45,0.55,0.0,0.0,0.0,0.9999999999999997,0.3224290543571169,0.3224290543571169,0.0,4.4666957844825195,4.4666957844825195,0.0,3.840056849150298,3.840056849150298,0.0,6670,True,PASS
fluid_intelligence,2,2,330,82,0.4,0.6,0.0,0.0,0.0,1.0,0.43574407373714596,0.43574407373714596,0.0,4.2483889002627615,4.2483889002627615,0.0,3.4992249162995406,3.4992249162995406,0.0,6670,True,PASS
fluid_intelligence,2,3,330,82,0.4,0.6,0.0,0.0,0.0,1.0,0.4709397094838847,0.4709397094838847,0.0,4.511768627865176,4.511768627865176,0.0,3.7062275334324437,3.7062275334324437,0.0,6670,True,PASS
fluid_intelligence,2,4,330,82,0.45,0.55,0.0,0.0,0.0,1.0,0.36645421068561046,0.36645421068561046,0.0,4.528252834495875,4.528252834495875,0.0,3.8507614847583205,3.8507614847583205,0.0,6670,True,PASS
fluid_intelligence,3,0,329,83,0.35,0.65,0.0,0.0,0.0,1.0,0.20692020050719995,0.20692020050719995,0.0,4.833114866529274,4.833114866529274,0.0,4.171456491688869,4.171456491688869,0.0,6670,True,PASS
fluid_intelligence,3,1,329,83,0.4,0.6,0.0,0.0,0.0,1.0,0.37659732077760616,0.37659732077760616,0.0,4.414684715508562,4.414684715508562,0.0,3.6019103351483595,3.6019103351483595,0.0,6670,True,PASS
fluid_intelligence,3,2,330,82,0.2,0.8,0.0,0.0,0.0,1.0,0.4130150082288935,0.4130150082288935,0.0,4.391353555264136,4.391353555264136,0.0,3.505567988266973,3.505567988266973,0.0,6670,True,PASS
fluid_intelligence,3,3,330,82,0.3,0.7,0.0,0.0,0.0,1.0,0.465203196704359,0.465203196704359,0.0,4.52262038234375,4.52262038234375,0.0,3.7919460047135733,3.7919460047135733,0.0,6670,True,PASS
fluid_intelligence,3,4,330,82,0.25,0.75,0.0,0.0,0.0,1.0,0.2817002105227824,0.2817002105227824,0.0,4.813699542011968,4.813699542011968,0.0,3.930588644906102,3.930588644906102,0.0,6670,True,PASS
fluid_intelligence,4,0,329,83,0.45,0.55,0.0,0.0,0.0,0.9999999999999999,0.387937264890535,0.387937264890535,0.0,4.4672727741691425,4.4672727741691425,0.0,3.8331520793755307,3.8331520793755307,0.0,6670,True,PASS
fluid_intelligence,4,1,329,83,0.6,0.4,0.0,0.0,0.0,1.0,0.2623569708978686,0.2623569708978686,0.0,4.587900698597674,4.587900698597674,0.0,3.7859983704045983,3.7859983704045983,0.0,6670,True,PASS
fluid_intelligence,4,2,330,82,0.45,0.55,0.0,0.0,0.0,1.0,0.3550561323633974,0.3550561323633974,0.0,4.574497367284964,4.574497367284964,0.0,3.7458276870709373,3.7458276870709373,0.0,6670,True,PASS
fluid_intelligence,4,3,330,82,0.0,1.0,0.0,0.0,0.0,1.0,0.228817611988479,0.228817611988479,0.0,5.163108484111948,5.163108484111948,0.0,4.186189801745046,4.186189801745046,0.0,6670,True,PASS
fluid_intelligence,4,4,330,82,0.55,0.45,0.0,0.0,0.0,1.0,0.4285274166790197,0.4285274166790197,0.0,4.579364268058304,4.579364268058304,0.0,3.8743936850314444,3.8743936850314444,0.0,6670,True,PASS
fluid_intelligence,5,0,329,83,0.2,0.8,0.0,0.0,0.0,0.9999999999999998,0.31703552964636944,0.31703552964636944,0.0,4.674410497293466,4.674410497293466,0.0,3.860140539975604,3.860140539975604,0.0,6670,True,PASS
fluid_intelligence,5,1,329,83,0.2,0.8,0.0,0.0,0.0,1.0,0.3802504701443622,0.3802504701443622,0.0,4.442333051615256,4.442333051615256,0.0,3.631874467847024,3.631874467847024,0.0,6670,True,PASS
fluid_intelligence,5,2,330,82,0.45,0.55,0.0,0.0,0.0,1.0,0.4290493549613205,0.4290493549613205,0.0,4.783151122785968,4.783151122785968,0.0,4.0143680312148495,4.0143680312148495,0.0,6670,True,PASS
fluid_intelligence,5,3,330,82,0.3,0.7,0.0,0.0,0.0,1.0,0.4387322145546775,0.4387322145546775,0.0,4.630665188871341,4.630665188871341,0.0,3.754454954816543,3.754454954816543,0.0,6670,True,PASS
fluid_intelligence,5,4,330,82,0.35,0.65,0.0,0.0,0.0,1.0,0.2459108270388048,0.2459108270388048,0.0,4.396938878465469,4.396938878465469,0.0,3.722294242304377,3.722294242304377,0.0,6670,True,PASS
fluid_intelligence,6,0,329,83,0.45,0.55,0.0,0.0,0.0,1.0,0.3441212463921051,0.3441212463921051,0.0,4.240380097021026,4.240380097021026,0.0,3.6034468369405896,3.6034468369405896,0.0,6670,True,PASS
fluid_intelligence,6,1,329,83,0.2,0.8,0.0,0.0,0.0,1.0,0.4465388549250541,0.4465388549250541,0.0,4.203093832850089,4.203093832850089,0.0,3.4559490043882,3.4559490043882,0.0,6670,True,PASS
fluid_intelligence,6,2,330,82,0.45,0.55,0.0,0.0,0.0,1.0,0.3072733493107062,0.3072733493107062,0.0,4.61044977468199,4.61044977468199,0.0,3.824441668878985,3.824441668878985,0.0,6670,True,PASS
