seed,outer_fold,lambda_fc,lambda_l,gamma,lifting,w_fp,w_s
0,0,0.1,0.5,0.5,prod,0.3,0.7
0,1,1.0,0.03,0.5,prod,0.35,0.65
0,2,1.0,0.03,0.5,prod,0.4,0.6
0,3,0.1,0.1,0.5,prod,0.35,0.65
0,4,1.0,0.03,0.5,prod,0.4,0.6
1,0,0.1,0.5,0.5,prod,0.25,0.75
1,1,10.0,0.03,0.5,prod,0.4,0.6
1,2,1.0,0.03,0.5,prod,0.65,0.35
1,3,1.0,0.03,0.5,prod,0.65,0.35
1,4,1.0,0.03,0.5,prod,0.4,0.6
2,0,1.0,0.03,0.5,prod,0.5,0.5
2,1,1.0,0.03,0.5,prod,0.45,0.55
2,2,1.0,0.03,0.5,prod,0.4,0.6
2,3,1.0,0.03,0.5,prod,0.4,0.6
2,4,1.0,0.03,0.5,prod,0.45,0.55
3,0,0.1,5.0,0.5,prod,0.35,0.65
3,1,1.0,0.03,0.5,prod,0.4,0.6
3,2,0.1,0.5,0.5,prod,0.2,0.8
3,3,0.1,0.03,0.5,prod,0.3,0.7
3,4,0.1,0.5,0.5,prod,0.25,0.75
4,0,1.0,5.0,0.5,prod,0.45,0.55
4,1,0.1,0.03,0.5,prod,0.6,0.4
4,2,1.0,0.03,0.5,prod,0.45,0.55
4,3,0.1,0.03,0.5,prod,0.0,1.0
4,4,1.0,0.03,0.5,prod,0.55,0.45
5,0,0.1,0.03,0.5,prod,0.2,0.8
5,1,0.01,0.03,0.5,prod,0.2,0.8
5,2,1.0,0.03,0.5,prod,0.45,0.55
5,3,0.1,0.5,0.5,prod,0.3,0.7
5,4,1.0,0.03,0.5,prod,0.35,0.65
6,0,1.0,0.03,0.5,prod,0.45,0.55
6,1,0.1,5.0,0.5,prod,0.2,0.8
6,2,0.1,5.0,0.5,prod,0.45,0.55
6,3,0.1,0.03,0.5,prod,0.35,0.65
6,4,0.1,0.03,0.5,prod,0.35,0.65
7,0,1.0,0.03,0.5,prod,0.45,0.55
7,1,0.01,0.03,0.5,prod,0.25,0.75
7,2,0.1,0.03,0.5,prod,0.4,0.6
7,3,0.1,0.03,0.5,prod,0.3,0.7
7,4,10.0,0.03,0.5,prod,0.55,0.45
8,0,1.0,0.03,0.5,prod,0.35,0.65
8,1,0.01,5.0,0.5,prod,0.3,0.7
8,2,1.0,0.03,0.5,prod,0.55,0.45
8,3,1.0,5.0,0.5,prod,0.45,0.55
8,4,0.01,0.03,0.5,prod,0.2,0.8
9,0,1.0,0.03,0.5,prod,0.4,0.6
9,1,0.1,0.5,0.5,prod,0.35,0.65
9,2,0.1,0.1,0.5,prod,0.25,0.75
9,3,0.01,0.5,0.5,prod,0.3,0.7
9,4,0.1,5.0,0.5,prod,0.35,0.65
