edge_index,roi_i_0based,roi_j_0based,roi_i_1based,roi_j_1based,mean_signed_coef,mean_abs_coef,median_abs_coef,rank_mean_abs,roi_i_name,roi_j_name,top10_frequency,top20_frequency,top50_frequency,sign_consistency
2435,23,67,24,68,-0.07901790938997759,0.07901790938997759,0.046485018014941724,1,Frontal_Sup_Medial_R,Precuneus_R,0.6,0.7,0.86,1.0
2434,23,66,24,67,-0.07464998415409146,0.07464998415409146,0.06251561672078625,2,Frontal_Sup_Medial_R,Precuneus_L,0.46,0.7,0.9,1.0
1265,11,67,12,68,0.06718675471382163,0.06718675471382163,0.05024717001761095,3,Frontal_Inf_Oper_R,Precuneus_R,0.5,0.72,0.92,1.0
2458,23,90,24,91,-0.06535755617253262,0.06535755617253262,0.0532698682008979,4,Frontal_Sup_Medial_R,Cerebelum_Crus1_L,0.32,0.58,0.82,1.0
3174,31,106,32,107,0.06499695179906351,0.06499695179906351,0.03559332363149705,5,Cingulum_Ant_R,Cerebelum_10_L,0.26,0.34,0.72,1.0
2403,23,35,24,36,-0.06495140972124541,0.06495140972124541,0.04291979387882408,6,Frontal_Sup_Medial_R,Cingulum_Post_R,0.3,0.46,0.68,1.0
3102,31,34,32,35,0.060868599394087834,0.060868599394087834,0.044991886905244485,7,Cingulum_Ant_R,Cingulum_Post_L,0.42,0.64,0.86,1.0
3167,31,99,32,100,0.05758423016913187,0.05758423016913187,0.041581702240313,8,Cingulum_Ant_R,Cerebelum_6_R,0.16,0.3,0.56,1.0
1264,11,66,12,67,0.05580397559137913,0.05580397559137913,0.0466272790602196,9,Frontal_Inf_Oper_R,Precuneus_L,0.14,0.3,0.76,1.0
2460,23,92,24,93,-0.055357870223692374,0.055357870223692374,0.03582300467484709,10,Frontal_Sup_Medial_R,Cerebelum_Crus2_L,0.1,0.2,0.6,1.0
1470,13,67,14,68,0.053902833664363076,0.053902833664363076,0.03883900103669494,11,Frontal_Inf_Tri_R,Precuneus_R,0.1,0.26,0.62,1.0
5799,73,106,74,107,0.05305270320216787,0.05305270320216787,0.038021227750723585,12,Putamen_R,Cerebelum_10_L,0.1,0.26,0.62,1.0
