task,seed,outer_fold,n_train,n_test,w_fp,w_s,prediction_max_abs_error,prediction_mean_abs_error,prediction_rmse_difference,prediction_pearson,stored_lf1_pearson,reconstructed_lf1_pearson,pearson_abs_error,stored_lf1_rmse,reconstructed_lf1_rmse,rmse_abs_error,stored_lf1_mae,reconstructed_lf1_mae,mae_abs_error,coefficient_length,coefficient_finite,status
working_memory,0,0,329,83,0.65,0.35,0.0,0.0,0.0,1.0,0.11665833081095538,0.11665833081095538,0.0,11.300936014691928,11.300936014691928,0.0,9.117385776032616,9.117385776032616,0.0,6670,True,PASS
working_memory,0,1,329,83,0.85,0.15,0.0,0.0,0.0,1.0,0.14314970629378965,0.14314970629378965,0.0,10.97127149698902,10.97127149698902,0.0,8.773753894554838,8.773753894554838,0.0,6670,True,PASS
working_memory,0,2,330,82,0.85,0.15,0.0,0.0,0.0,0.9999999999999999,0.2505546679518801,0.2505546679518801,0.0,12.119201914991743,12.119201914991743,0.0,9.35672556505916,9.35672556505916,0.0,6670,True,PASS
working_memory,0,3,330,82,0.5,0.5,0.0,0.0,0.0,1.0,0.37454124223709745,0.37454124223709745,0.0,10.607903749551928,10.607903749551928,0.0,9.030946474282912,9.030946474282912,0.0,6670,True,PASS
working_memory,0,4,330,82,0.6,0.4,0.0,0.0,0.0,1.0,0.3699804832083834,0.3699804832083834,0.0,12.724088118456455,12.724088118456455,0.0,10.647441852583217,10.647441852583217,0.0,6670,True,PASS
working_memory,1,0,329,83,0.55,0.45,0.0,0.0,0.0,0.9999999999999999,0.501622402422987,0.501622402422987,0.0,9.688844868165281,9.688844868165281,0.0,8.107226113264632,8.107226113264632,0.0,6670,True,PASS
working_memory,1,1,329,83,0.8,0.2,0.0,0.0,0.0,1.0,0.0594437434808327,0.0594437434808327,0.0,12.022390340226375,12.022390340226375,0.0,9.794644299511342,9.794644299511342,0.0,6670,True,PASS
working_memory,1,2,330,82,0.6,0.4,0.0,0.0,0.0,1.0,0.20547852385907278,0.20547852385907278,0.0,11.460614967109601,11.460614967109601,0.0,9.76063299870133,9.76063299870133,0.0,6670,True,PASS
working_memory,1,3,330,82,0.7,0.3,0.0,0.0,0.0,1.0,0.29334577207199375,0.29334577207199375,0.0,11.646034419549045,11.646034419549045,0.0,9.428980031726885,9.428980031726885,0.0,6670,True,PASS
working_memory,1,4,330,82,0.8,0.2,0.0,0.0,0.0,1.0,0.3348470098780701,0.3348470098780701,0.0,10.223919342604448,10.223919342604448,0.0,8.029679922169938,8.029679922169938,0.0,6670,True,PASS
working_memory,2,0,329,83,0.6,0.4,0.0,0.0,0.0,1.0,0.3778203927898254,0.3778203927898254,0.0,11.494277070117542,11.494277070117542,0.0,9.52711443889816,9.52711443889816,0.0,6670,True,PASS
working_memory,2,1,329,83,0.65,0.35,0.0,0.0,0.0,1.0,0.38659022929058323,0.38659022929058323,0.0,10.2165122362736,10.2165122362736,0.0,8.46554202820701,8.46554202820701,0.0,6670,True,PASS
