seed,outer_fold,lambda_fc,lambda_l,gamma,lifting,w_fp,w_s
0,0,0.001,5.0,0.5,prod,0.65,0.35
0,1,1.0,0.03,0.5,prod,0.85,0.15
0,2,0.1,0.5,0.5,prod,0.85,0.15
0,3,0.1,0.5,0.5,prod,0.5,0.5
0,4,0.1,1.0,0.5,prod,0.6,0.4
1,0,0.01,0.5,0.5,prod,0.55,0.45
1,1,1.0,0.03,0.5,prod,0.8,0.2
1,2,0.1,0.5,0.5,prod,0.6,0.4
1,3,0.1,0.03,0.5,prod,0.7,0.3
1,4,1.0,0.03,0.5,prod,0.8,0.2
2,0,0.1,2.0,0.5,prod,0.6,0.4
2,1,1.0,0.03,0.5,prod,0.65,0.35
2,2,1.0,0.03,0.5,prod,0.8,0.2
2,3,1.0,0.5,0.5,prod,1.0,0.0
2,4,1.0,0.03,0.5,prod,0.75,0.25
3,0,1.0,0.1,0.5,prod,0.9,0.1
3,1,1.0,0.03,0.5,prod,0.9,0.1
3,2,0.1,0.1,0.5,prod,0.55,0.45
3,3,1.0,1.0,0.5,prod,0.95,0.05
3,4,0.001,0.5,0.5,prod,0.6,0.4
4,0,1.0,0.1,0.5,prod,0.8,0.2
4,1,0.1,5.0,0.5,prod,0.9,0.1
4,2,0.1,5.0,0.5,prod,0.65,0.35
4,3,1.0,0.03,0.5,prod,0.85,0.15
4,4,0.01,2.0,0.5,prod,0.65,0.35
5,0,0.1,1.0,0.5,prod,0.75,0.25
5,1,0.001,0.03,0.5,prod,0.75,0.25
5,2,1.0,0.03,0.5,prod,0.85,0.15
5,3,0.1,0.5,0.5,prod,0.8,0.2
5,4,0.1,1.0,0.5,prod,0.8,0.2
6,0,0.1,0.5,0.5,prod,0.75,0.25
6,1,0.1,5.0,0.5,prod,0.7,0.3
6,2,0.1,1.0,0.5,prod,0.55,0.45
6,3,0.1,2.0,0.5,prod,1.0,0.0
6,4,1.0,0.03,0.5,prod,0.7,0.3
7,0,1.0,0.03,0.5,prod,1.0,0.0
7,1,0.1,0.1,0.5,prod,0.5,0.5
7,2,0.01,0.1,0.5,prod,0.55,0.45
7,3,0.1,1.0,0.5,prod,0.55,0.45
7,4,1.0,0.03,0.5,prod,0.8,0.2
8,0,1.0,1.0,0.5,prod,0.8,0.2
8,1,0.1,0.03,0.5,prod,1.0,0.0
8,2,0.1,0.1,0.5,prod,0.55,0.45
8,3,0.001,0.03,0.5,prod,1.0,0.0
8,4,0.1,0.5,0.5,prod,0.5,0.5
9,0,1.0,0.1,0.5,prod,0.85,0.15
9,1,0.1,0.5,0.5,prod,0.85,0.15
9,2,1.0,0.1,0.5,prod,0.9,0.1
9,3,0.1,1.0,0.5,prod,1.0,0.0
9,4,1.0,2.0,0.5,prod,0.8,0.2
