edge_index,roi_i_0based,roi_j_0based,roi_i_1based,roi_j_1based,mean_signed_coef,mean_abs_coef,median_abs_coef,rank_mean_abs,roi_i_name,roi_j_name,top10_frequency,top20_frequency,top50_frequency,sign_consistency
5132,60,63,61,64,-0.271793567467149,0.271793567467149,0.29108397875139425,1,Parietal_Inf_L,SupraMarginal_R,0.92,0.94,0.96,1.0
1466,13,63,14,64,-0.25339494743656676,0.25339494743656676,0.2610786651685316,2,Frontal_Inf_Tri_R,SupraMarginal_R,0.92,0.92,0.98,1.0
1287,11,89,12,90,0.2179653483622615,0.2179653483622615,0.2195845306724142,3,Frontal_Inf_Oper_R,Temporal_Inf_R,0.72,0.84,0.92,1.0
1463,13,60,14,61,-0.18834053475267803,0.18834053475267803,0.18477122897497283,4,Frontal_Inf_Tri_R,Parietal_Inf_L,0.42,0.66,0.86,1.0
5329,63,101,64,102,-0.18361371831379408,0.18361371831379408,0.17550633687440326,5,SupraMarginal_R,Cerebelum_7b_R,0.4,0.68,0.82,1.0
5171,60,102,61,103,-0.17289890393933782,0.17289890393933782,0.1768029872775298,6,Parietal_Inf_L,Cerebelum_8_L,0.3,0.54,0.76,1.0
1261,11,63,12,64,0.17282352762193415,0.17282352762193415,0.12771410222561802,7,Frontal_Inf_Oper_R,SupraMarginal_R,0.28,0.38,0.44,1.0
6040,80,81,81,82,0.1712777023346019,0.1712777023346019,0.17699446454366657,8,Temporal_Sup_L,Temporal_Sup_R,0.62,0.76,0.9,1.0
1381,12,80,13,81,-0.16791011346146795,0.16791011346146795,0.13425099519154382,9,Frontal_Inf_Tri_L,Temporal_Sup_L,0.32,0.44,0.52,1.0
5355,64,76,65,77,0.1620933417626368,0.1620933417626368,0.12996928408581787,10,Angular_L,Thalamus_L,0.34,0.54,0.74,1.0
5824,74,90,75,91,0.16186954412865964,0.16186954412865964,0.18135252234332344,11,Pallidum_L,Cerebelum_Crus1_L,0.22,0.46,0.8,1.0
2877,28,64,29,65,0.15387922267202148,0.15387922267202148,0.15945466747847958,12,Insula_L,Angular_L,0.18,0.52,0.78,1.0
1668,15,64,16,65,0.1510506637852192,0.1510506637852192,0.15233319992354305,13,Frontal_Inf_Orb_R,Angular_L,0.08,0.32,0.64,1.0
3084,30,100,31,101,-0.15078771259679088,0.15078771259679088,0.15232633845005134,14,Cingulum_Ant_L,Cerebelum_7b_L,0.2,0.32,0.5,1.0
1393,12,92,13,93,-0.14624728300461717,0.14624728300461717,0.13829385659166968,15,Frontal_Inf_Tri_L,Cerebelum_Crus2_L,0.16,0.32,0.54,1.0
1217,11,19,12,20,0.14414905825151744,0.14414905825151744,0.16685146667590872,16,Frontal_Inf_Oper_R,Supp_Motor_Area_R,0.12,0.32,0.72,1.0
983,8,100,9,101,0.1421827278525144,0.1421827278525144,0.15548236099748297,17,Frontal_Mid_Orb_L,Cerebelum_7b_L,0.06,0.22,0.58,1.0
1089,9,100,10,101,0.14167303044567522,0.14167303044567522,0.14912997721298948,18,Frontal_Mid_Orb_R,Cerebelum_7b_L,0.08,0.22,0.48,1.0
