edge_index,roi_i_0based,roi_j_0based,roi_i_1based,roi_j_1based,mean_signed_coef,mean_abs_coef,median_abs_coef,rank_mean_abs,roi_i_name,roi_j_name,top10_frequency,top20_frequency,top50_frequency,sign_consistency
1466,13,63,14,64,-0.8095897289631262,0.8095897289631262,0.8095897289631262,1,Frontal_Inf_Tri_R,SupraMarginal_R,1.0,1.0,1.0,1.0
1381,12,80,13,81,-0.6512209631602622,0.6512209631602622,0.6512209631602622,2,Frontal_Inf_Tri_L,Temporal_Sup_L,1.0,1.0,1.0,1.0
3084,30,100,31,101,-0.5983535825742174,0.5983535825742174,0.5983535825742174,3,Cingulum_Ant_L,Cerebelum_7b_L,1.0,1.0,1.0,1.0
1287,11,89,12,90,0.5896616985999179,0.5896616985999179,0.5896616985999179,4,Frontal_Inf_Oper_R,Temporal_Inf_R,1.0,1.0,1.0,1.0
5355,64,76,65,77,0.5747053584635526,0.5747053584635526,0.5747053584635526,5,Angular_L,Thalamus_L,1.0,1.0,1.0,1.0
1089,9,100,10,101,0.5509666658530288,0.5509666658530288,0.5509666658530288,6,Frontal_Mid_Orb_R,Cerebelum_7b_L,1.0,1.0,1.0,1.0
5172,60,103,61,104,-0.5292023656307792,0.5292023656307792,0.5292023656307792,7,Parietal_Inf_L,Cerebelum_8_R,1.0,1.0,1.0,1.0
5171,60,102,61,103,-0.5106944023508316,0.5106944023508316,0.5106944023508316,8,Parietal_Inf_L,Cerebelum_8_L,1.0,1.0,1.0,1.0
5132,60,63,61,64,-0.5089309469691511,0.5089309469691511,0.5089309469691511,9,Parietal_Inf_L,SupraMarginal_R,1.0,1.0,1.0,1.0
5329,63,101,64,102,-0.5080056031356753,0.5080056031356753,0.5080056031356753,10,SupraMarginal_R,Cerebelum_7b_R,1.0,1.0,1.0,1.0
5169,60,100,61,101,0.501931572824531,0.501931572824531,0.501931572824531,11,Parietal_Inf_L,Cerebelum_7b_L,0.0,1.0,1.0,1.0
1668,15,64,16,65,0.4965655812434244,0.4965655812434244,0.4965655812434244,12,Frontal_Inf_Orb_R,Angular_L,0.0,1.0,1.0,1.0
6041,80,82,81,83,-0.48385297578340153,0.48385297578340153,0.48385297578340153,13,Temporal_Sup_L,Temporal_Pole_Sup_L,0.0,1.0,1.0,1.0
1390,12,89,13,90,0.46427296771002896,0.46427296771002896,0.46427296771002896,14,Frontal_Inf_Tri_L,Temporal_Inf_R,0.0,1.0,1.0,1.0
3144,31,76,32,77,-0.4443830627466722,0.4443830627466722,0.4443830627466722,15,Cingulum_Ant_R,Thalamus_L,0.0,1.0,1.0,1.0
3149,31,81,32,82,-0.4356637309396138,0.4356637309396138,0.4356637309396138,16,Cingulum_Ant_R,Temporal_Sup_R,0.0,1.0,1.0,1.0
635,5,76,6,77,-0.4325841788769434,0.4325841788769434,0.4325841788769434,17,Frontal_Sup_Orb_R,Thalamus_L,0.0,1.0,1.0,1.0
1432,13,29,14,30,-0.4315742607690292,0.4315742607690292,0.4315742607690292,18,Frontal_Inf_Tri_R,Insula_R,0.0,1.0,1.0,1.0
5951,77,100,78,101,-0.42808506800980967,0.42808506800980967,0.42808506800980967,19,Thalamus_R,Cerebelum_7b_L,0.0,1.0,1.0,1.0
619,5,60,6,61,-0.42272068666676976,0.42272068666676976,0.42272068666676976,20,Frontal_Sup_Orb_R,Parietal_Inf_L,0.0,1.0,1.0,1.0
549,4,100,5,101,0.4202719259114884,0.4202719259114884,0.4202719259114884,21,Frontal_Sup_Orb_L,Cerebelum_7b_L,0.0,0.0,1.0,1.0
5158,60,89,61,90,0.41732108249883004,0.41732108249883004,0.41732108249883004,22,Parietal_Inf_L,Temporal_Inf_R,0.0,0.0,1.0,1.0
5350,64,71,65,72,-0.4170852182030269,0.4170852182030269,0.4170852182030269,23,Angular_L,Caudate_R,0.0,0.0,1.0,1.0
5349,64,70,65,71,-0.41687295617479286,0.41687295617479286,0.41687295617479286,24,Angular_L,Caudate_L,0.0,0.0,1.0,1.0
983,8,100,9,101,0.4101405578247974,0.4101405578247974,0.4101405578247974,25,Frontal_Mid_Orb_L,Cerebelum_7b_L,0.0,0.0,1.0,1.0
6329,89,100,90,101,0.4045521899930039,0.4045521899930039,0.4045521899930039,26,Temporal_Inf_R,Cerebelum_7b_L,0.0,0.0,1.0,1.0
6213,85,94,86,95,0.3933124405926137,0.3933124405926137,0.3933124405926137,27,Temporal_Mid_R,Cerebelum_3_L,0.0,0.0,1.0,1.0
5351,64,72,65,73,-0.3898470083492759,0.3898470083492759,0.3898470083492759,28,Angular_L,Putamen_L,0.0,0.0,1.0,1.0
1226,11,28,12,29,0.38977424965006735,0.38977424965006735,0.38977424965006735,29,Frontal_Inf_Oper_R,Insula_L,0.0,0.0,1.0,1.0
3293,33,60,34,61,-0.3717535624356076,0.3717535624356076,0.3717535624356076,30,Cingulum_Mid_R,Parietal_Inf_L,0.0,0.0,1.0,1.0
