task,seed,fold,pearson,rmse
WM,0,0,0.18150781171657127,9.953708897125898
FI,0,0,0.5078049710892827,3.7680036998826796
WM,0,1,0.21011026114967563,11.107456205200709
FI,0,1,0.381094647088366,4.720386065571554
WM,0,2,0.22032587855193622,12.108116520564513
FI,0,2,0.33685909790360646,4.907362322426804
WM,0,3,0.41379124564246544,10.426016693213027
FI,0,3,0.22198577225551147,4.640919186671426
WM,0,4,0.3645622629850028,12.74852565169736
FI,0,4,0.43011852387753713,4.6394561929065015
WM,1,0,0.44757299068149736,10.046232664142096
FI,1,0,0.24362888835743826,4.556116110161501
WM,1,1,0.09411153151248905,12.20582520060463
FI,1,1,0.39231245566561085,4.28532945967981
WM,1,2,0.16069440039950042,11.679811649163744
FI,1,2,0.43906148726967403,4.770610753593799
WM,1,3,0.273736207814554,12.18075467908116
FI,1,3,0.31748545444212484,4.958782165627862
WM,1,4,0.33001612018084514,10.326050363231538
FI,1,4,0.3304767635115047,4.608582864118105
WM,2,0,0.34490486378880864,12.263145134569998
FI,2,0,0.4521725958294557,4.637389689978014
WM,2,1,0.40030037107749716,10.182742158248853
FI,2,1,0.32774393558688625,4.495169471144699
WM,2,2,0.265459609506836,11.487669706069765
FI,2,2,0.434332207258992,4.2416837076234115
WM,2,3,0.3374839914318408,10.85130253313526
FI,2,3,0.4367764368117318,4.566720654932367
WM,2,4,0.18099290807643878,10.983248210660259
FI,2,4,0.36713611760470866,4.567640299282428
WM,3,0,0.2373243758611755,9.72767224970052
FI,3,0,0.24861303052611777,4.759831389329506
WM,3,1,0.2048428803272447,12.38617787378326
FI,3,1,0.3641033689589876,4.541984749437562
WM,3,2,0.12917870985668445,12.247215468820174
FI,3,2,0.394858906879131,4.427948963745986
WM,3,3,0.47564202934589167,10.856475692788187
FI,3,3,0.4416232674054848,4.588306068250188
WM,3,4,0.385738961260044,10.325573294816808
FI,3,4,0.26452651371334973,4.821296411003336
WM,4,0,0.17489450754576072,11.150804063387879
FI,4,0,0.37222064457212845,4.509378582798186
WM,4,1,0.25750626455415776,11.45985652545102
FI,4,1,0.3670144272410201,4.326442430155865
WM,4,2,0.17583322405357787,10.756697111044419
FI,4,2,0.3503758927362295,4.578089102183271
WM,4,3,0.25569590725184266,11.888491834359991
FI,4,3,0.2884704748847677,4.957658488432001
WM,4,4,0.4369970258733443,10.600985955936896
FI,4,4,0.4592498157877198,4.475505427610909
WM,5,0,0.1002181326277592,12.392287435612074
FI,5,0,0.3253810699184733,4.640055252466588
WM,5,1,0.25884253526798257,11.72544733641313
FI,5,1,0.38043149482485433,4.3971001279515765
WM,5,2,0.11401801947065746,11.903847309009553
FI,5,2,0.4396990936594242,4.769106270326792
WM,5,3,0.26046211172376593,11.369105698814469
FI,5,3,0.4482819613394814,4.6130136064887575
WM,5,4,0.23535480644552717,11.209387794591299
FI,5,4,0.25681206768619086,4.421592655324538
WM,6,0,0.23838161570890543,11.630400757162867
FI,6,0,0.31519991501956657,4.313195215487629
WM,6,1,0.23833166883817977,10.411828880693664
FI,6,1,0.44499146207595025,4.217631998561368
WM,6,2,0.03398938164578013,12.762084709882316
FI,6,2,0.29011826868590596,4.646702654622811
WM,6,3,0.3433784879253538,10.272983197965054
FI,6,3,0.4438891696826939,4.181478232144452
WM,6,4,0.30887838319208544,11.881435880294523
FI,6,4,0.39488933742232984,5.286155890705485
WM,7,0,0.2231031479211159,11.686917002707007
FI,7,0,0.31182585582621547,4.446810458184445
WM,7,1,0.29027705660225284,10.326477776057555
FI,7,1,0.4795156930709157,4.485292058773559
WM,7,2,0.17923963366298387,11.895376101075886
FI,7,2,0.3627153046151443,4.5768227604771035
WM,7,3,0.33705057320490817,11.08395227031195
FI,7,3,0.3546811825466583,4.833162700613825
WM,7,4,0.26207862722721337,11.195278352499944
FI,7,4,0.30761072226138964,4.49052195882734
WM,8,0,0.19415815376736545,11.355771530133572
FI,8,0,0.3709996462393513,4.5596093375466085
WM,8,1,0.2953020034216081,11.190829296143324
FI,8,1,0.3971008664199941,4.6827325726911955
WM,8,2,0.42825225784860055,10.195538659277828
FI,8,2,0.4232006669450105,4.450081937036113
WM,8,3,0.2975654758095563,12.478274589340161
FI,8,3,0.1924782028014623,4.603430282337957
WM,8,4,0.26437983894130856,11.284660862240157
FI,8,4,0.34718493037388526,4.900316694218685
WM,9,0,0.47406812470724735,10.981011986261924
FI,9,0,0.48100914405110085,4.477161584976401
WM,9,1,0.18548700117193348,11.546229928843266
FI,9,1,0.34575461899579,4.799741536548539
WM,9,2,0.26046010993862667,11.093588557508394
FI,9,2,0.4972873343756456,4.100308563332056
WM,9,3,0.20357359268103908,11.098623885644253
FI,9,3,0.4381173374097807,4.490828205920571
WM,9,4,0.18966359931472215,11.724154000269664
FI,9,4,0.32664570497343637,4.601012870818
