seed,fold,inner,task,kernel,lam,mult,sigma,n,scope,chosen,solve_ok
4747,0,0,WM,rbf,0.3,0.5,75.37656693058514,219,inner,False,True
4747,0,0,FI,rbf,0.3,0.5,75.37656693058514,219,inner,False,True
4747,0,0,WM,rbf,1.0,0.5,75.37656693058514,219,inner,False,True
4747,0,0,FI,rbf,1.0,0.5,75.37656693058514,219,inner,False,True
4747,0,0,WM,rbf,3.0,0.5,75.37656693058514,219,inner,False,True
4747,0,0,FI,rbf,3.0,0.5,75.37656693058514,219,inner,False,True
4747,0,0,WM,rbf,10.0,0.5,75.37656693058514,219,inner,False,True
4747,0,0,FI,rbf,10.0,0.5,75.37656693058514,219,inner,False,True
4747,0,0,WM,rbf,0.3,1.0,150.75313386117028,219,inner,False,True
4747,0,0,FI,rbf,0.3,1.0,150.75313386117028,219,inner,False,True
4747,0,0,WM,rbf,1.0,1.0,150.75313386117028,219,inner,False,True
4747,0,0,FI,rbf,1.0,1.0,150.75313386117028,219,inner,False,True
4747,0,0,WM,rbf,3.0,1.0,150.75313386117028,219,inner,False,True
4747,0,0,FI,rbf,3.0,1.0,150.75313386117028,219,inner,False,True
4747,0,0,WM,rbf,10.0,1.0,150.75313386117028,219,inner,False,True
4747,0,0,FI,rbf,10.0,1.0,150.75313386117028,219,inner,False,True
4747,0,0,WM,rbf,0.3,2.0,301.50626772234057,219,inner,False,True
4747,0,0,FI,rbf,0.3,2.0,301.50626772234057,219,inner,False,True
4747,0,0,WM,rbf,1.0,2.0,301.50626772234057,219,inner,False,True
4747,0,0,FI,rbf,1.0,2.0,301.50626772234057,219,inner,False,True
4747,0,0,WM,rbf,3.0,2.0,301.50626772234057,219,inner,False,True
4747,0,0,FI,rbf,3.0,2.0,301.50626772234057,219,inner,False,True
4747,0,0,WM,rbf,10.0,2.0,301.50626772234057,219,inner,False,True
4747,0,0,FI,rbf,10.0,2.0,301.50626772234057,219,inner,False,True
4747,0,0,WM,linear,0.3,0.5,,219,inner,False,True
4747,0,0,FI,linear,0.3,0.5,,219,inner,False,True
4747,0,0,WM,linear,1.0,0.5,,219,inner,False,True
4747,0,0,FI,linear,1.0,0.5,,219,inner,False,True
4747,0,0,WM,linear,3.0,0.5,,219,inner,False,True
4747,0,0,FI,linear,3.0,0.5,,219,inner,False,True
4747,0,0,WM,linear,10.0,0.5,,219,inner,False,True
4747,0,0,FI,linear,10.0,0.5,,219,inner,False,True
4747,0,0,WM,linear,0.3,1.0,,219,inner,False,True
4747,0,0,FI,linear,0.3,1.0,,219,inner,False,True
4747,0,0,WM,linear,1.0,1.0,,219,inner,False,True
4747,0,0,FI,linear,1.0,1.0,,219,inner,False,True
4747,0,0,WM,linear,3.0,1.0,,219,inner,False,True
4747,0,0,FI,linear,3.0,1.0,,219,inner,False,True
4747,0,0,WM,linear,10.0,1.0,,219,inner,False,True
4747,0,0,FI,linear,10.0,1.0,,219,inner,False,True
4747,0,0,WM,linear,0.3,2.0,,219,inner,False,True
4747,0,0,FI,linear,0.3,2.0,,219,inner,False,True
4747,0,0,WM,linear,1.0,2.0,,219,inner,False,True
4747,0,0,FI,linear,1.0,2.0,,219,inner,False,True
4747,0,0,WM,linear,3.0,2.0,,219,inner,False,True
4747,0,0,FI,linear,3.0,2.0,,219,inner,False,True
4747,0,0,WM,linear,10.0,2.0,,219,inner,False,True
4747,0,0,FI,linear,10.0,2.0,,219,inner,False,True
4747,0,1,WM,rbf,0.3,0.5,74.96975135078846,219,inner,False,True
4747,0,1,FI,rbf,0.3,0.5,74.96975135078846,219,inner,False,True
4747,0,1,WM,rbf,1.0,0.5,74.96975135078846,219,inner,False,True
4747,0,1,FI,rbf,1.0,0.5,74.96975135078846,219,inner,False,True
4747,0,1,WM,rbf,3.0,0.5,74.96975135078846,219,inner,False,True
4747,0,1,FI,rbf,3.0,0.5,74.96975135078846,219,inner,False,True
4747,0,1,WM,rbf,10.0,0.5,74.96975135078846,219,inner,False,True
4747,0,1,FI,rbf,10.0,0.5,74.96975135078846,219,inner,False,True
4747,0,1,WM,rbf,0.3,1.0,149.9395027015769,219,inner,False,True
4747,0,1,FI,rbf,0.3,1.0,149.9395027015769,219,inner,False,True
4747,0,1,WM,rbf,1.0,1.0,149.9395027015769,219,inner,False,True
4747,0,1,FI,rbf,1.0,1.0,149.9395027015769,219,inner,False,True
4747,0,1,WM,rbf,3.0,1.0,149.9395027015769,219,inner,False,True
4747,0,1,FI,rbf,3.0,1.0,149.9395027015769,219,inner,False,True
4747,0,1,WM,rbf,10.0,1.0,149.9395027015769,219,inner,False,True
4747,0,1,FI,rbf,10.0,1.0,149.9395027015769,219,inner,False,True
4747,0,1,WM,rbf,0.3,2.0,299.8790054031538,219,inner,False,True
4747,0,1,FI,rbf,0.3,2.0,299.8790054031538,219,inner,False,True
4747,0,1,WM,rbf,1.0,2.0,299.8790054031538,219,inner,False,True
4747,0,1,FI,rbf,1.0,2.0,299.8790054031538,219,inner,False,True
4747,0,1,WM,rbf,3.0,2.0,299.8790054031538,219,inner,False,True
4747,0,1,FI,rbf,3.0,2.0,299.8790054031538,219,inner,False,True
4747,0,1,WM,rbf,10.0,2.0,299.8790054031538,219,inner,False,True
4747,0,1,FI,rbf,10.0,2.0,299.8790054031538,219,inner,False,True
4747,0,1,WM,linear,0.3,0.5,,219,inner,False,True
4747,0,1,FI,linear,0.3,0.5,,219,inner,False,True
4747,0,1,WM,linear,1.0,0.5,,219,inner,False,True
4747,0,1,FI,linear,1.0,0.5,,219,inner,False,True
4747,0,1,WM,linear,3.0,0.5,,219,inner,False,True
4747,0,1,FI,linear,3.0,0.5,,219,inner,False,True
4747,0,1,WM,linear,10.0,0.5,,219,inner,False,True
4747,0,1,FI,linear,10.0,0.5,,219,inner,False,True
4747,0,1,WM,linear,0.3,1.0,,219,inner,False,True
4747,0,1,FI,linear,0.3,1.0,,219,inner,False,True
4747,0,1,WM,linear,1.0,1.0,,219,inner,False,True
4747,0,1,FI,linear,1.0,1.0,,219,inner,False,True
4747,0,1,WM,linear,3.0,1.0,,219,inner,False,True
4747,0,1,FI,linear,3.0,1.0,,219,inner,False,True
4747,0,1,WM,linear,10.0,1.0,,219,inner,False,True
4747,0,1,FI,linear,10.0,1.0,,219,inner,False,True
4747,0,1,WM,linear,0.3,2.0,,219,inner,False,True
4747,0,1,FI,linear,0.3,2.0,,219,inner,False,True
4747,0,1,WM,linear,1.0,2.0,,219,inner,False,True
4747,0,1,FI,linear,1.0,2.0,,219,inner,False,True
4747,0,1,WM,linear,3.0,2.0,,219,inner,False,True
4747,0,1,FI,linear,3.0,2.0,,219,inner,False,True
4747,0,1,WM,linear,10.0,2.0,,219,inner,False,True
4747,0,1,FI,linear,10.0,2.0,,219,inner,False,True
4747,0,2,WM,rbf,0.3,0.5,75.07812758820604,220,inner,False,True
4747,0,2,FI,rbf,0.3,0.5,75.07812758820604,220,inner,False,True
4747,0,2,WM,rbf,1.0,0.5,75.07812758820604,220,inner,False,True
4747,0,2,FI,rbf,1.0,0.5,75.07812758820604,220,inner,False,True
4747,0,2,WM,rbf,3.0,0.5,75.07812758820604,220,inner,False,True
4747,0,2,FI,rbf,3.0,0.5,75.07812758820604,220,inner,False,True
4747,0,2,WM,rbf,10.0,0.5,75.07812758820604,220,inner,False,True
4747,0,2,FI,rbf,10.0,0.5,75.07812758820604,220,inner,False,True
4747,0,2,WM,rbf,0.3,1.0,150.1562551764121,220,inner,False,True
4747,0,2,FI,rbf,0.3,1.0,150.1562551764121,220,inner,False,True
4747,0,2,WM,rbf,1.0,1.0,150.1562551764121,220,inner,False,True
4747,0,2,FI,rbf,1.0,1.0,150.1562551764121,220,inner,False,True
4747,0,2,WM,rbf,3.0,1.0,150.1562551764121,220,inner,False,True
4747,0,2,FI,rbf,3.0,1.0,150.1562551764121,220,inner,False,True
4747,0,2,WM,rbf,10.0,1.0,150.1562551764121,220,inner,False,True
4747,0,2,FI,rbf,10.0,1.0,150.1562551764121,220,inner,False,True
4747,0,2,WM,rbf,0.3,2.0,300.3125103528242,220,inner,False,True
4747,0,2,FI,rbf,0.3,2.0,300.3125103528242,220,inner,False,True
4747,0,2,WM,rbf,1.0,2.0,300.3125103528242,220,inner,False,True
4747,0,2,FI,rbf,1.0,2.0,300.3125103528242,220,inner,False,True
4747,0,2,WM,rbf,3.0,2.0,300.3125103528242,220,inner,False,True
4747,0,2,FI,rbf,3.0,2.0,300.3125103528242,220,inner,False,True
4747,0,2,WM,rbf,10.0,2.0,300.3125103528242,220,inner,False,True
4747,0,2,FI,rbf,10.0,2.0,300.3125103528242,220,inner,False,True
4747,0,2,WM,linear,0.3,0.5,,220,inner,False,True
4747,0,2,FI,linear,0.3,0.5,,220,inner,False,True
4747,0,2,WM,linear,1.0,0.5,,220,inner,False,True
4747,0,2,FI,linear,1.0,0.5,,220,inner,False,True
4747,0,2,WM,linear,3.0,0.5,,220,inner,False,True
4747,0,2,FI,linear,3.0,0.5,,220,inner,False,True
4747,0,2,WM,linear,10.0,0.5,,220,inner,False,True
4747,0,2,FI,linear,10.0,0.5,,220,inner,False,True
4747,0,2,WM,linear,0.3,1.0,,220,inner,False,True
4747,0,2,FI,linear,0.3,1.0,,220,inner,False,True
4747,0,2,WM,linear,1.0,1.0,,220,inner,False,True
4747,0,2,FI,linear,1.0,1.0,,220,inner,False,True
4747,0,2,WM,linear,3.0,1.0,,220,inner,False,True
4747,0,2,FI,linear,3.0,1.0,,220,inner,False,True
4747,0,2,WM,linear,10.0,1.0,,220,inner,False,True
4747,0,2,FI,linear,10.0,1.0,,220,inner,False,True
4747,0,2,WM,linear,0.3,2.0,,220,inner,False,True
4747,0,2,FI,linear,0.3,2.0,,220,inner,False,True
4747,0,2,WM,linear,1.0,2.0,,220,inner,False,True
4747,0,2,FI,linear,1.0,2.0,,220,inner,False,True
4747,0,2,WM,linear,3.0,2.0,,220,inner,False,True
4747,0,2,FI,linear,3.0,2.0,,220,inner,False,True
4747,0,2,WM,linear,10.0,2.0,,220,inner,False,True
