seed,fold,model,task,pearson,rmse,mae,w
4747,0,P1_rbf,WM,0.31401714336600206,10.862149338535474,8.902109193512198,0.7
4747,0,P1_rbf,FI,0.3449771314923171,4.360338100473698,3.6506365584389555,0.4
4747,0,P0_linear,WM,0.33586572343878696,11.014836189271074,8.79590417288691,0.0
4747,0,P0_linear,FI,0.327481362069851,4.378009031166056,3.6454219487714807,0.0
4747,0,R0,WM,0.33586572343878696,11.014836189271074,8.79590417288691,0.0
4747,0,R0,FI,0.327481362069851,4.378009031166056,3.6454219487714807,0.0
4747,1,P1_rbf,WM,0.23852599009277214,11.336777393592005,9.670439425333177,0.8
4747,1,P1_rbf,FI,0.5225645761238777,4.888578192855387,4.105573869488064,0.4
4747,1,P0_linear,WM,0.3012276955877239,11.174491878101252,9.237694078794938,0.0
4747,1,P0_linear,FI,0.51216738129653,4.734402225224397,3.9258754410067604,0.0
4747,1,R0,WM,0.3012276955877239,11.174491878101252,9.237694078794938,0.0
4747,1,R0,FI,0.51216738129653,4.734402225224397,3.9258754410067604,0.0
4747,2,P1_rbf,WM,0.11443553723057709,11.809389991915786,9.368656840704643,0.1
4747,2,P1_rbf,FI,0.42041267563164764,4.426558987092046,3.6917693354249552,0.6
4747,2,P0_linear,WM,0.10821596617464517,11.972324668527227,9.477331078678008,0.1
4747,2,P0_linear,FI,0.3988135201388617,4.580312206092627,3.77029554029494,0.8
4747,2,R0,WM,0.11250322170551184,11.899297980494529,9.42127371728798,0.0
4747,2,R0,FI,0.461068433532936,4.343194410834425,3.5703011213749765,0.0
4747,3,P1_rbf,WM,0.15317890614376786,11.779260796857303,9.671459421219685,1.0
4747,3,P1_rbf,FI,0.3541606584834376,4.6844400459742515,4.029584924887358,0.6
4747,3,P0_linear,WM,0.1987841084321074,11.883913020462437,9.637979857605186,1.0
4747,3,P0_linear,FI,0.3667142797470453,4.664911858735924,3.967850108816019,0.7
4747,3,R0,WM,0.29611627493991466,11.394299500430037,9.272453117813154,0.0
4747,3,R0,FI,0.3547258037103093,4.664760906364613,4.009739207277561,0.0
4747,4,P1_rbf,WM,0.34529391467025705,10.375122047776337,8.294988465503822,0.0
4747,4,P1_rbf,FI,0.2612342528645061,4.4248611293880895,3.7598449138716443,0.9
4747,4,P0_linear,WM,0.3870595778009412,10.158721128980899,8.268445931246665,0.4
4747,4,P0_linear,FI,0.36056619194876144,4.427575087158136,3.5468714497352263,0.9
4747,4,R0,WM,0.34529391467025705,10.375122047776337,8.294988465503822,0.0
4747,4,R0,FI,0.24901864296778828,4.555761075018581,3.759158669376572,0.0
4848,0,P1_rbf,WM,0.3007232620250834,12.201676261142387,10.141799159487958,1.0
4848,0,P1_rbf,FI,0.4959328279605118,5.000697287209927,4.266467703252763,0.5
4848,0,P0_linear,WM,0.308788178990164,12.455559527822391,10.0121199493421,1.0
4848,0,P0_linear,FI,0.4344987173156993,5.041100444424294,4.129660479935412,0.7
4848,0,R0,WM,0.3714160074662515,11.91873882047764,9.628398202767452,0.0
4848,0,R0,FI,0.5367375677330184,4.885200123455782,4.095711954608653,0.0
4848,1,P1_rbf,WM,0.27114099597933455,11.122852143121587,9.161089521737274,0.0
4848,1,P1_rbf,FI,0.4298815983020343,4.3492548317861255,3.5196924271627923,0.0
4848,1,P0_linear,WM,0.27114099597933455,11.122852143121587,9.161089521737274,0.0
4848,1,P0_linear,FI,0.41737201568510196,4.377157920395717,3.5732711786980302,0.4
4848,1,R0,WM,0.27114099597933455,11.122852143121587,9.161089521737274,0.0
4848,1,R0,FI,0.4298815983020343,4.3492548317861255,3.5196924271627923,0.0
4848,2,P1_rbf,WM,0.1346196444147333,10.288113629466766,8.000951913719218,0.7
4848,2,P1_rbf,FI,0.3682842000922055,4.117074945192569,3.361169192888022,0.3
4848,2,P0_linear,WM,0.17227467607965538,10.653691328013933,8.625969117577384,0.5
4848,2,P0_linear,FI,0.3744291568949762,4.11268912584519,3.3038130868212163,0.4
4848,2,R0,WM,0.2117086585483314,10.283188601438853,8.399766463945513,0.0
4848,2,R0,FI,0.3545236736967767,4.139570441851273,3.3710701910452547,0.0
4848,3,P1_rbf,WM,0.369581533497849,9.90510346435782,7.875051577942206,1.0
4848,3,P1_rbf,FI,0.2751166122992416,4.364929430217319,3.604167938589171,0.3
4848,3,P0_linear,WM,0.41593943299382563,9.85022114352748,7.942817742649939,0.8
4848,3,P0_linear,FI,0.2790330702685508,4.407202017889647,3.574044264692395,0.0
4848,3,R0,WM,0.4894969993753543,9.31126049718922,7.388860944598843,0.0
4848,3,R0,FI,0.2790330702685508,4.407202017889647,3.574044264692395,0.0
4848,4,P1_rbf,WM,0.2840027106116622,11.597758151009058,9.825299516016985,0.9
4848,4,P1_rbf,FI,0.30214725405887405,4.928100195239778,4.2781906561967515,0.5
4848,4,P0_linear,WM,0.17693555604298178,12.64697306360033,10.370039201649499,1.0
4848,4,P0_linear,FI,0.27738618459156417,5.084274751419588,4.395876686380869,0.5
4848,4,R0,WM,0.2439430032464644,11.776145717395117,9.774358947665322,0.0
4848,4,R0,FI,0.24924031601934668,5.087552984041999,4.331300456555995,0.0
4949,0,P1_rbf,WM,0.144829182719292,11.233290346364528,8.955672058966584,0.9
4949,0,P1_rbf,FI,0.29813269239284274,4.389865667059954,3.7726393092217876,1.0
4949,0,P0_linear,WM,0.12702653791158483,12.082591665946879,9.267417714199649,1.0
4949,0,P0_linear,FI,0.4215852750396497,4.1755234661186575,3.5279683291562836,0.6
4949,0,R0,WM,0.22991939105143436,11.368404390567616,8.955171739291961,0.0
4949,0,R0,FI,0.45102591090552613,4.110294094008927,3.5019901785098835,0.0
4949,1,P1_rbf,WM,0.25902898381637884,10.199042109712492,8.655825173560379,0.4
4949,1,P1_rbf,FI,0.43791768926346675,4.556958123685062,3.730704031866105,0.3
4949,1,P0_linear,WM,0.20921680491616973,10.735679506062827,9.056533831733109,0.5
