group,target,variant,metric,value,positive,n
A_sample_size,WM,A0,delta_r(+98-412),0.004151728536668236,3.0,5
A_sample_size,WM,A1,delta_r(+98-412),-0.003772127795053587,2.0,5
A_sample_size,WM,A2,delta_r(+98-412),-0.009693247441543883,2.0,5
A_sample_size,WM,A3,delta_r(+98-412),0.004094297676412573,2.0,5
A_sample_size,WM,B0,delta_r(+98-412),0.005751811921295802,2.0,5
A_sample_size,WM,B1,delta_r(+98-412),0.007935020855444569,2.0,5
A_sample_size,WM,B2,delta_r(+98-412),-0.005513710838272784,2.0,5
A_sample_size,WM,B3,delta_r(+98-412),-0.004522866515252311,2.0,5
A_sample_size,WM,B4,delta_r(+98-412),-0.007056052960726816,3.0,5
A_sample_size,FI,A0,delta_r(+98-412),-0.01968469023299807,0.0,5
A_sample_size,FI,A1,delta_r(+98-412),-0.03010385776706872,0.0,5
A_sample_size,FI,A2,delta_r(+98-412),-0.022418824965127447,0.0,5
A_sample_size,FI,A3,delta_r(+98-412),-0.024624799121542605,1.0,5
A_sample_size,FI,B0,delta_r(+98-412),-0.020448759573565855,1.0,5
A_sample_size,FI,B1,delta_r(+98-412),-0.01731646184512594,1.0,5
A_sample_size,FI,B2,delta_r(+98-412),-0.016509812609110674,2.0,5
A_sample_size,FI,B3,delta_r(+98-412),-0.02042234713080896,0.0,5
A_sample_size,FI,B4,delta_r(+98-412),-0.0041101778031403914,3.0,5
B_PALF_components,WM,PALF_full-R0,A,-0.0030958604126733067,2.0,5
B_PALF_components,WM,PALF_full-R0,B,-0.011019716744395131,2.0,5
B_PALF_components,WM,PALF_aniso-R0,A,0.005558530360113062,4.0,5
B_PALF_components,WM,PALF_aniso-R0,B,-0.008286445618099058,2.0,5
B_PALF_components,WM,PALF_network-R0,A,0.0012740079784222757,3.0,5
B_PALF_components,WM,PALF_network-R0,B,0.0012165771181666118,3.0,5
B_PALF_components,WM,NCR-Ridge,A,-0.004545772126432607,1.0,5
B_PALF_components,WM,NCR-Ridge,B,-0.0023625631922838397,1.0,5
B_PALF_components,WM,NCR-cross,A,-0.002774092173803433,3.0,5
B_PALF_components,WM,NCR-cross,B,0.01067463951991392,4.0,5
B_PALF_components,WM,NCR-shuffled,A,0.00925814490199906,4.0,5
B_PALF_components,WM,NCR-shuffled,B,0.02171603227269594,5.0,5
B_PALF_components,WM,NCR-random,A,0.0017875644147390235,2.0,5
B_PALF_components,WM,NCR-random,B,0.016778638230910407,5.0,5
B_PALF_components,WM,NCR-R0,A,0.0018405065433199307,3.0,5
B_PALF_components,WM,NCR-R0,B,0.0056237988620962635,4.0,5
B_PALF_components,FI,PALF_full-R0,A,0.0004404526208728332,2.0,5
B_PALF_components,FI,PALF_full-R0,B,-0.009978714913197817,1.0,5
B_PALF_components,FI,PALF_aniso-R0,A,0.001447911684255143,4.0,5
B_PALF_components,FI,PALF_aniso-R0,B,-0.0012862230478742354,2.0,5
B_PALF_components,FI,PALF_network-R0,A,0.0030356446410257252,4.0,5
B_PALF_components,FI,PALF_network-R0,B,-0.0019044642475188112,2.0,5
B_PALF_components,FI,NCR-Ridge,A,-0.0007051632727039347,2.0,5
B_PALF_components,FI,NCR-Ridge,B,0.00242713445573598,3.0,5
B_PALF_components,FI,NCR-cross,A,-0.0002203396658425838,2.0,5
B_PALF_components,FI,NCR-cross,B,-0.0010269889018578505,3.0,5
B_PALF_components,FI,NCR-shuffled,A,-0.0032437779296364934,2.0,5
B_PALF_components,FI,NCR-shuffled,B,-0.00013789264395347445,2.0,5
B_PALF_components,FI,NCR-random,A,-0.006038202082079535,2.0,5
B_PALF_components,FI,NCR-random,B,-0.019244486124065086,0.0,5
B_PALF_components,FI,NCR-R0,A,-0.006496056883254176,1.0,5
B_PALF_components,FI,NCR-R0,B,-0.004127828495382046,1.0,5
E_modality_F_fusion,WM,B1_fc_only_A,pearson,0.26087785856842927,,25
E_modality_F_fusion,WM,B1_sc_only_A,pearson,0.24753626624317437,,25
E_modality_F_fusion,WM,B1_expert_only_A,pearson,0.2204663156365358,,25
E_modality_F_fusion,WM,B1_fused_A,pearson,0.2634465628795836,,25
E_modality_F_fusion,WM,B1_fc_only_B,pearson,0.27038789677464914,,25
E_modality_F_fusion,WM,B1_sc_only_B,pearson,0.18587534725497326,,25
E_modality_F_fusion,WM,B1_expert_only_B,pearson,0.2413469326467559,,25
E_modality_F_fusion,WM,B1_fused_B,pearson,0.27178462717329843,,25
E_modality_F_fusion,FI,B1_fc_only_A,pearson,0.33965668283763306,,25
E_modality_F_fusion,FI,B1_sc_only_A,pearson,0.3502599125978312,,25
E_modality_F_fusion,FI,B1_expert_only_A,pearson,0.24891439421883838,,25
E_modality_F_fusion,FI,B1_fused_A,pearson,0.34911001342020975,,25
E_modality_F_fusion,FI,B1_fc_only_B,pearson,0.3110973736941554,,25
E_modality_F_fusion,FI,B1_sc_only_B,pearson,0.32925711803162816,,25
