task,seed,fold,pearson,rmse
WM,0,0,0.18150781171657138,9.953708897125903
FI,0,0,0.5078049710892824,3.7680036998826796
WM,0,1,0.21011026114968462,11.107456205200632
FI,0,1,0.3810946470883656,4.720386065571555
WM,0,2,0.22032587855193453,12.108116520564518
FI,0,2,0.3368590979036065,4.907362322426804
WM,0,3,0.4137912456424626,10.42601669321304
FI,0,3,0.22198577225551422,4.64091918667142
WM,0,4,0.36456226298500277,12.748525651697364
FI,0,4,0.43011852387753713,4.6394561929065015
WM,1,0,0.447572990681496,10.0462326641421
FI,1,0,0.24362888835743796,4.5561161101615015
WM,1,1,0.09411153151248963,12.205825200604627
FI,1,1,0.3923124556656111,4.28532945967981
WM,1,2,0.16069440039950028,11.679811649163742
FI,1,2,0.4390614872696722,4.770610753593804
WM,1,3,0.2737362078145579,12.180754679081131
FI,1,3,0.3174854544421227,4.9587821656278654
WM,1,4,0.33001612018084536,10.326050363231534
FI,1,4,0.3304767635115048,4.608582864118105
WM,2,0,0.34490486378880847,12.263145134570001
FI,2,0,0.4521725958294557,4.637389689978013
WM,2,1,0.40030037107749933,10.182742158248839
FI,2,1,0.3277439355868862,4.495169471144699
WM,2,2,0.2654596095068368,11.487669706069758
FI,2,2,0.4343322072589928,4.24168370762341
WM,2,3,0.3374839914318403,10.851302533135263
FI,2,3,0.4367764368117312,4.566720654932367
WM,2,4,0.18099290807643947,10.983248210660257
FI,2,4,0.36713611760470866,4.567640299282427
WM,3,0,0.2373243758611771,9.727672249700511
FI,3,0,0.24861303052611783,4.759831389329506
WM,3,1,0.20484288032724463,12.386177873783257
FI,3,1,0.36410336895898743,4.541984749437562
WM,3,2,0.1291787098566859,12.247215468820167
FI,3,2,0.3948589068791309,4.427948963745986
WM,3,3,0.4756420293458906,10.856475692788187
FI,3,3,0.44162326740548474,4.588306068250188
WM,3,4,0.38573896126004614,10.325573294816795
FI,3,4,0.26452651371334984,4.821296411003336
WM,4,0,0.17489450754575825,11.150804063387888
FI,4,0,0.3722206445721284,4.509378582798186
WM,4,1,0.25750626455415776,11.459856525451027
FI,4,1,0.3670144272410196,4.326442430155866
WM,4,2,0.17583322405357776,10.756697111044419
FI,4,2,0.3503758927362296,4.578089102183271
WM,4,3,0.2556959072518471,11.88849183435997
FI,4,3,0.288470474884768,4.957658488432
WM,4,4,0.4369970258733452,10.600985955936887
FI,4,4,0.4592498157877206,4.475505427610907
WM,5,0,0.1002181326277596,12.39228743561207
FI,5,0,0.325381069918473,4.64005525246659
WM,5,1,0.2588425352679829,11.72544733641313
FI,5,1,0.3804314948248547,4.397100127951575
WM,5,2,0.1140180194706596,11.903847309009521
FI,5,2,0.4396990936594241,4.769106270326793
WM,5,3,0.26046211172376454,11.369105698814474
FI,5,3,0.44828196133948117,4.613013606488757
WM,5,4,0.23535480644552897,11.209387794591274
FI,5,4,0.2568120676861924,4.4215926553245355
WM,6,0,0.23838161570890515,11.630400757162867
FI,6,0,0.3151999150195667,4.313195215487628
WM,6,1,0.23833166883817933,10.411828880693662
FI,6,1,0.4449914620759504,4.217631998561368
WM,6,2,0.03398938164578257,12.762084709882288
FI,6,2,0.29011826868590795,4.646702654622808
WM,6,3,0.34337848792535564,10.272983197965045
FI,6,3,0.4438891696826971,4.181478232144444
WM,6,4,0.3088783831920858,11.881435880294521
FI,6,4,0.3948893374223302,5.286155890705484
WM,7,0,0.2231031479211155,11.686917002707007
FI,7,0,0.31182585582621575,4.446810458184444
WM,7,1,0.2902770566022497,10.326477776057567
FI,7,1,0.47951569307091785,4.485292058773553
WM,7,2,0.1792396336629845,11.895376101075875
FI,7,2,0.36271530461514473,4.576822760477103
WM,7,3,0.337050573204909,11.083952270311947
FI,7,3,0.3546811825466585,4.833162700613825
WM,7,4,0.26207862722721176,11.195278352499951
FI,7,4,0.30761072226138975,4.49052195882734
WM,8,0,0.19415815376736562,11.35577153013357
FI,8,0,0.37099964623935133,4.5596093375466085
WM,8,1,0.2953020034216084,11.190829296143324
FI,8,1,0.39710086641999376,4.682732572691196
WM,8,2,0.42825225784860654,10.195538659277771
FI,8,2,0.4232006669450107,4.450081937036113
WM,8,3,0.29756547580956194,12.478274589340122
FI,8,3,0.1924782028014608,4.60343028233796
WM,8,4,0.2643798389413081,11.284660862240157
FI,8,4,0.3471849303738854,4.900316694218685
WM,9,0,0.4740681247072434,10.981011986261953
FI,9,0,0.4810091440511013,4.477161584976402
WM,9,1,0.18548700117193295,11.546229928843266
FI,9,1,0.3457546189957902,4.799741536548539
WM,9,2,0.26046010993862434,11.093588557508406
FI,9,2,0.49728733437564543,4.100308563332057
WM,9,3,0.20357359268104006,11.098623885644246
FI,9,3,0.4381173374097799,4.4908282059205735
WM,9,4,0.18966359931472182,11.724154000269666
FI,9,4,0.3266457049734359,4.601012870818001
