target,model,regime,n_used,abstained,fc_edge_spearman,fc_top100_jaccard,fc_top10_roi_jaccard,sc_edge_spearman,sc_top100_jaccard,sc_top10_roi_jaccard,multimodal_top10_roi_jaccard,multimodal_top20_roi_jaccard,sign_consistency
WM,B0,A,19,6,0.7320594395979316,0.21986497778381894,0.5849894190967462,0.7562205894874644,0.15792488477819494,0.32411212466614125,0.6399209951841531,0.6078974472163843,0.8454443742531976
WM,B0,B,21,4,0.6641528588552676,0.24723449940889194,0.5858091876999441,0.5750384415108719,0.26648183879180454,0.3604761570926984,0.6131416436038286,0.5609941509084104,0.8476789971779255
WM,B1,A,21,4,0.708561396220831,0.16952088396662549,0.5467762318602655,0.7540013869304424,0.15768938987998687,0.30503915466321485,0.5948591091448234,0.6181925205356347,0.835668182967659
WM,B1,B,20,5,0.6661396720010729,0.20138271222043883,0.5080254237823084,0.5820421679051099,0.2784455221226409,0.4070706690879414,0.5105729622431595,0.5511657996414261,0.838404586540095
WM,B2,A,21,4,0.6583249363576024,0.1400649894186851,0.5496712671082419,0.7321158675483653,0.4544980713951748,0.4418191707223109,0.6095590818832748,0.5735668752132863,0.8386921009080722
WM,B2,B,20,5,0.7355021818992782,0.21004855861974295,0.5783142296300192,0.5925154041928842,0.2249169188359667,0.29705765601154227,0.568212051106788,0.5632911606984503,0.8530456062723872
WM,B3,A,17,8,0.7215941515457883,0.1278533654436771,0.4399154482529551,0.5101895159316931,0.15413610690793728,0.43639455040497654,0.4687680304428165,0.5067675784889106,0.8108741700314098
WM,B3,B,23,2,0.5723673652660903,0.15199024169462125,0.5487881805782171,0.5827098023389958,0.2936132645911272,0.7005705098590473,0.5816999474594403,0.5454623462634631,0.8231839566879823
WM,B4,A,19,6,0.5641926345469347,0.12566565598294818,0.437318548515659,0.6838711264446086,0.2575174268060378,0.30774922305800584,0.46593533745236526,0.5301544875481592,0.8155566416962478
WM,B4,B,20,5,0.6204872182463246,0.16134741981603049,0.39466679691137896,0.5237922242248159,0.15314904358043857,0.30116234181331136,0.43547612518200757,0.5382171913471016,0.8153815883384862
FI,B0,A,18,7,0.6596400064735491,0.1624087714780811,0.5655356433903147,0.5899803603789164,0.15792218748390574,0.5631237274835891,0.7047135870665282,0.5818170418438913,0.8051555214491919
FI,B0,B,23,2,0.6419459977793727,0.23482878669135615,0.6544601643415873,0.5887225026035653,0.1954659038054405,0.570044850909766,0.7672406644738662,0.7215933888214349,0.8325278338054902
FI,B1,A,20,5,0.642621431220094,0.14489293277903645,0.4874349655920455,0.5993146426828766,0.13680724652266135,0.39919671379260757,0.5375560971536204,0.5905617324637695,0.786569208249258
FI,B1,B,24,1,0.6410725126394606,0.20881936512422528,0.5171405037133937,0.5752160845736194,0.1765498184403181,0.4318371366173897,0.5899236632932285,0.7179708760049025,0.8276758803105622
FI,B2,A,19,6,0.5827677787389595,0.1758269328491401,0.4754773090686403,0.6011668380459214,0.16054642093457727,0.37103669107634135,0.4923621843126488,0.504692021029622,0.8212510270608206
FI,B2,B,22,3,0.5150973846494836,0.29940356479659885,0.47587269480237193,0.8134356385789165,0.3067563633919386,0.5853987282558712,0.648823038433428,0.49558225553159774,0.889379955262988
FI,B3,A,9,16,0.9858469860501243,0.20328287344457474,0.5650840387682493,0.6853013952944778,0.18615626738157517,0.44534799804407643,0.44767160943631523,0.5783347736363165,0.8721408069768726
FI,B3,B,10,15,0.7438856446589031,0.12571360463445705,0.40913891749805054,0.5548242718032718,0.16217601206647092,0.38996471937648397,0.48995880662547314,0.5361311157228252,0.8349742014258142
FI,B4,A,22,3,0.830367040067372,0.20086093562009877,0.35399110514706994,0.7306962721676873,0.22316722192602664,0.5729943754751764,0.5943729859937491,0.5424267200127699,0.8052215924662335
FI,B4,B,24,1,0.7715533417083089,0.23838198366124927,0.4266049655065674,0.6802991899836036,0.2616147247508974,0.6159241527729883,0.7216171805366179,0.5082610646926666,0.8728453613027856
