target,contrast,regime,mean,median,positive,n,seeds
WM,PALF_full-R0,A,-0.0030958604126733067,-0.001998279905878836,2,5,"[np.float64(-0.001998), np.float64(0.01121), np.float64(0.020141), np.float64(-0.005828), np.float64(-0.039004)]"
WM,PALF_full-R0,B,-0.011019716744395131,-0.0014695404771900011,2,5,"[np.float64(-0.027196), np.float64(-0.00147), np.float64(0.000958), np.float64(0.013369), np.float64(-0.04076)]"
WM,PALF_aniso-R0,A,0.005558530360113062,0.005271605785393874,4,5,"[np.float64(0.014935), np.float64(0.021817), np.float64(0.005272), np.float64(0.004908), np.float64(-0.019139)]"
WM,PALF_aniso-R0,B,-0.008286445618099058,-0.02050411679909414,2,5,"[np.float64(-0.020504), np.float64(0.010479), np.float64(-0.02868), np.float64(0.025086), np.float64(-0.027813)]"
WM,PALF_network-R0,A,0.0012740079784222757,0.0008827945041003371,3,5,"[np.float64(0.006462), np.float64(0.000883), np.float64(-0.008402), np.float64(0.01104), np.float64(-0.003613)]"
WM,PALF_network-R0,B,0.0012165771181666118,0.003309522606260329,3,5,"[np.float64(0.003377), np.float64(-0.004431), np.float64(0.00331), np.float64(0.00453), np.float64(-0.000702)]"
WM,NCR-Ridge,A,-0.004545772126432607,-0.0027455072008015224,1,5,"[np.float64(-0.012749), np.float64(-0.009444), np.float64(-0.001665), np.float64(0.003875), np.float64(-0.002746)]"
WM,NCR-Ridge,B,-0.0023625631922838397,-0.0016066923459896465,1,5,"[np.float64(-0.001607), np.float64(-7e-06), np.float64(0.001138), np.float64(-0.004319), np.float64(-0.007018)]"
WM,NCR-cross,A,-0.002774092173803433,0.0015312547444653046,3,5,"[np.float64(0.00462), np.float64(-0.022055), np.float64(-0.01604), np.float64(0.018073), np.float64(0.001531)]"
WM,NCR-cross,B,0.01067463951991392,0.005065052184742069,4,5,"[np.float64(-0.006793), np.float64(0.002318), np.float64(0.012565), np.float64(0.005065), np.float64(0.040218)]"
WM,NCR-shuffled,A,0.00925814490199906,0.01205212430689595,4,5,"[np.float64(-0.01915), np.float64(0.012052), np.float64(0.010031), np.float64(0.030338), np.float64(0.01302)]"
WM,NCR-shuffled,B,0.02171603227269594,0.02236049767743281,5,5,"[np.float64(0.024897), np.float64(0.039068), np.float64(0.02236), np.float64(0.004475), np.float64(0.01778)]"
WM,NCR-random,A,0.0017875644147390235,-0.003403232960844993,2,5,"[np.float64(-0.015431), np.float64(-0.01079), np.float64(0.015756), np.float64(0.022807), np.float64(-0.003403)]"
WM,NCR-random,B,0.016778638230910407,0.006806567010151421,5,5,"[np.float64(0.016682), np.float64(0.0033), np.float64(0.052148), np.float64(0.006807), np.float64(0.004957)]"
WM,NCR-R0,A,0.0018405065433199307,0.00248118788298729,3,5,"[np.float64(-0.026471), np.float64(-0.001631), np.float64(0.007794), np.float64(0.027029), np.float64(0.002481)]"
WM,NCR-R0,B,0.0056237988620962635,0.0028449601330766683,4,5,"[np.float64(0.001043), np.float64(0.014409), np.float64(0.012868), np.float64(0.002845), np.float64(-0.003045)]"
FI,PALF_full-R0,A,0.0004404526208728332,-0.00016963421993643202,2,5,"[np.float64(-0.005496), np.float64(0.004692), np.float64(0.006119), np.float64(-0.002943), np.float64(-0.00017)]"
FI,PALF_full-R0,B,-0.009978714913197817,-0.009174062727691334,1,5,"[np.float64(-0.024356), np.float64(0.000783), np.float64(-0.014187), np.float64(-0.009174), np.float64(-0.002959)]"
FI,PALF_aniso-R0,A,0.001447911684255143,0.005284158031609809,4,5,"[np.float64(-0.01528), np.float64(0.007524), np.float64(0.005284), np.float64(0.005813), np.float64(0.003899)]"
FI,PALF_aniso-R0,B,-0.0012862230478742354,-0.0006955667280746924,2,5,"[np.float64(-0.013657), np.float64(0.003826), np.float64(-0.000696), np.float64(-0.010549), np.float64(0.014644)]"
FI,PALF_network-R0,A,0.0030356446410257252,0.005400088413106741,4,5,"[np.float64(0.006807), np.float64(0.012094), np.float64(0.0054), np.float64(-0.009301), np.float64(0.000178)]"
FI,PALF_network-R0,B,-0.0019044642475188112,-0.0002861442403114811,2,5,"[np.float64(-0.005336), np.float64(0.008517), np.float64(-0.015549), np.float64(-0.000286), np.float64(0.003133)]"
FI,NCR-Ridge,A,-0.0007051632727039347,-0.0003603415921711872,2,5,"[np.float64(-0.005572), np.float64(0.000847), np.float64(-0.003864), np.float64(0.005424), np.float64(-0.00036)]"
FI,NCR-Ridge,B,0.00242713445573598,0.002047071078056961,3,5,"[np.float64(0.005604), np.float64(0.006397), np.float64(-0.001041), np.float64(0.002047), np.float64(-0.000871)]"
FI,NCR-cross,A,-0.0002203396658425838,-0.0039531881505513455,2,5,"[np.float64(-0.008908), np.float64(0.033489), np.float64(-0.026504), np.float64(0.004775), np.float64(-0.003953)]"
FI,NCR-cross,B,-0.0010269889018578505,0.0003653705688752562,3,5,"[np.float64(0.000488), np.float64(-0.015973), np.float64(0.000365), np.float64(-0.00776), np.float64(0.017744)]"
