target,model,regime,r_mean,r_median,r_std,rmse_mean,mae_mean,n_seeds
FI,A0,A,0.35607699708657836,0.3568908452018352,0.012830010695093612,4.5852843206055125,3.8086386558958885,5
FI,A0,B,0.3363923068535803,0.3368706008924546,0.018693038334861273,4.618210405664087,3.858858194819881,5
FI,A1,A,0.3565174497074512,0.3513947347628391,0.014638048576603514,4.588622236943693,3.7994841358453693,5
FI,A1,B,0.32641359194038244,0.3240209486095703,0.012680444950135683,4.648587448525238,3.874440139769864,5
FI,A2,A,0.35752490877083354,0.3504231355022195,0.014796288033012753,4.584006463699638,3.8086385611086215,5
FI,A2,B,0.33510608380570606,0.32816036789707165,0.013948462903554535,4.625684576625249,3.857061397515268,5
FI,A3,A,0.35911264172760404,0.3636976457979959,0.015807894475473417,4.580132333847898,3.8006805520870133,5
FI,A3,B,0.33448784260606146,0.3365844566521431,0.011202396174192669,4.626795998134493,3.8652521323826567,5
FI,B0,A,0.3502861034760281,0.35434847831514416,0.012100155293186924,4.595189537398417,3.8276487740132294,5
FI,B0,B,0.3298373439024623,0.3269306708562555,0.022112128882028226,4.625709110903237,3.8820717559620483,5
FI,B1,A,0.3495809402033242,0.3487760469799204,0.011020450406332757,4.596681226889836,3.832063259036971,5
FI,B1,B,0.3322644783581982,0.32897774193431245,0.021810893755483556,4.619725198333063,3.884767986426656,5
FI,B2,A,0.34980127986916676,0.3576837662331463,0.01977727389945724,4.592870868080658,3.8272405888762093,5
FI,B2,B,0.3332914672600561,0.33673748150761074,0.027407519267122777,4.619484725513951,3.867720489071273,5
FI,B3,A,0.3528247181329606,0.3562313528680573,0.014936315242965313,4.590010993959957,3.8173683918223573,5
FI,B3,B,0.33240237100215164,0.32237032904719753,0.018914566601619512,4.623286223175386,3.8691772736750627,5
FI,B4,A,0.3556191422854037,0.3546397195077974,0.013992856309017363,4.580075550190054,3.825035808868644,5
FI,B4,B,0.3515089644822633,0.3492436109776649,0.029004204864131727,4.586180077762211,3.8562482100156017,5
WM,A0,A,0.263544450235855,0.26751464961492144,0.033406817969668205,11.245725687454424,9.123573524414946,5
WM,A0,B,0.2676961787725233,0.2630606761114672,0.02322684168826458,11.242460339032379,9.102680594196144,5
WM,A1,A,0.2604485898231817,0.2616868080169195,0.028065100646076632,11.244431859308715,9.078505085444315,5
WM,A1,B,0.25667646202812816,0.2549769765907668,0.023852218981844486,11.164881440671522,9.034998759575657,5
WM,A2,A,0.26910298059596804,0.27242261736597084,0.020093796476895506,11.097442235562669,9.012406540709229,5
WM,A2,B,0.25940973315442417,0.2506485726998662,0.03144275754529889,11.117405164476983,9.006219406253923,5
WM,A3,A,0.2648184582142773,0.27087874723562816,0.03023520723752204,11.273731741998144,9.129966323462329,5
WM,A3,B,0.26891275589068986,0.2664378216964455,0.024613351850184238,11.209581414262257,9.09150606349219,5
WM,B0,A,0.26993072890560754,0.28873964581919065,0.04112827217226559,11.179098258771184,9.0739528288554,5
WM,B0,B,0.27568254082690336,0.26574878369785637,0.01985213581165575,11.141376017359848,9.02041247840658,5
WM,B1,A,0.26538495677917495,0.28707482089095504,0.04679970574729113,11.204217652435457,9.09543582259633,5
WM,B1,B,0.2733199776346195,0.2668864668450607,0.01679619384929226,11.131482184871889,9.0272953347782,5
WM,B2,A,0.2681590489529784,0.27647045747001436,0.04645318970383664,11.163084508694194,9.067970935507848,5
WM,B2,B,0.2626453381147056,0.25575004218359954,0.012184955677025903,11.17515722549101,9.046159612679764,5
WM,B3,A,0.2561268118771759,0.264205390138368,0.03460938244766588,11.287090149809709,9.156006976710085,5
WM,B3,B,0.25160394536192354,0.24452596916762787,0.02762872910057092,11.235960384953227,9.128412067326128,5
WM,B4,A,0.2635973923644359,0.27131908822512396,0.036988621229897385,11.23721169242836,9.097536658002936,5
WM,B4,B,0.2565413394037091,0.25127835668300436,0.029656630279004,11.2162696391537,9.077823585194148,5
