target,model,regime,seed,pearson,rmse,mae
WM,A0,A,7171,0.22493040717136573,11.485231948438935,9.191796184079886
WM,A0,A,7272,0.2374252525248911,11.305711771562875,9.139950531797005
WM,A0,A,7373,0.27928068067395984,11.233278721407403,9.23390210560214
WM,A0,A,7474,0.26751464961492144,11.265016202084198,9.113216828868348
WM,A0,A,7575,0.3085712611941369,10.939389793778712,8.939001971727347
WM,A0,B,7171,0.2630606761114672,11.215807148451304,9.040310661952683
WM,A0,B,7272,0.24016946865422223,11.262452077311291,9.120834502565378
WM,A0,B,7373,0.2540188281362391,11.647311181006406,9.420292113241702
WM,A0,B,7474,0.28221851036459344,11.064197699401705,8.97306649172696
WM,A0,B,7575,0.2990134105960942,11.022533588991188,8.958899201493997
WM,A1,A,7171,0.2229321272654869,11.446858999942268,9.159408879438617
WM,A1,A,7272,0.24863546866931763,11.252377680617128,9.091623747194665
WM,A1,A,7373,0.2994214591870627,11.009065084752345,9.003165760321647
WM,A1,A,7474,0.2616868080169195,11.435424388172942,9.186193291826857
WM,A1,A,7575,0.26956708597712176,11.078433143058893,8.952133748439786
WM,A1,B,7171,0.23586451907919712,11.195838536859727,9.038972860039841
WM,A1,B,7272,0.23869992817703223,11.211734012508852,9.098088754196887
WM,A1,B,7373,0.2549769765907668,11.293578460903914,9.171966330727125
WM,A1,B,7474,0.2955871899041231,11.014258929677775,8.854681887736671
WM,A1,B,7575,0.25825369638952134,11.108997263407336,9.011283965177766
WM,A2,A,7171,0.23986580051028072,11.252520055740902,9.025643096167405
WM,A2,A,7272,0.25924178729432845,11.09344017579684,9.029453589313842
WM,A2,A,7373,0.2845522864593537,10.982937051479968,9.034009713509258
WM,A2,A,7474,0.27242261736597084,11.20063443567283,9.046193020082475
WM,A2,A,7575,0.2894324113499066,10.9576794591228,8.926733284473167
WM,A2,B,7171,0.24255655931237308,11.192543977724627,9.014119216015272
WM,A2,B,7272,0.2506485726998662,11.15638170684609,9.056636468208229
WM,A2,B,7373,0.2253385271789286,11.306439843728059,9.195807454095547
WM,A2,B,7474,0.30730481161569817,10.893135032397026,8.805345031940467
WM,A2,B,7575,0.2712001949652549,11.03852526168912,8.959188861010103
WM,A3,A,7171,0.2313928531255315,11.432365321178029,9.16321353539204
WM,A3,A,7272,0.23830804702899144,11.380012924043049,9.170326255659457
WM,A3,A,7373,0.27087874723562816,11.386258397218509,9.322672715002033
WM,A3,A,7474,0.2785545425382475,11.209831725604742,9.052959668466768
WM,A3,A,7575,0.30495810114298777,10.9601903419464,8.940659442791336
WM,A3,B,7171,0.2664378216964455,11.194464349188983,9.03216104574403
WM,A3,B,7272,0.23573801162685495,11.262723380836503,9.135939101539178
WM,A3,B,7373,0.25732835074249943,11.51383176572875,9.358535245715041
WM,A3,B,7474,0.2867482913473901,11.072742853202746,8.967851757223903
WM,A3,B,7575,0.2983113040402593,11.004144722354301,8.9630431672388
WM,B0,A,7171,0.211208509992955,11.559125866577462,9.297802798656129
WM,B0,A,7272,0.2452390756228844,11.210039258802025,9.095392671664492
WM,B0,A,7373,0.28873964581919065,11.103771906150373,9.133473592615044
WM,B0,A,7474,0.2906684568150819,11.104882304592214,8.937630995269622
WM,B0,A,7575,0.3137979562779257,10.917671957733843,8.905464086071719
WM,B0,B,7171,0.2657102545776955,11.169143131431397,9.019010169666863
WM,B0,B,7272,0.25458467969065957,11.164975141047572,9.052552550645837
WM,B0,B,7373,0.26574878369785637,11.360713445711282,9.200859930041513
WM,B0,B,7474,0.28938290047060317,11.03206714763049,8.914917021776235
WM,B0,B,7575,0.30298608569770213,10.979981220978495,8.914722719902455
WM,B1,A,7171,0.19845920214156101,11.651543497384584,9.377793954717697
WM,B1,A,7272,0.23579459206399417,11.219971957710118,9.098551819082775
WM,B1,A,7373,0.28707482089095504,11.117445717938546,9.151328421994442
WM,B1,A,7474,0.29454371972224025,11.110133025271791,8.922295874352937
WM,B1,A,7575,0.3110524490771242,10.921994063872248,8.927209042833804
WM,B1,B,7171,0.26410356223170584,11.150191137932485,9.001158715499102
WM,B1,B,7272,0.2545780692449795,11.139767592005542,9.062942464565864
WM,B1,B,7373,0.2668864668450607,11.329757918653728,9.19102452431668
WM,B1,B,7474,0.2850634704976701,11.040144060068048,8.954688769170401
WM,B1,B,7575,0.2959683193536814,10.99755021569964,8.926662200338951
WM,B2,A,7171,0.19383880483799834,11.569501260736688,9.300815178528934
WM,B2,A,7272,0.25784989090815136,11.11501377552251,9.013953731532638
WM,B2,A,7373,0.3031148972160689,11.021968240713266,9.06145875839698
WM,B2,A,7474,0.27647045747001436,11.19762026327903,9.043238814740583
WM,B2,A,7575,0.3095211943326589,10.911319003219479,8.920388194340106
WM,B2,B,7171,0.2708964654465203,11.118986879932391,8.984004985600526
WM,B2,B,7272,0.2522600350407261,11.130553192926959,9.067955792275724
WM,B2,B,7373,0.25432172958975396,11.410414266138709,9.200350021281347
WM,B2,B,7474,0.27999841831292804,11.05615428342216,8.926712893158614
WM,B2,B,7575,0.25575004218359954,11.159677505034828,9.051774371082605
WM,B3,A,7171,0.21760943410229555,11.606995617654174,9.304041697497812
WM,B3,A,7272,0.22374246775709822,11.33925255088517,9.174627408309036
WM,B3,A,7373,0.27704395269094656,11.223698808477055,9.216197559524554
WM,B3,A,7474,0.264205390138368,11.2935024314718,9.115142064703747
WM,B3,A,7575,0.298032814697171,10.972001340560341,8.97002615351528
WM,B3,B,7171,0.23920613707762944,11.294778387558406,9.155719308391907
WM,B3,B,7272,0.21551053774674955,11.290728259409356,9.192852510986613
WM,B3,B,7373,0.24452596916762787,11.528156316789111,9.367029943271517
WM,B3,B,7474,0.28058888747096733,11.028331225533035,8.973898404390255
WM,B3,B,7575,0.27818819534664363,11.03780773547623,8.95256016959035
WM,B4,A,7171,0.213890507113556,11.513414215807547,9.169269661370492
WM,B4,A,7272,0.24658503626827438,11.191253087046556,9.091873462813929
