target,model,r_412,r_plus98,delta_r_observed,delta_r_ci_lo,delta_r_ci_hi,delta_r_seed_mean,positive_seeds,tier
WM,A0,0.2966986809695322,0.2903242338780321,-0.0063744470915001,-0.0545762098858931,0.0409769611958371,0.0041517285366682475,3,NO_GAIN
WM,A1,0.2945670536224182,0.282391049258226,-0.0121760043641922,-0.0617965986293301,0.038508934965806,-0.0037721277950535925,2,NO_GAIN
WM,A2,0.3005289937169976,0.2828351622991078,-0.0176938314178897,-0.0632530314240241,0.0279135108907949,-0.009693247441543883,2,NO_GAIN
WM,A3,0.3008188120162465,0.2927803629152298,-0.0080384491010166,-0.0574364472815397,0.0399858716916793,0.004094297676412584,2,NO_GAIN
WM,B0,0.3070913863322184,0.2979878881190508,-0.0091034982131675,-0.0561155967481649,0.0378394630251704,0.005751811921295769,2,NO_GAIN
WM,B1,0.3031344012486034,0.2967563770644696,-0.0063780241841338,-0.0543105479208898,0.0415633807016319,0.007935020855444596,2,NO_GAIN
WM,B2,0.3024767414509467,0.2910323643654312,-0.0114443770855154,-0.0589651573602494,0.0359227811346727,-0.0055137108382727895,2,NO_GAIN
WM,B3,0.2889920345455024,0.2799444425855029,-0.0090475919599994,-0.0573676986983839,0.0397740197599653,-0.004522866515252339,2,NO_GAIN
WM,B4,0.3016415717086234,0.2813363754885221,-0.0203051962201012,-0.0707405848615295,0.0284853316500522,-0.007056052960726827,3,NO_GAIN
FI,A0,0.3885994899806336,0.3607463148895888,-0.0278531750910447,-0.0687856245018546,0.0123435443601553,-0.01968469023299808,0,NO_GAIN
FI,A1,0.389474112107781,0.3557058676591592,-0.0337682444486218,-0.0763090357080367,0.0079916596652677,-0.030103857767068743,0,NO_GAIN
FI,A2,0.3897509625177585,0.3604673313036471,-0.0292836312141114,-0.0702153455996658,0.0103117381848425,-0.022418824965127447,0,NO_GAIN
FI,A3,0.3906337808272583,0.3615323776375724,-0.0291014031896859,-0.0711557108081371,0.0123549181185079,-0.024624799121542595,1,NO_GAIN
FI,B0,0.3865091762084732,0.3557320441138115,-0.0307771320946617,-0.0720638956275343,0.0103270510226084,-0.020448759573565824,1,NO_GAIN
FI,B1,0.3867212454375268,0.3575799241509957,-0.0291413212865311,-0.069833049139295,0.0118598075214659,-0.01731646184512593,1,NO_GAIN
FI,B2,0.384371231812255,0.3584431374873621,-0.0259280943248929,-0.0678377740141154,0.0164047112989016,-0.01650981260911071,2,NO_GAIN
FI,B3,0.3853231995968803,0.3569923066403559,-0.0283308929565243,-0.0687729734464612,0.0111616254519163,-0.020422347130808982,0,NO_GAIN
FI,B4,0.3891539626365703,0.3773723401151907,-0.0117816225213796,-0.0512078801528103,0.0276806482455588,-0.004110177803140413,3,NO_GAIN
