task,seed,condition,mean_alignment_matched,mean_alignment_cross_task
working_memory,0,R0,,
working_memory,0,R1,,
working_memory,0,R2,,
working_memory,0,R3,,
working_memory,1,R0,,
working_memory,1,R1,,
working_memory,1,R2,,
working_memory,1,R3,,
working_memory,2,R0,,
working_memory,2,R1,,
working_memory,2,R2,,
working_memory,2,R3,,
working_memory,3,R0,,
working_memory,3,R1,,
working_memory,3,R2,,
working_memory,3,R3,,
working_memory,4,R0,,
working_memory,4,R1,,
working_memory,4,R2,,
working_memory,4,R3,,
working_memory,5,R0,,
working_memory,5,R1,,
working_memory,5,R2,,
working_memory,5,R3,,
working_memory,6,R0,,
working_memory,6,R1,,
working_memory,6,R2,,
working_memory,6,R3,,
working_memory,7,R0,,
working_memory,7,R1,,
working_memory,7,R2,,
working_memory,7,R3,,
working_memory,8,R0,,
working_memory,8,R1,,
working_memory,8,R2,,
working_memory,8,R3,,
working_memory,9,R0,,
working_memory,9,R1,,
working_memory,9,R2,,
working_memory,9,R3,,
fluid_intelligence,0,R0,,
fluid_intelligence,0,R1,,
fluid_intelligence,0,R2,,
fluid_intelligence,0,R3,,
fluid_intelligence,1,R0,,
fluid_intelligence,1,R1,,
fluid_intelligence,1,R2,,
fluid_intelligence,1,R3,,
fluid_intelligence,2,R0,,
fluid_intelligence,2,R1,,
fluid_intelligence,2,R2,,
fluid_intelligence,2,R3,,
fluid_intelligence,3,R0,,
fluid_intelligence,3,R1,,
fluid_intelligence,3,R2,,
fluid_intelligence,3,R3,,
fluid_intelligence,4,R0,,
fluid_intelligence,4,R1,,
fluid_intelligence,4,R2,,
fluid_intelligence,4,R3,,
fluid_intelligence,5,R0,,
fluid_intelligence,5,R1,,
fluid_intelligence,5,R2,,
fluid_intelligence,5,R3,,
fluid_intelligence,6,R0,,
fluid_intelligence,6,R1,,
fluid_intelligence,6,R2,,
fluid_intelligence,6,R3,,
fluid_intelligence,7,R0,,
fluid_intelligence,7,R1,,
fluid_intelligence,7,R2,,
fluid_intelligence,7,R3,,
fluid_intelligence,8,R0,,
fluid_intelligence,8,R1,,
fluid_intelligence,8,R2,,
fluid_intelligence,8,R3,,
fluid_intelligence,9,R0,,
fluid_intelligence,9,R1,,
fluid_intelligence,9,R2,,
fluid_intelligence,9,R3,,
