task,seed,outer_fold,condition,model,pearson,rmse,mae,n_train,n_test
fluid_intelligence,0,0,R0,FC,0.16924808399796537,5.394924784901462,4.216918468810427,329,83
fluid_intelligence,0,0,R0,SC,0.5010066323369082,3.8067418891913047,2.923656851419128,329,83
fluid_intelligence,0,0,R0,FP,0.24874520933912875,4.603193796669495,3.564413894732622,329,83
fluid_intelligence,0,0,R0,fused,0.42475569654318085,4.0019686313341145,3.057447533592837,329,83
fluid_intelligence,0,0,R0,equal_weight,0.377123084064716,4.158978232847947,3.1675076966958446,329,83
fluid_intelligence,0,1,R0,FC,0.25563237432806524,5.500378170122329,4.592864476053432,329,83
fluid_intelligence,0,1,R0,SC,0.3507333439951801,4.80596463694515,4.06662322648786,329,83
fluid_intelligence,0,1,R0,FP,0.2665495953131337,4.908559907484383,4.07950543054277,329,83
fluid_intelligence,0,1,R0,fused,0.3690316640473051,4.755691479663313,4.022957835350928,329,83
fluid_intelligence,0,1,R0,equal_weight,0.34948896665474594,4.836822532667611,4.083290880646643,329,83
fluid_intelligence,0,2,R0,FC,0.11983971833121343,5.858288949040659,4.73129260703838,330,82
fluid_intelligence,0,2,R0,SC,0.316199090597919,5.044926439868408,4.322175420304644,330,82
fluid_intelligence,0,2,R0,FP,0.1873832240252205,5.301436586474432,4.452505798772856,330,82
fluid_intelligence,0,2,R0,fused,0.328549850786104,4.942283798869254,4.256147044915363,330,82
fluid_intelligence,0,2,R0,equal_weight,0.28135895769249075,5.026636613858914,4.225216366006691,330,82
fluid_intelligence,0,3,R0,FC,0.07988085323423023,5.875732309617666,4.8029881617561,330,82
fluid_intelligence,0,3,R0,SC,0.22724878904629317,4.758280230590928,3.8787430969058256,330,82
fluid_intelligence,0,3,R0,FP,0.09934639454835223,5.121303590296121,4.357093357972089,330,82
fluid_intelligence,0,3,R0,fused,0.20779258911454712,4.7513389946016575,4.079816785799346,330,82
