task,condition,seed,model,mean_pearson,mean_rmse,mean_mae,n_folds
fluid_intelligence,R0,0,fc,0.17711915568510614,5.607507025249224,4.5084116630932725,5
fluid_intelligence,R0,0,sc,0.3620121335899672,4.62154437281057,3.7770702322919605,5
fluid_intelligence,R0,0,fp,0.21249781783968102,4.979416064233492,4.122232648348101,5
fluid_intelligence,R0,0,fused,0.3550140498174382,4.610656202330308,3.815930282958008,5
fluid_intelligence,R0,0,equal_weight,0.32021207635394167,4.7182787564882,3.8873542870559774,5
fluid_intelligence,R0,1,fc,0.1679426562172889,5.815727457304083,4.743568018028656,5
fluid_intelligence,R0,1,sc,0.33607779628559686,4.695048806141758,3.852693233049821,5
fluid_intelligence,R0,1,fp,0.2384731827805974,4.959095029712488,4.192746812219143,5
fluid_intelligence,R0,1,fused,0.3301556073417083,4.699780772312771,3.8933744383640105,5
fluid_intelligence,R0,1,equal_weight,0.3015210437746803,4.8072740457096845,3.9950918783833367,5
fluid_intelligence,R0,2,fc,0.2078657287323277,5.589542927885066,4.5651704473414165,5
fluid_intelligence,R0,2,sc,0.3784823211357158,4.5928199499156435,3.7646894666522974,5
fluid_intelligence,R0,2,fp,0.24016840271008824,4.941610163463833,4.151290649082352,5
fluid_intelligence,R0,2,fused,0.399413812293992,4.523883284304569,3.7454480179806415,5
fluid_intelligence,R0,2,equal_weight,0.3495892404412812,4.68118381292682,3.88759519714167,5
fluid_intelligence,R0,3,fc,0.1692648084052828,5.664405619799799,4.49295343017433,5
fluid_intelligence,R0,3,sc,0.32760127202350914,4.708466792905002,3.834383491416591,5
fluid_intelligence,R0,3,fp,0.20323982359210616,4.86763818425411,4.100586710193161,5
fluid_intelligence,R0,3,fused,0.3444662881648862,4.633104027997208,3.793724534933785,5
fluid_intelligence,R0,3,equal_weight,0.2960197857096159,4.780153812472411,3.8862840600895927,5
fluid_intelligence,R0,4,fc,0.21451928485675645,5.437577566197366,4.393983049424633,5
fluid_intelligence,R0,4,sc,0.35088912639939845,4.643919353523344,3.826758546751492,5
fluid_intelligence,R0,4,fp,0.22951880640837447,4.862176991389735,4.050782879302668,5
fluid_intelligence,R0,4,fused,0.3739686564002983,4.564773429288584,3.7823232897947094,5
fluid_intelligence,R0,4,equal_weight,0.3484405564365581,4.6485446504959445,3.866610717413488,5
fluid_intelligence,R0,5,fc,0.17693886451938945,5.662172137462852,4.4930628745827,5
fluid_intelligence,R0,5,sc,0.34703719162647617,4.662324024688283,3.8109217376321993,5
fluid_intelligence,R0,5,fp,0.220348637099076,4.941852259319502,4.036434423763597,5
fluid_intelligence,R0,5,fused,0.3518384983651786,4.624532297955689,3.8188942730842896,5
fluid_intelligence,R0,5,equal_weight,0.3106216632008777,4.761421494753248,3.9314501838319686,5
fluid_intelligence,R0,6,fc,0.18775084009644413,5.526917206271246,4.494079137156605,5
fluid_intelligence,R0,6,sc,0.3621919414565111,4.612943940034265,3.7957606329021303,5
fluid_intelligence,R0,6,fp,0.20954980727089695,4.908858764494573,4.130780420940701,5
fluid_intelligence,R0,6,fused,0.373636114006491,4.557831894989661,3.7811027822813608,5
fluid_intelligence,R0,6,equal_weight,0.32896768352579786,4.670677081167782,3.892358673896664,5
fluid_intelligence,R0,7,fc,0.1627997023767222,5.780547352336337,4.6909620849707565,5
fluid_intelligence,R0,7,sc,0.35389476869857084,4.6514411123257275,3.824191022591151,5
fluid_intelligence,R0,7,fp,0.19892213143469845,5.158179262553192,4.297067367768579,5
fluid_intelligence,R0,7,fused,0.3414153572653045,4.652693337454904,3.841795773972317,5
fluid_intelligence,R0,7,equal_weight,0.29478713065626844,4.797909492181099,3.9524370929497694,5
fluid_intelligence,R0,8,fc,0.1704895378791295,5.62250601112107,4.508414120087862,5
fluid_intelligence,R0,8,sc,0.35144853024421724,4.686512143145173,3.872732756020117,5
fluid_intelligence,R0,8,fp,0.1860069423727907,5.025302403625017,4.151243457609679,5
fluid_intelligence,R0,8,fused,0.3490659390692474,4.662420403514939,3.827368391939533,5
fluid_intelligence,R0,8,equal_weight,0.3094328316907228,4.7828263138087985,3.9247007409088384,5
fluid_intelligence,R0,9,fc,0.21290679012398703,5.584906240455033,4.431311480145266,5
fluid_intelligence,R0,9,sc,0.40172957265307047,4.55476751260316,3.7428414226453435,5
fluid_intelligence,R0,9,fp,0.22715988333254913,4.974922144734719,4.107130080539007,5
fluid_intelligence,R0,9,fused,0.4227232252840185,4.482604917046902,3.6865378978069274,5
fluid_intelligence,R0,9,equal_weight,0.3718703244453129,4.6389842797666505,3.781040762984116,5
fluid_intelligence,R1,0,fc,0.17711915568510614,5.607507025249224,4.5084116630932725,5
fluid_intelligence,R1,0,sc,0.3620121335899672,4.62154437281057,3.7770702322919605,5
fluid_intelligence,R1,0,fp,0.21633335229255968,5.01571464766919,4.163996616479066,5
fluid_intelligence,R1,0,fused,0.3730560673763994,4.54122887300002,3.756039010510449,5
fluid_intelligence,R1,0,equal_weight,0.3625840615955096,4.575771767840402,3.8228713544320847,5
fluid_intelligence,R1,1,fc,0.1679426562172889,5.815727457304083,4.743568018028656,5
fluid_intelligence,R1,1,sc,0.33607779628559686,4.695048806141758,3.852693233049821,5
fluid_intelligence,R1,1,fp,0.2686202840229071,4.918114007236064,4.189441671159711,5
fluid_intelligence,R1,1,fused,0.3438589668677797,4.6590886460423375,3.8682691203223016,5
fluid_intelligence,R1,1,equal_weight,0.3760526497561135,4.584463349621188,3.8647450980434,5
fluid_intelligence,R1,2,fc,0.2078657287323277,5.589542927885066,4.5651704473414165,5
fluid_intelligence,R1,2,sc,0.3784823211357158,4.5928199499156435,3.7646894666522974,5
fluid_intelligence,R1,2,fp,0.2359553683589027,4.9659564119177935,4.166610795841229,5
fluid_intelligence,R1,2,fused,0.39673846825464076,4.519216404534086,3.736399188879207,5
fluid_intelligence,R1,2,equal_weight,0.3887309489018703,4.540484293697565,3.824772686518802,5
fluid_intelligence,R1,3,fc,0.1692648084052828,5.664405619799799,4.49295343017433,5
fluid_intelligence,R1,3,sc,0.32760127202350914,4.708466792905002,3.834383491416591,5
fluid_intelligence,R1,3,fp,0.22890411488857937,4.797723568924275,4.043601217298778,5
fluid_intelligence,R1,3,fused,0.34500733836239117,4.626846649306606,3.7802464753245375,5
fluid_intelligence,R1,3,equal_weight,0.3578153844431748,4.574618325180918,3.8355052738854085,5
fluid_intelligence,R1,4,fc,0.21451928485675645,5.437577566197366,4.393983049424633,5
fluid_intelligence,R1,4,sc,0.35088912639939845,4.643919353523344,3.826758546751492,5
fluid_intelligence,R1,4,fp,0.23934315383646787,4.992353247997829,4.135413032993431,5
fluid_intelligence,R1,4,fused,0.34646569844865704,4.618592966565419,3.8156464265564325,5
fluid_intelligence,R1,4,equal_weight,0.3620263642187708,4.577982048409352,3.8429458535449257,5
fluid_intelligence,R1,5,fc,0.17693886451938945,5.662172137462852,4.4930628745827,5
fluid_intelligence,R1,5,sc,0.34703719162647617,4.662324024688283,3.8109217376321993,5
fluid_intelligence,R1,5,fp,0.2540967721957983,4.911369076580329,4.034814046929414,5
fluid_intelligence,R1,5,fused,0.3629459116254279,4.576292154261543,3.7945608071859427,5
fluid_intelligence,R1,5,equal_weight,0.3731276290626605,4.5649518280350385,3.819093093289806,5
fluid_intelligence,R1,6,fc,0.18775084009644413,5.526917206271246,4.494079137156605,5
fluid_intelligence,R1,6,sc,0.3621919414565111,4.612943940034265,3.7957606329021303,5
fluid_intelligence,R1,6,fp,0.2412848908330801,4.914548471781887,4.12238300601315,5
fluid_intelligence,R1,6,fused,0.38021061706829296,4.535626901471454,3.760366090083938,5
fluid_intelligence,R1,6,equal_weight,0.3808314594707073,4.527847103481996,3.799342114070805,5
fluid_intelligence,R1,7,fc,0.1627997023767222,5.780547352336337,4.6909620849707565,5
fluid_intelligence,R1,7,sc,0.35389476869857084,4.6514411123257275,3.824191022591151,5
fluid_intelligence,R1,7,fp,0.21621772022835078,5.232764436193857,4.34589272661007,5
fluid_intelligence,R1,7,fused,0.36704505507165097,4.567802983946767,3.7882179616280474,5
fluid_intelligence,R1,7,equal_weight,0.3395721612358647,4.6557344534350396,3.871278909699835,5
fluid_intelligence,R1,8,fc,0.1704895378791295,5.62250601112107,4.508414120087862,5
fluid_intelligence,R1,8,sc,0.35144853024421724,4.686512143145173,3.872732756020117,5
fluid_intelligence,R1,8,fp,0.20052386592475013,5.057303210485066,4.144696552650465,5
fluid_intelligence,R1,8,fused,0.3453442496509476,4.652790708072585,3.8500349498820854,5
fluid_intelligence,R1,8,equal_weight,0.3526135681378392,4.630402518253429,3.844532016551664,5
fluid_intelligence,R1,9,fc,0.21290679012398703,5.584906240455033,4.431311480145266,5
fluid_intelligence,R1,9,sc,0.40172957265307047,4.55476751260316,3.7428414226453435,5
fluid_intelligence,R1,9,fp,0.23766777754385376,4.8042794431711435,4.024820144094732,5
fluid_intelligence,R1,9,fused,0.41776669750544615,4.474818425018139,3.7300395762035414,5
fluid_intelligence,R1,9,equal_weight,0.41479162977735246,4.490457413239048,3.767986461583118,5
fluid_intelligence,R2,0,fc,0.17711915568510614,5.607507025249224,4.5084116630932725,5
fluid_intelligence,R2,0,sc,0.3620121335899672,4.62154437281057,3.7770702322919605,5
fluid_intelligence,R2,0,fp,0.21238604269680866,4.972715723373705,4.118962463429952,5
fluid_intelligence,R2,0,fused,0.3735147821533201,4.541036701914554,3.764737388452393,5
fluid_intelligence,R2,0,equal_weight,0.36743995822271147,4.559966662886654,3.803376919510753,5
fluid_intelligence,R2,1,fc,0.1679426562172889,5.815727457304083,4.743568018028656,5
fluid_intelligence,R2,1,sc,0.33607779628559686,4.695048806141758,3.852693233049821,5
fluid_intelligence,R2,1,fp,0.22587120286944073,5.001080063991587,4.191418000629885,5
fluid_intelligence,R2,1,fused,0.34336790317086263,4.640684276438234,3.8493390408184176,5
fluid_intelligence,R2,1,equal_weight,0.3622165562583291,4.58976483796951,3.8425743453508057,5
fluid_intelligence,R2,2,fc,0.2078657287323277,5.589542927885066,4.5651704473414165,5
fluid_intelligence,R2,2,sc,0.3784823211357158,4.5928199499156435,3.7646894666522974,5
fluid_intelligence,R2,2,fp,0.2421053277531157,4.931247840342813,4.143558963053071,5
fluid_intelligence,R2,2,fused,0.40443886072788987,4.499857664759614,3.7473045779376286,5
fluid_intelligence,R2,2,equal_weight,0.3964885971109243,4.52612355973082,3.8130285829730246,5
fluid_intelligence,R2,3,fc,0.1692648084052828,5.664405619799799,4.49295343017433,5
fluid_intelligence,R2,3,sc,0.32760127202350914,4.708466792905002,3.834383491416591,5
fluid_intelligence,R2,3,fp,0.19787786166969318,4.874201913693286,4.109229098624096,5
fluid_intelligence,R2,3,fused,0.3432581446409618,4.631313631726811,3.7979664168386025,5
fluid_intelligence,R2,3,equal_weight,0.3450815269338185,4.605863642985464,3.8478465756555713,5
