task,condition_1,condition_2,model,family,metric,mean_condition_1,mean_condition_2,mean_difference,std_difference,positive_seeds,n_seeds,wilcoxon_statistic,raw_p,adjusted_p,ci_95_lower,ci_95_upper,direction
working_memory,R3,R0,fused,primary,Pearson r,0.26282092403276425,0.257281388953804,0.005539535078960292,0.015493290088813068,8,10,17.0,0.322265625,0.322265625,-0.004087685113509791,0.013886205524831583,positive
working_memory,R1,R0,fused,component_C1,Pearson r,0.26351477359024333,0.257281388953804,0.006233384636439407,0.013368149994267536,6,10,12.0,0.130859375,0.130859375,-0.0017935892516121176,0.013719387855729438,positive
working_memory,R2,R0,fused,component_C2,Pearson r,0.26282092403276447,0.257281388953804,0.005539535078960514,0.015493290088813373,8,10,17.0,0.322265625,0.322265625,-0.0040876851135094264,0.013886205524831684,positive
working_memory,R3,R1,fused,component_C3,Pearson r,0.26282092403276425,0.26351477359024333,-0.0006938495574791148,0.008324255393927392,4,10,23.0,0.6953125,0.6953125,-0.0054497462127214135,0.004352797194669419,negative
working_memory,R3,R2,fused,component_C4,Pearson r,0.26282092403276425,0.26282092403276447,-2.220446049250313e-16,8.034747770519006e-16,3,10,15.0,0.421875,0.421875,-6.7723604502134545e-16,2.4702462297909734e-16,negative
fluid_intelligence,R3,R0,fused,primary,Pearson r,0.3689074083856311,0.36416975480085634,0.004737653584774815,0.01331192663375606,5,10,20.0,0.4921875,0.4921875,-0.0027132665989715488,0.012925515396560915,positive
fluid_intelligence,R1,R0,fused,component_C1,Pearson r,0.3709173349695605,0.36416975480085634,0.006747580168704187,0.011060682479624186,6,10,14.0,0.193359375,0.193359375,0.0004922180590085979,0.013369109957176216,positive
fluid_intelligence,R2,R0,fused,component_C2,Pearson r,0.3689074083856311,0.36416975480085634,0.00473765358477477,0.013311926633755942,5,10,20.0,0.4921875,0.4921875,-0.002713266598971561,0.012925515396560809,positive
fluid_intelligence,R3,R1,fused,component_C3,Pearson r,0.3689074083856311,0.3709173349695605,-0.0020099265839293723,0.003987483033165211,3,10,13.0,0.16015625,0.16015625,-0.004539344361918296,0.00012362531724481113,negative
fluid_intelligence,R3,R2,fused,component_C4,Pearson r,0.3689074083856311,0.3689074083856311,4.4408920985006264e-17,2.969832179842721e-16,6,10,18.0,0.6328125,0.6328125,-1.27675647831893e-16,2.1649348980190552e-16,positive
