seed	fold	lambda_fc	lambda_l
0	0	0.1	0.03
0	1	1.0	0.03
0	2	1.0	0.03
0	3	0.1	0.03
0	4	1.0	0.03
1	0	1.0	0.03
1	1	0.1	5.0
1	2	0.1	5.0
1	3	0.1	0.03
1	4	1.0	0.03
2	0	0.1	0.03
2	1	0.1	0.03
2	2	1.0	0.03
2	3	1.0	0.03
2	4	1.0	0.03
3	0	1.0	0.03
3	1	0.1	5.0
3	2	1.0	0.03
3	3	1.0	5.0
3	4	1.0	0.03
4	0	0.1	5.0
4	1	1.0	0.03
4	2	1.0	1.0
4	3	1.0	0.5
4	4	0.1	0.03
5	0	0.1	0.03
5	1	0.1	0.03
5	2	1.0	0.5
5	3	0.1	0.03
5	4	1.0	0.03
6	0	1.0	0.03
6	1	1.0	5.0
6	2	0.1	0.03
6	3	0.1	5.0
6	4	0.1	0.03
7	0	0.1	1.0
7	1	0.1	0.03
7	2	0.1	0.03
7	3	1.0	0.03
7	4	0.1	5.0
8	0	1.0	0.03
8	1	0.1	0.03
8	2	1.0	0.03
8	3	0.1	0.5
8	4	0.1	0.1
9	0	1.0	0.03
9	1	1.0	0.03
9	2	1.0	0.03
9	3	0.1	5.0
9	4	0.1	5.0
