task,control_prior,control_display,metric,mean_matched,mean_control,mean_delta,median_delta,positive_seeds,n_seeds,wilcoxon_statistic,raw_p,ci_95_lower,ci_95_upper,direction
working_memory,cross_task,Cross-task,Pearson r (fused),0.26282092403276425,0.23898363514698873,-0.023837288885775472,-0.023997581033008683,12,50,171.0,1.5471859846627467e-06,-0.03249007050627588,-0.015113257117957662,negative
working_memory,cross_task,Cross-task,Pearson r (FP unfused),0.2760426556932296,0.24627511125754092,-0.02976754443568869,-0.03549150859156136,12,50,188.0,4.268415494834699e-06,-0.04027814187706622,-0.018849625140080706,negative
working_memory,shuffled,Shuffled,Pearson r (fused),0.26282092403276425,0.25666844760271856,-0.006152476430045657,-0.006091665511238187,20,50,430.0,0.045027510990479414,-0.014052515082980813,0.002405337077762706,negative
working_memory,shuffled,Shuffled,Pearson r (FP unfused),0.2760426556932296,0.2654903814502577,-0.010552274242971832,-0.009390727706451163,16,50,355.0,0.005758302166270823,-0.019752261336550694,-0.0005160865396764991,negative
working_memory,random,Random,Pearson r (fused),0.26282092403276425,0.2517546024895199,-0.011066321543244273,-0.0083215719136003,18,50,369.0,0.008848884696840642,-0.018640717575414203,-0.0036209469512650887,negative
working_memory,random,Random,Pearson r (FP unfused),0.2760426556932296,0.26104143418614695,-0.015001221507082597,-0.014733489235837893,14,50,302.0,0.0009149367393188612,-0.023781317076387247,-0.0058051594028443185,negative
fluid_intelligence,cross_task,Cross-task,Pearson r (fused),0.36890740838563113,0.36853749395406765,-0.00036991443156349777,-6.839050454041096e-05,23,50,536.0,0.5937980034175235,-0.0026025588734119296,0.0019411088162324468,negative
fluid_intelligence,cross_task,Cross-task,Pearson r (FP unfused),0.21251261014880243,0.2164608599650171,0.00394824981621471,0.001860679591035877,28,50,555.0,0.43191110415215306,-0.002658966543248888,0.011089140150515342,positive
fluid_intelligence,shuffled,Shuffled,Pearson r (fused),0.36890740838563113,0.3694959581791759,0.0005885497935447731,0.001482095631146041,30,50,522.0,0.4984491136056919,-0.002291841438019518,0.0035347657947007163,positive
fluid_intelligence,shuffled,Shuffled,Pearson r (FP unfused),0.21251261014880243,0.2056599830346175,-0.006852627114184868,-0.005158593768430031,21,50,470.0,0.10737600575610173,-0.015091312687162989,0.0013619542201132153,negative
fluid_intelligence,random,Random,Pearson r (fused),0.36890740838563113,0.3652129775170074,-0.0036944308686237266,0.0,24,50,451.0,0.15997766510214395,-0.0069248386233146724,-0.0006897440811641555,negative
fluid_intelligence,random,Random,Pearson r (FP unfused),0.21251261014880243,0.20444704571608477,-0.008065564432717678,-0.008442451158666792,20,50,411.0,0.028256978552906986,-0.01489308702781959,-0.0014003379029775566,negative
