task,seed,condition,fold_i,fold_j,fc_alpha_i,fc_alpha_j,sc_alpha_i,sc_alpha_j,prediction_correlation
working_memory,0,R0,0,1,100.0,100.0,100.0,0.001,0.07304479241005835
working_memory,0,R0,0,2,100.0,100.0,100.0,100.0,0.04859546587433747
working_memory,0,R0,0,3,100.0,100.0,100.0,100.0,-0.015269751091085209
working_memory,0,R0,0,4,100.0,100.0,100.0,0.001,-0.005800981704596164
working_memory,0,R0,1,2,100.0,100.0,0.001,100.0,-0.07961384834731881
working_memory,0,R0,1,3,100.0,100.0,0.001,100.0,0.008260685016488719
working_memory,0,R0,1,4,100.0,100.0,0.001,0.001,0.024303174758655215
working_memory,0,R0,2,3,100.0,100.0,100.0,100.0,-0.1487685157976078
working_memory,0,R0,2,4,100.0,100.0,100.0,0.001,-0.0823347590905628
working_memory,0,R0,3,4,100.0,100.0,100.0,0.001,0.05462500408136612
working_memory,0,R1,0,1,100.0,100.0,100.0,0.001,-0.08047521094832291
working_memory,0,R1,0,2,100.0,100.0,100.0,100.0,0.02099454729487054
working_memory,0,R1,0,3,100.0,100.0,100.0,100.0,0.04496032912136351
working_memory,0,R1,0,4,100.0,100.0,100.0,0.001,-0.03784242661703726
working_memory,0,R1,1,2,100.0,100.0,0.001,100.0,-0.029396719670007947
working_memory,0,R1,1,3,100.0,100.0,0.001,100.0,0.01505207823162569
working_memory,0,R1,1,4,100.0,100.0,0.001,0.001,-0.02125575472622196
working_memory,0,R1,2,3,100.0,100.0,100.0,100.0,-0.06111165529325977
working_memory,0,R1,2,4,100.0,100.0,100.0,0.001,-0.0884295991554293
working_memory,0,R1,3,4,100.0,100.0,100.0,0.001,0.10362316474570368
working_memory,0,R2,0,1,100.0,100.0,100.0,0.001,0.1006254985097183
working_memory,0,R2,0,2,100.0,100.0,100.0,100.0,0.01971027742405938
working_memory,0,R2,0,3,100.0,100.0,100.0,100.0,-0.01953613913649177
working_memory,0,R2,0,4,100.0,100.0,100.0,0.001,0.04940085545433768
working_memory,0,R2,1,2,100.0,100.0,0.001,100.0,-0.08181234422785996
working_memory,0,R2,1,3,100.0,100.0,0.001,100.0,-9.795278675678324e-05
working_memory,0,R2,1,4,100.0,100.0,0.001,0.001,0.04526507112460683
working_memory,0,R2,2,3,100.0,100.0,100.0,100.0,-0.16909916087112678
working_memory,0,R2,2,4,100.0,100.0,100.0,0.001,-0.10590872977002863
working_memory,0,R2,3,4,100.0,100.0,100.0,0.001,0.052513577344608785
working_memory,0,R3,0,1,100.0,100.0,100.0,0.001,0.006171025565677344
working_memory,0,R3,0,2,100.0,100.0,100.0,100.0,0.042478858523525
working_memory,0,R3,0,3,100.0,100.0,100.0,100.0,0.06790304850839674
working_memory,0,R3,0,4,100.0,100.0,100.0,0.001,-0.0013386880856760374
working_memory,0,R3,1,2,100.0,100.0,0.001,100.0,-0.07904789891272407
working_memory,0,R3,1,3,100.0,100.0,0.001,100.0,0.028243053514872503
working_memory,0,R3,1,4,100.0,100.0,0.001,0.001,0.015944536955409715
working_memory,0,R3,2,3,100.0,100.0,100.0,100.0,-0.06485562847596348
working_memory,0,R3,2,4,100.0,100.0,100.0,0.001,-0.10105462500408137
working_memory,0,R3,3,4,100.0,100.0,100.0,0.001,0.04350192096298473
working_memory,1,R0,0,1,100.0,100.0,100.0,100.0,-0.21132614080013432
working_memory,1,R0,0,2,100.0,100.0,100.0,100.0,0.034555566439198535
working_memory,1,R0,0,3,100.0,0.001,100.0,100.0,0.009980300606218915
working_memory,1,R0,0,4,100.0,100.0,100.0,100.0,0.10630054091705575
working_memory,1,R0,1,2,100.0,100.0,100.0,100.0,-0.08059337621488666
working_memory,1,R0,1,3,100.0,0.001,100.0,100.0,0.01596630424135567
working_memory,1,R0,1,4,100.0,100.0,100.0,100.0,0.10427618332408224
working_memory,1,R0,2,3,100.0,0.001,100.0,100.0,-0.10610463534354218
working_memory,1,R0,2,4,100.0,100.0,100.0,100.0,-0.029418486955953897
working_memory,1,R0,3,4,0.001,100.0,100.0,100.0,-0.01703290125270731
working_memory,1,R1,0,1,100.0,100.0,100.0,100.0,-0.22717350237185677
working_memory,1,R1,0,2,100.0,100.0,100.0,100.0,0.17084054374680294
working_memory,1,R1,0,3,100.0,0.001,100.0,100.0,0.02040683057432984
working_memory,1,R1,0,4,100.0,100.0,100.0,100.0,0.17959099269707557
working_memory,1,R1,1,2,100.0,100.0,100.0,100.0,-0.05597457581001512
working_memory,1,R1,1,3,100.0,0.001,100.0,100.0,0.009740860460813445
working_memory,1,R1,1,4,100.0,100.0,100.0,100.0,0.10096755586029757
working_memory,1,R1,2,3,100.0,0.001,100.0,100.0,-0.13947388469868635
working_memory,1,R1,2,4,100.0,100.0,100.0,100.0,-0.035839836310009685
working_memory,1,R1,3,4,0.001,100.0,100.0,100.0,0.02811244979919679
working_memory,1,R2,0,1,100.0,100.0,100.0,100.0,-0.20731707317073167
working_memory,1,R2,0,2,100.0,100.0,100.0,100.0,0.007716502867839923
working_memory,1,R2,0,3,100.0,0.001,100.0,100.0,0.008717798021353708
working_memory,1,R2,0,4,100.0,100.0,100.0,100.0,0.04918318259487816
working_memory,1,R2,1,2,100.0,100.0,100.0,100.0,-0.0793961754878593
