task,seed,condition,mean_fc_alpha_i,mean_fc_alpha_j,mean_sc_alpha_i,mean_sc_alpha_j,mean_prediction_correlation
working_memory,0,R0,100.0,100.0,70.0003,50.000499999999995,-0.012295873389026494
working_memory,0,R1,100.0,100.0,70.0003,50.000499999999995,-0.012295873389026494
working_memory,0,R2,100.0,100.0,70.0003,50.000499999999995,-0.01504414872031681
working_memory,0,R3,100.0,100.0,70.0003,50.000499999999995,-0.01504414872031681
working_memory,1,R0,90.0001,70.0003,100.0,100.0,-0.017339664503931325
working_memory,1,R1,90.0001,70.0003,100.0,100.0,-0.017339664503931325
working_memory,1,R2,90.0001,70.0003,100.0,100.0,-0.013989212755007637
working_memory,1,R3,90.0001,70.0003,100.0,100.0,-0.013989212755007637
working_memory,2,R0,100.0,100.0,100.0,100.0,-0.0008423162258013872
working_memory,2,R1,100.0,100.0,100.0,100.0,-0.0008423162258013872
working_memory,2,R2,100.0,100.0,100.0,100.0,0.01512787503090177
working_memory,2,R3,100.0,100.0,100.0,100.0,0.01512787503090177
working_memory,3,R0,100.0,100.0,60.0004,100.0,-0.00794606999426277
working_memory,3,R1,100.0,100.0,60.0004,100.0,-0.00794606999426277
working_memory,3,R2,100.0,100.0,60.0004,100.0,-0.009919507686184145
working_memory,3,R3,100.0,100.0,60.0004,100.0,-0.009919507686184145
working_memory,4,R0,100.0,100.0,90.0001,70.0003,-0.0013299034309907074
working_memory,4,R1,100.0,100.0,90.0001,70.0003,-0.0013299034309907074
working_memory,4,R2,100.0,100.0,90.0001,70.0003,-0.007933476064536893
working_memory,4,R3,100.0,100.0,90.0001,70.0003,-0.007933476064536893
working_memory,5,R0,100.0,100.0,60.0004,100.0,-0.0022672183118847824
working_memory,5,R1,100.0,100.0,60.0004,100.0,-0.0022672183118847824
working_memory,5,R2,100.0,100.0,60.0004,100.0,0.0018581488167147887
working_memory,5,R3,100.0,100.0,60.0004,100.0,0.0018581488167147887
working_memory,6,R0,100.0,100.0,100.0,100.0,0.14394706196057944
working_memory,6,R1,100.0,100.0,100.0,100.0,0.14394706196057944
working_memory,6,R2,100.0,100.0,100.0,100.0,0.14237639679896513
working_memory,6,R3,100.0,100.0,100.0,100.0,0.14237639679896513
working_memory,7,R0,100.0,100.0,100.0,100.0,-0.009866488796844373
working_memory,7,R1,100.0,100.0,100.0,100.0,-0.009866488796844373
working_memory,7,R2,100.0,100.0,100.0,100.0,0.014582759998569578
working_memory,7,R3,100.0,100.0,100.0,100.0,0.014582759998569578
working_memory,8,R0,70.0003,50.0005,100.0,100.0,0.008961980325483116
working_memory,8,R1,70.0003,50.0005,100.0,100.0,0.008961980325483116
working_memory,8,R2,70.0003,50.0005,100.0,100.0,0.012685741028379877
working_memory,8,R3,70.0003,50.0005,100.0,100.0,0.012685741028379877
working_memory,9,R0,100.0,60.00039999999999,100.0,100.0,-0.009580093506041202
working_memory,9,R1,100.0,60.00039999999999,100.0,100.0,-0.009580093506041202
working_memory,9,R2,100.0,60.00039999999999,100.0,100.0,-0.017899627934890937
working_memory,9,R3,100.0,60.00039999999999,100.0,100.0,-0.017899627934890937
fluid_intelligence,0,R0,100.0,100.0,100.0,100.0,-0.04141692593059034
fluid_intelligence,0,R1,100.0,100.0,100.0,100.0,-0.04141692593059034
fluid_intelligence,0,R2,100.0,100.0,100.0,100.0,-0.034815452285331804
fluid_intelligence,0,R3,100.0,100.0,100.0,100.0,-0.034815452285331804
fluid_intelligence,1,R0,100.0,100.0,100.0,100.0,-0.029115144278235666
fluid_intelligence,1,R1,100.0,100.0,100.0,100.0,-0.029115144278235666
fluid_intelligence,1,R2,100.0,100.0,100.0,100.0,-0.027990475257592507
fluid_intelligence,1,R3,100.0,100.0,100.0,100.0,-0.027990475257592507
fluid_intelligence,2,R0,100.0,100.0,100.0,100.0,-0.033304336198841045
fluid_intelligence,2,R1,100.0,100.0,100.0,100.0,-0.033304336198841045
fluid_intelligence,2,R2,100.0,100.0,100.0,100.0,-0.03622877106567968
fluid_intelligence,2,R3,100.0,100.0,100.0,100.0,-0.03622877106567968
fluid_intelligence,3,R0,100.0,100.0,100.0,100.0,-0.0473355287196016
fluid_intelligence,3,R1,100.0,100.0,100.0,100.0,-0.0473355287196016
fluid_intelligence,3,R2,100.0,100.0,100.0,100.0,-0.05020041451131666
fluid_intelligence,3,R3,100.0,100.0,100.0,100.0,-0.05020041451131666
fluid_intelligence,4,R0,100.0,100.0,100.0,100.0,-0.02414481775339842
fluid_intelligence,4,R1,100.0,100.0,100.0,100.0,-0.02414481775339842
fluid_intelligence,4,R2,100.0,100.0,100.0,100.0,-0.02606173824216727
fluid_intelligence,4,R3,100.0,100.0,100.0,100.0,-0.02606173824216727
fluid_intelligence,5,R0,100.0,100.0,100.0,100.0,0.01873043859526375
fluid_intelligence,5,R1,100.0,100.0,100.0,100.0,0.01873043859526375
fluid_intelligence,5,R2,100.0,100.0,100.0,100.0,0.015115125620561998
fluid_intelligence,5,R3,100.0,100.0,100.0,100.0,0.015115125620561998
fluid_intelligence,6,R0,100.0,100.0,60.0004,100.0,0.02091882823590141
fluid_intelligence,6,R1,100.0,100.0,60.0004,100.0,0.02091882823590141
fluid_intelligence,6,R2,100.0,100.0,60.0004,100.0,0.02114823988171035
fluid_intelligence,6,R3,100.0,100.0,60.0004,100.0,0.02114823988171035
fluid_intelligence,7,R0,100.0,100.0,100.0,100.0,-0.025601982066865987
fluid_intelligence,7,R1,100.0,100.0,100.0,100.0,-0.025601982066865987
fluid_intelligence,7,R2,100.0,100.0,100.0,100.0,-0.03417712662496676
fluid_intelligence,7,R3,100.0,100.0,100.0,100.0,-0.03417712662496676
fluid_intelligence,8,R0,100.0,100.0,100.0,100.0,0.038937709801653377
fluid_intelligence,8,R1,100.0,100.0,100.0,100.0,0.038937709801653377
fluid_intelligence,8,R2,100.0,100.0,100.0,100.0,0.04298549210391703
fluid_intelligence,8,R3,100.0,100.0,100.0,100.0,0.04298549210391703
fluid_intelligence,9,R0,100.0,100.0,100.0,100.0,-0.026343780075781253
fluid_intelligence,9,R1,100.0,100.0,100.0,100.0,-0.026343780075781253
fluid_intelligence,9,R2,100.0,100.0,100.0,100.0,-0.026859509272086413
fluid_intelligence,9,R3,100.0,100.0,100.0,100.0,-0.026859509272086413
