seed,fold,model,arch,prior,fc_family,fc_size,sc_family,sc_size,n_fc_edges,n_sc_edges,lambda_r_fc,lambda_r_sc,ratio_fc,ratio_sc,v_fc,alpha,abstained,runtime_s
7171,0,R-MATCHED,ridge,matched,roi_incident,10,direct_topk,1200,1105,1200,1000.0,1000.0,0.0,0.0,0.55,0.35,0,3.9469518661499023
7171,0,R-CROSS,ridge,cross,roi_incident,15,direct_topk,600,1620,600,1000.0,100.0,0.0,0.0,0.65,0.55,0,5.11063027381897
7171,0,R-SHUFFLED,ridge,shuffled,roi_incident,15,roi_incident,15,1620,1620,100.0,1000.0,0.0,0.0,0.2,0.0,1,5.722384452819824
7171,0,R-RANDOM,ridge,random,roi_incident,15,direct_topk,1200,1620,1200,1000.0,1000.0,0.0,0.0,0.35,0.25,0,4.91822361946106
7171,0,N-MATCHED,ncr,matched,roi_incident,10,direct_topk,1200,1105,1200,1000.0,1000.0,0.0,0.0,0.5,0.45,0,33.50509595870972
7171,0,N-CROSS,ncr,cross,roi_incident,15,direct_topk,600,1620,600,1000.0,0.1,0.0,0.1,0.7,0.7,0,29.16316246986389
7171,0,N-SHUFFLED,ncr,shuffled,roi_incident,15,roi_incident,15,1620,1620,0.1,1000.0,1.0,0.0,0.3,0.0,1,48.668285608291626
7171,0,N-RANDOM,ncr,random,roi_incident,15,direct_topk,1200,1620,1200,0.1,1.0,0.1,0.1,0.35,0.25,0,33.27737879753113
7171,1,R-MATCHED,ridge,matched,roi_incident,15,roi_incident,5,1620,565,1000.0,1000.0,0.0,0.0,1.0,0.4,0,3.24511456489563
7171,1,R-CROSS,ridge,cross,roi_incident,15,direct_topk,100,1620,100,1000.0,1000.0,0.0,0.0,0.9,0.35,0,4.405977249145508
7171,1,R-SHUFFLED,ridge,shuffled,roi_incident,15,roi_incident,5,1620,565,1000.0,1000.0,0.0,0.0,0.45,0.15,0,4.709015369415283
