model,seed,fold,abstained,base_rmse,top5_delta_rmse,top10_delta_rmse,bottom5_delta_rmse,bottom10_delta_rmse,random5_mean,random5_std,random5_p95,random5_p5,random10_mean,random10_std,random10_p95,random10_p5,top10_minus_random10,top5_minus_random5,top10_random10_percentile
R-MATCHED,7171,0,0,11.20410186168478,0.18884440779356915,0.2686753485923319,-0.059118414697980626,-0.01697639871456147,0.05605668858357008,0.16639038300034473,0.38664792535877907,-0.17941053811412838,0.06036976131910924,0.23168409625611677,0.44204401167574914,-0.2439767835168009,0.20830558727322265,0.13278771920999907,0.87
R-MATCHED,7171,1,0,10.785573870020984,0.18589814734739818,0.24303642929999825,0.018260067058404772,0.002060329222288715,-0.002822502601234689,0.1708358444933157,0.2985888629160628,-0.24070731734858306,0.047262110108978385,0.19520684030412533,0.3846241427792732,-0.2259235449431185,0.19577431919101987,0.18872064994863286,0.82
R-MATCHED,7171,2,0,11.584065435253489,0.07207486963391929,0.009119218195875689,-0.040385786230469733,0.14177389916935113,0.05560651149492335,0.12083952764918637,0.26893852783997974,-0.12520266486806583,0.078920549335551,0.182768749373882,0.3544720299149415,-0.21430068059669205,-0.06980133113967531,0.016468358138995942,0.33
R-MATCHED,7171,3,0,10.535878182634264,-0.19524958173683515,0.3861356842144108,0.11550389251883075,0.03420060662465296,0.017747309604146295,0.1890689702034569,0.4196608355469787,-0.21385094147276112,0.05425743296075055,0.2680803806030609,0.565349872718434,-0.2748769033863853,0.3318782512536603,-0.21299689134098146,0.85
R-MATCHED,7171,4,0,12.119751339525132,0.05106826485270943,-0.25505052830373565,0.3092214701419529,0.10416083080487404,-0.05150431212062059,0.1977221790071309,0.30632139134747105,-0.32126369837981344,0.00039310604998478384,0.36295444748465194,0.6226151631488989,-0.44566985387921365,-0.2554436343537204,0.10257257697333003,0.24
R-MATCHED,7272,0,0,12.335128477232457,-0.1107417755677762,-0.08151086217840664,0.20888095854023092,0.15922601544680326,0.0013196674145010334,0.1000014044842259,0.16015941643429268,-0.16045081742415324,-0.003962935421618816,0.14200067645843092,0.25631110591197664,-0.198316707726475,-0.07754792675678783,-0.11206144298227723,0.28
R-MATCHED,7272,1,0,10.596218843609822,-0.07967404862196226,0.062044897804945265,0.10289126536474846,0.2460137575114274,0.04186457047881641,0.12828549942159773,0.28124559725519044,-0.1495149500161829,0.09919861080437663,0.18619420249444596,0.46671518718413635,-0.16116374356644475,-0.03715371299943136,-0.12153861910077866,0.5
R-MATCHED,7272,2,0,10.919254288632125,0.04712470152109027,0.022638197810888272,-0.03710906575297912,-0.0011782645024283056,-0.0016538180380189437,0.07642450963829946,0.13579104607413414,-0.12997091096435892,-0.03083648182485586,0.11479904879884266,0.13894532933649814,-0.2311631141688994,0.053474679635744135,0.04877851955910922,0.66
R-MATCHED,7272,3,0,11.053691543052956,0.23633165124269517,0.3616771962329537,-0.001870410678968426,-0.016858409439180377,0.019337996996703435,0.086849480377976,0.16459654139165222,-0.09604861361300081,0.06875902492876718,0.13034911887666042,0.28660582950476926,-0.12087230545786287,0.2929181713041865,0.21699365424599174,0.96
R-MATCHED,7272,4,0,11.373344506783175,-0.034521965559351386,-0.2603427695569369,-0.032203986480807245,-0.07147935956252915,0.055766684900988434,0.24855967525012648,0.4704572238579534,-0.24844104065491637,0.017805478325275247,0.3540239850568861,0.6029170618222355,-0.39287255562551066,-0.27814824788221215,-0.09028865046033982,0.18
R-MATCHED,7373,0,0,11.339259607861436,-0.38846836980194155,-0.4109505339053001,-0.14219321898601223,0.1624758086959428,0.043306326072105675,0.2521655241150205,0.49577292298790965,-0.26141373411948543,0.0824474438290902,0.36664494094516514,0.7142379983430814,-0.44701886070708524,-0.4933979777343903,-0.4317746958740472,0.07
R-MATCHED,7373,1,0,11.095478041330333,0.054338669009480256,0.13189325321045864,0.0,0.0,0.057564363459500535,0.12961822568968398,0.3045374087853668,-0.10193485656020237,0.08314372893035513,0.19192624789753945,0.44748356630638236,-0.14817863360818953,0.04874952428010351,-0.003225694450020279,0.7
