model,seed,fold,n,pearson,rmse,mae
R0,7171,0,102,0.28611495312600654,11.335015864864824,8.96612556981556
R-MATCHED,7171,0,102,0.2924339036708129,11.20410186168478,8.939876294816633
R-CROSS,7171,0,102,0.310313751145959,11.155059334374432,8.880479119376059
R-SHUFFLED,7171,0,102,0.28611495312600654,11.335015864864824,8.96612556981556
R-RANDOM,7171,0,102,0.28397628450273904,11.259111924908394,8.921074760108317
N-MATCHED,7171,0,102,0.2862670095108708,11.214716992507102,8.970569161454364
N-CROSS,7171,0,102,0.3176598734537156,11.114611137374064,8.85757274448619
N-SHUFFLED,7171,0,102,0.28611495312600654,11.335015864864824,8.96612556981556
N-RANDOM,7171,0,102,0.29377451581242486,11.214020620898948,8.88080287157839
R0,7171,1,102,0.31613493299185236,10.899419716922512,8.922989361548911
R-MATCHED,7171,1,102,0.32644768998591295,10.785573870020984,8.893366990068397
R-CROSS,7171,1,102,0.33384599446204966,10.732617230086099,8.85320233682038
R-SHUFFLED,7171,1,102,0.30369178322081203,10.901530119819382,8.955376470427545
R-RANDOM,7171,1,102,0.2919492310956615,10.848380071976303,8.950949595399308
N-MATCHED,7171,1,102,0.32107079372661024,10.849228830316083,8.927264222023412
N-CROSS,7171,1,102,0.3317262554896072,10.750460652733924,8.858912385608235
N-SHUFFLED,7171,1,102,0.30946881970917517,10.873074530625953,8.939827538224971
N-RANDOM,7171,1,102,0.32252567533438975,10.739366376812532,8.929352420723863
R0,7171,2,102,0.3470482900384093,11.595139261058426,9.326332438551976
R-MATCHED,7171,2,102,0.29957252442527954,11.584065435253489,9.496573094639597
R-CROSS,7171,2,102,0.29808301959015326,11.703930382527705,9.548606090080684
R-SHUFFLED,7171,2,102,0.3459993557722253,11.322068433244677,9.502746463268247
R-RANDOM,7171,2,102,0.26531060910716464,11.655610165790103,9.601951643158724
N-MATCHED,7171,2,102,0.2854976152135611,11.7933843936818,9.599505549293966
N-CROSS,7171,2,102,0.29687505032794015,11.66815094077202,9.52301082211329
N-SHUFFLED,7171,2,102,0.31288912371308686,11.461001438624292,9.626368101474682
N-RANDOM,7171,2,102,0.2692410269265862,11.749275862167073,9.51708419783312
R0,7171,3,102,0.2510343153405401,10.542584748859571,8.489944004096431
R-MATCHED,7171,3,102,0.24172649156389303,10.535878182634264,8.523890812775022
R-CROSS,7171,3,102,0.24653745200422675,10.530624996637133,8.4779075154657
R-SHUFFLED,7171,3,102,0.2383325986270543,10.499833698368898,8.453703427317885
R-RANDOM,7171,3,102,0.20794174134057603,10.634556792411253,8.636308325983292
N-MATCHED,7171,3,102,0.2510343153405401,10.542584748859571,8.489944004096431
N-CROSS,7171,3,102,0.24813802829796983,10.503478747409531,8.45779331020936
N-SHUFFLED,7171,3,102,0.24068011746513118,10.439332926325523,8.451889344936978
N-RANDOM,7171,3,102,0.2326230722352826,10.54360414722973,8.551642241368548
R0,7171,4,102,0.15105440516099583,12.25635372076125,9.677853061878832
R-MATCHED,7171,4,102,0.15302867686778632,12.119751339525132,9.5547393221225
R-CROSS,7171,4,102,0.15783757994535624,12.082877364019367,9.550331248340603
R-SHUFFLED,7171,4,102,0.15384419365605523,12.168070886841441,9.579847659895528
R-RANDOM,7171,4,102,0.14424014113414935,12.068073195090957,9.663147862961404
N-MATCHED,7171,4,102,0.15386303994012837,12.059299803248875,9.501280782580622
N-CROSS,7171,4,102,0.1543671509566336,12.167554879054931,9.613211809473928
N-SHUFFLED,7171,4,102,0.15603744268427497,12.073297068533634,9.497084721432435
N-RANDOM,7171,4,102,0.15937519218796625,12.032267121772485,9.617655625229203
