seed,fold,model,modality,family,size,inner_r,inner_rmse,inner_mae,inner_lambda,selected,n_edges
7171,0,R-MATCHED/N-MATCHED,fc,direct_topk,100,0.09532575832089392,11.656028067970716,9.296602013881145,100.0,0,100
7171,0,R-MATCHED/N-MATCHED,fc,direct_topk,300,0.14424691849031965,11.860856921258483,9.458055795695293,100.0,0,300
7171,0,R-MATCHED/N-MATCHED,fc,direct_topk,600,0.17662628563301414,11.315085979218727,9.197984893496542,1000.0,0,600
7171,0,R-MATCHED/N-MATCHED,fc,direct_topk,1200,0.20049189332820366,11.367982903307604,9.220611977735443,1000.0,0,1200
7171,0,R-MATCHED/N-MATCHED,fc,roi_incident,5,0.19068677693885666,12.043651809100334,9.790140234976153,100.0,0,565
7171,0,R-MATCHED/N-MATCHED,fc,roi_incident,10,0.23080031463785214,11.19942704433798,9.091217209276751,1000.0,1,1105
7171,0,R-MATCHED/N-MATCHED,fc,roi_incident,15,0.22586188437783056,11.315620120342102,9.138930455435018,1000.0,0,1620
7171,0,R-MATCHED/N-MATCHED,sc,direct_topk,100,0.097992283401071,13.880090832121741,10.968995571507499,0.001,0,100
7171,0,R-MATCHED/N-MATCHED,sc,direct_topk,300,0.11719025709191615,11.419225760078474,9.316610247367686,1000.0,0,300
7171,0,R-MATCHED/N-MATCHED,sc,direct_topk,600,0.13263767049675698,11.475977350802324,9.380885172831066,1000.0,0,600
7171,0,R-MATCHED/N-MATCHED,sc,direct_topk,1200,0.20591566963094837,11.330802276560803,9.196377495919853,1000.0,1,1200
7171,0,R-MATCHED/N-MATCHED,sc,roi_incident,5,0.13685064658928506,11.445332620178494,9.316041587093087,1000.0,0,565
7171,0,R-MATCHED/N-MATCHED,sc,roi_incident,10,0.1316058877429631,11.602714159928343,9.49098732604786,1000.0,0,1105
7171,0,R-MATCHED/N-MATCHED,sc,roi_incident,15,0.1459216203066302,11.574968852552708,9.399183479840962,1000.0,0,1620
7171,1,R-MATCHED/N-MATCHED,fc,direct_topk,100,0.10367016090494736,11.490025161231939,9.287856481177416,1000.0,0,100
