modality,family,size,runtime_s
fc,direct_topk,100,0.04702472686767578
fc,direct_topk,300,0.0694282054901123
fc,direct_topk,600,0.0857992172241211
fc,direct_topk,1200,0.12201404571533203
fc,roi_incident,5,0.08067750930786133
fc,roi_incident,10,0.13460302352905273
fc,roi_incident,15,0.1497185230255127
sc,direct_topk,100,0.042070627212524414
sc,direct_topk,300,0.06656551361083984
sc,direct_topk,600,0.09222269058227539
sc,direct_topk,1200,0.12136697769165039
sc,roi_incident,5,0.0973207950592041
sc,roi_incident,10,0.12953734397888184
sc,roi_incident,15,0.14649081230163574
