arch,seed,fold,matched,control,pearson_matched,pearson_control,delta_r
ncr,7171,0,N-MATCHED,N-CROSS,0.2862670095108708,0.3176598734537156,-0.031392863942844795
ncr,7171,0,N-MATCHED,N-SHUFFLED,0.2862670095108708,0.28611495312600654,0.0001520563848642631
ncr,7171,0,N-MATCHED,N-RANDOM,0.2862670095108708,0.29377451581242486,-0.007507506301554057
ncr,7171,1,N-MATCHED,N-CROSS,0.32107079372661024,0.3317262554896072,-0.010655461762996976
ncr,7171,1,N-MATCHED,N-SHUFFLED,0.32107079372661024,0.30946881970917517,0.011601974017435068
ncr,7171,1,N-MATCHED,N-RANDOM,0.32107079372661024,0.32252567533438975,-0.0014548816077795124
ncr,7171,2,N-MATCHED,N-CROSS,0.2854976152135611,0.29687505032794015,-0.011377435114379053
ncr,7171,2,N-MATCHED,N-SHUFFLED,0.2854976152135611,0.31288912371308686,-0.027391508499525763
ncr,7171,2,N-MATCHED,N-RANDOM,0.2854976152135611,0.2692410269265862,0.016256588286974905
ncr,7171,3,N-MATCHED,N-CROSS,0.2510343153405401,0.24813802829796983,0.002896287042570278
ncr,7171,3,N-MATCHED,N-SHUFFLED,0.2510343153405401,0.24068011746513118,0.010354197875408921
ncr,7171,3,N-MATCHED,N-RANDOM,0.2510343153405401,0.2326230722352826,0.01841124310525749
ncr,7171,4,N-MATCHED,N-CROSS,0.15386303994012837,0.1543671509566336,-0.0005041110165052154
ncr,7171,4,N-MATCHED,N-SHUFFLED,0.15386303994012837,0.15603744268427497,-0.0021744027441465974
ncr,7171,4,N-MATCHED,N-RANDOM,0.15386303994012837,0.15937519218796625,-0.0055121522478378815
ncr,7272,0,N-MATCHED,N-CROSS,0.21716386830639667,0.21866446223438507,-0.0015005939279884029
ncr,7272,0,N-MATCHED,N-SHUFFLED,0.21716386830639667,0.23051145560215686,-0.013347587295760188
ncr,7272,0,N-MATCHED,N-RANDOM,0.21716386830639667,0.21121908353733762,0.005944784769059047
ncr,7272,1,N-MATCHED,N-CROSS,0.25566306732780103,0.34791479260600194,-0.09225172527820091
ncr,7272,1,N-MATCHED,N-SHUFFLED,0.25566306732780103,0.32837760936118,-0.07271454203337896
ncr,7272,1,N-MATCHED,N-RANDOM,0.25566306732780103,0.31533648689170685,-0.059673419563905816
ncr,7272,2,N-MATCHED,N-CROSS,0.1867449126065821,0.17349004255421152,0.013254870052370582
ncr,7272,2,N-MATCHED,N-SHUFFLED,0.1867449126065821,0.16790534309429933,0.018839569512282772
ncr,7272,2,N-MATCHED,N-RANDOM,0.1867449126065821,0.17619617380657077,0.010548738800011337
ncr,7272,3,N-MATCHED,N-CROSS,0.26836311639682,0.26836311639682,0.0
ncr,7272,3,N-MATCHED,N-SHUFFLED,0.26836311639682,0.17620185519444165,0.09216126120237833
ncr,7272,3,N-MATCHED,N-RANDOM,0.26836311639682,0.2834466384933814,-0.015083522096561441
ncr,7272,4,N-MATCHED,N-CROSS,0.22682294089088154,0.25622775750269333,-0.029404816611811796
ncr,7272,4,N-MATCHED,N-SHUFFLED,0.22682294089088154,0.23198316036584032,-0.005160219474958788
ncr,7272,4,N-MATCHED,N-RANDOM,0.22682294089088154,0.2664741154888943,-0.03965117459801279
ncr,7373,0,N-MATCHED,N-CROSS,0.288745557300659,0.2765565695725866,0.012188987728072365
ncr,7373,0,N-MATCHED,N-SHUFFLED,0.288745557300659,0.28721717910824246,0.001528378192416524
ncr,7373,0,N-MATCHED,N-RANDOM,0.288745557300659,0.2748816367218452,0.013863920578813804
ncr,7373,1,N-MATCHED,N-CROSS,0.3018791796386677,0.3220375102928482,-0.02015833065418049
ncr,7373,1,N-MATCHED,N-SHUFFLED,0.3018791796386677,0.3430121434123841,-0.04113296377371639
ncr,7373,1,N-MATCHED,N-RANDOM,0.3018791796386677,0.3523546785116,-0.05047549887293229
ncr,7373,2,N-MATCHED,N-CROSS,0.19801285844579242,0.1910450515411778,0.006967806904614626
ncr,7373,2,N-MATCHED,N-SHUFFLED,0.19801285844579242,0.1943570337013712,0.003655824744421221
ncr,7373,2,N-MATCHED,N-RANDOM,0.19801285844579242,0.2131215691696234,-0.015108710723830993
ncr,7373,3,N-MATCHED,N-CROSS,0.24419937440556777,0.2521264240763563,-0.007927049670788555
ncr,7373,3,N-MATCHED,N-SHUFFLED,0.24419937440556777,0.24074054642057843,0.0034588279849893377
ncr,7373,3,N-MATCHED,N-RANDOM,0.24419937440556777,0.24419937440556777,0.0
ncr,7373,4,N-MATCHED,N-CROSS,0.3377972575042233,0.33872510648273135,-0.0009278489785080613
ncr,7373,4,N-MATCHED,N-SHUFFLED,0.3377972575042233,0.30219120541774025,0.03560605208648304
ncr,7373,4,N-MATCHED,N-RANDOM,0.3377972575042233,0.33957535035019687,-0.0017780928459735779
ncr,7474,0,N-MATCHED,N-CROSS,0.21821588496860364,0.2372280559122345,-0.019012170943630863
ncr,7474,0,N-MATCHED,N-SHUFFLED,0.21821588496860364,0.15682600899414115,0.06138987597446249
ncr,7474,0,N-MATCHED,N-RANDOM,0.21821588496860364,0.1536142794741202,0.06460160549448343
ncr,7474,1,N-MATCHED,N-CROSS,0.27662530258919105,0.28779581873288274,-0.011170516143691689
ncr,7474,1,N-MATCHED,N-SHUFFLED,0.27662530258919105,0.289259153962545,-0.012633851373353933
ncr,7474,1,N-MATCHED,N-RANDOM,0.27662530258919105,0.29299722103253734,-0.01637191844334629
ncr,7474,2,N-MATCHED,N-CROSS,0.2745946477009271,0.2805956239970983,-0.00600097629617119
ncr,7474,2,N-MATCHED,N-SHUFFLED,0.2745946477009271,0.2505791739624985,0.024015473738428605
ncr,7474,2,N-MATCHED,N-RANDOM,0.2745946477009271,0.26904622559517266,0.005548422105754458
ncr,7474,3,N-MATCHED,N-CROSS,0.1615278170078967,0.1555863348898807,0.0059414821180160116
ncr,7474,3,N-MATCHED,N-SHUFFLED,0.1615278170078967,0.1553104123543345,0.006217404653562214
