model,rank,atlas_index,roi,fc_importance,sc_importance,multimodal_importance
R-MATCHED,1,7,Frontal_Mid_L,7.972136816212233,33.68595931073797,32.47101631493076
R-MATCHED,2,4,Frontal_Sup_R,7.670031272433731,30.8931323405409,30.137763883736213
R-MATCHED,3,3,Frontal_Sup_L,8.40107082551077,29.173488692329574,29.618153510841363
R-MATCHED,4,8,Frontal_Mid_R,8.891963359531779,27.663799293150362,29.011090118186587
R-MATCHED,5,60,Parietal_Sup_R,7.166632424236198,23.385877494737898,24.17454332950012
R-MATCHED,6,66,Angular_R,11.209771267938883,13.437079812616869,20.98219294984206
R-MATCHED,7,11,Frontal_Inf_Oper_L,8.678417725236704,14.542167501884808,19.254539544789296
R-MATCHED,8,59,Parietal_Sup_L,8.95072863014934,12.651403063183093,18.151749039737044
R-MATCHED,9,65,Angular_L,7.904775341734095,12.860099380373864,17.257574891096905
R-MATCHED,10,62,Parietal_Inf_R,9.109456837860902,11.116809666195898,17.194409322367008
