model,rank,atlas_index,roi,fc_importance,sc_importance,multimodal_importance
N-MATCHED,1,7,Frontal_Mid_L,8.499435757765784,55.604960779416714,58.25124277092811
N-MATCHED,2,4,Frontal_Sup_R,8.307515870074033,55.8007557178041,58.23450782810928
N-MATCHED,3,3,Frontal_Sup_L,8.943700977873048,49.70462120696739,53.41625679463334
N-MATCHED,4,8,Frontal_Mid_R,9.826830117347948,48.391067011667324,53.12410060147133
N-MATCHED,5,60,Parietal_Sup_R,7.869176781166884,40.84148813839957,44.411560904998076
N-MATCHED,6,65,Angular_L,10.657239718006084,17.67977413477905,26.4759849964926
N-MATCHED,7,12,Frontal_Inf_Oper_R,8.632571914913832,19.32144614591112,25.920181624413257
N-MATCHED,8,11,Frontal_Inf_Oper_L,8.89496910086781,17.743072485216025,24.770349745534773
N-MATCHED,9,66,Angular_R,11.874879506192642,14.250421744820217,24.625256856821256
N-MATCHED,10,61,Parietal_Inf_L,8.174991483102728,15.695882071075982,22.218675441433867
