arch,seed,fold,matched,control,pearson_matched,pearson_control,delta_r
ridge,7171,0,R-MATCHED,R-CROSS,0.2924339036708129,0.310313751145959,-0.017879847475146093
ridge,7171,0,R-MATCHED,R-SHUFFLED,0.2924339036708129,0.28611495312600654,0.0063189505448063565
ridge,7171,0,R-MATCHED,R-RANDOM,0.2924339036708129,0.28397628450273904,0.00845761916807386
ridge,7171,1,R-MATCHED,R-CROSS,0.32644768998591295,0.33384599446204966,-0.007398304476136708
ridge,7171,1,R-MATCHED,R-SHUFFLED,0.32644768998591295,0.30369178322081203,0.02275590676510092
ridge,7171,1,R-MATCHED,R-RANDOM,0.32644768998591295,0.2919492310956615,0.03449845889025144
ridge,7171,2,R-MATCHED,R-CROSS,0.29957252442527954,0.29808301959015326,0.0014895048351262763
ridge,7171,2,R-MATCHED,R-SHUFFLED,0.29957252442527954,0.3459993557722253,-0.04642683134694575
ridge,7171,2,R-MATCHED,R-RANDOM,0.29957252442527954,0.26531060910716464,0.0342619153181149
ridge,7171,3,R-MATCHED,R-CROSS,0.24172649156389303,0.24653745200422675,-0.004810960440333717
ridge,7171,3,R-MATCHED,R-SHUFFLED,0.24172649156389303,0.2383325986270543,0.003393892936838727
ridge,7171,3,R-MATCHED,R-RANDOM,0.24172649156389303,0.20794174134057603,0.033784750223317006
ridge,7171,4,R-MATCHED,R-CROSS,0.15302867686778632,0.15783757994535624,-0.004808903077569926
ridge,7171,4,R-MATCHED,R-SHUFFLED,0.15302867686778632,0.15384419365605523,-0.0008155167882689107
ridge,7171,4,R-MATCHED,R-RANDOM,0.15302867686778632,0.14424014113414935,0.00878853573363697
ridge,7272,0,R-MATCHED,R-CROSS,0.21631489876952434,0.21986021025038643,-0.0035453114808620956
ridge,7272,0,R-MATCHED,R-SHUFFLED,0.21631489876952434,0.23063364729593375,-0.014318748526409408
ridge,7272,0,R-MATCHED,R-RANDOM,0.21631489876952434,0.19515439157683803,0.021160507192686306
ridge,7272,1,R-MATCHED,R-CROSS,0.3252225543631664,0.33188457103946567,-0.006662016676299287
ridge,7272,1,R-MATCHED,R-SHUFFLED,0.3252225543631664,0.33146070726873944,-0.006238152905573058
ridge,7272,1,R-MATCHED,R-RANDOM,0.3252225543631664,0.30080797754406663,0.024414576819099754
ridge,7272,2,R-MATCHED,R-CROSS,0.1917751233798185,0.168564965440776,0.02321015793904249
ridge,7272,2,R-MATCHED,R-SHUFFLED,0.1917751233798185,0.16790534309429933,0.02386978028551917
ridge,7272,2,R-MATCHED,R-RANDOM,0.1917751233798185,0.1792245119823132,0.012550611397505296
ridge,7272,3,R-MATCHED,R-CROSS,0.27433519904344744,0.26836311639682,0.0059720826466274635
ridge,7272,3,R-MATCHED,R-SHUFFLED,0.27433519904344744,0.16201600807726102,0.11231919096618642
ridge,7272,3,R-MATCHED,R-RANDOM,0.27433519904344744,0.28514938429177294,-0.010814185248325503
ridge,7272,4,R-MATCHED,R-CROSS,0.2354456612847422,0.25622775750269333,-0.02078209621795113
ridge,7272,4,R-MATCHED,R-SHUFFLED,0.2354456612847422,0.2014620688913334,0.03398359239340881
ridge,7272,4,R-MATCHED,R-RANDOM,0.2354456612847422,0.26467397475926274,-0.02922831347452054
ridge,7373,0,R-MATCHED,R-CROSS,0.2877461637772904,0.2828064932574094,0.004939670519880979
ridge,7373,0,R-MATCHED,R-SHUFFLED,0.2877461637772904,0.28721717910824246,0.0005289846690479383
ridge,7373,0,R-MATCHED,R-RANDOM,0.2877461637772904,0.2804241474077248,0.007322016369565587
ridge,7373,1,R-MATCHED,R-CROSS,0.30666324568782927,0.3502368841404081,-0.04357363845257883
ridge,7373,1,R-MATCHED,R-SHUFFLED,0.30666324568782927,0.3430121434123841,-0.03634889772455485
ridge,7373,1,R-MATCHED,R-RANDOM,0.30666324568782927,0.35430626284780203,-0.04764301715997277
ridge,7373,2,R-MATCHED,R-CROSS,0.19427715288762404,0.1887372582442848,0.005539894643339233
ridge,7373,2,R-MATCHED,R-SHUFFLED,0.19427715288762404,0.1861251544074265,0.008151998480197542
