task,task_display,control_prior,control_display,metric_family,mean_matched,mean_control,mean_delta,std_delta,cohens_dz,positive_seeds,n_seeds,wilcoxon_statistic,raw_p,ci_95_lower,ci_95_upper,p_holm,significant_holm_005
working_memory,Working Memory,cross_task,Cross-task,fp_branch,0.27818126672270554,0.2542883688247363,0.023892897897969206,0.009352336831816709,2.554751644175755,10,10,0.0,0.001953125,0.018103639743232015,0.028915776779708673,0.005859375,True
working_memory,Working Memory,shuffled,Shuffled,fp_branch,0.27818126672270554,0.2547808686448663,0.02340039807783921,0.013923076000411663,1.680691686028815,9,10,1.0,0.00390625,0.014763651383723094,0.03103332925447533,0.0078125,True
working_memory,Working Memory,random,Random,fp_branch,0.27818126672270554,0.2637814785696386,0.014399788153066913,0.012585115806237912,1.1441919466429975,9,10,3.0,0.009765625,0.006722139776374924,0.021504532464793027,0.009765625,True
working_memory,Working Memory,cross_task,Cross-task,fused,0.26249975212135696,0.24241355663951633,0.020086195481840614,0.008093386389492252,2.4818036005198985,10,10,0.0,0.001953125,0.015108704835466903,0.0245535388131791,0.005859375,True
working_memory,Working Memory,shuffled,Shuffled,fused,0.26249975212135696,0.2443023633858344,0.018197388735522586,0.01190121851848337,1.5290357627885625,9,10,1.0,0.00390625,0.010708627873028774,0.02463822055089083,0.0078125,True
working_memory,Working Memory,random,Random,fused,0.26249975212135696,0.2507262417715196,0.011773510349837358,0.010206588535358005,1.1535206214153897,9,10,4.0,0.013671875,0.005702382939341922,0.017700682255886096,0.013671875,True
fluid_intelligence,Fluid Intelligence,cross_task,Cross-task,fp_branch,0.22385683137955495,0.2187605553471789,0.0050962760323760665,0.007092104033970606,0.7185845001660037,7,10,8.0,0.048828125,0.0009520989195957501,0.009252044053674826,0.048828125,True
fluid_intelligence,Fluid Intelligence,shuffled,Shuffled,fp_branch,0.22385683137955495,0.20985591159882389,0.014000919780731072,0.010907409085759566,1.2836155379016925,8,10,3.0,0.009765625,0.00755813340096166,0.020301688057294813,0.01953125,True
fluid_intelligence,Fluid Intelligence,random,Random,fp_branch,0.22385683137955495,0.20882256777562574,0.015034263603929223,0.009139655296256667,1.6449486459392855,9,10,1.0,0.00390625,0.009510539358804793,0.02030969493572575,0.01171875,True
fluid_intelligence,Fluid Intelligence,cross_task,Cross-task,fused,0.3700313844593241,0.36917301343680364,0.0008583710225205276,0.0020991167699020096,0.4089200919301873,7,10,17.0,0.322265625,-0.00037829192757645445,0.0020599203500103187,0.64453125,False
fluid_intelligence,Fluid Intelligence,shuffled,Shuffled,fused,0.3700313844593241,0.369783158790035,0.00024822566928921154,0.003223219576070412,0.07701171559395771,5,10,26.0,0.921875,-0.0016165462604136027,0.002181195133107868,0.921875,False
fluid_intelligence,Fluid Intelligence,random,Random,fused,0.3700313844593241,0.3673172157535174,0.002714168705806771,0.0038602297227502158,0.7031106697642504,8,10,7.0,0.037109375,0.0006787482312086588,0.005189538388112867,0.111328125,False
