task,seed,outer_fold,control_prior,control_display,lambda_fc,lambda_l,fp_r_matched,fp_r_control,fp_delta_r,fp_rmse_matched,fp_rmse_control,fp_mae_matched,fp_mae_control,fused_r_matched,fused_r_control,fused_delta_r,fused_rmse_matched,fused_rmse_control,fused_mae_matched,fused_mae_control,w_fp,w_sc
working_memory,0,0,cross_task,Cross-task,0.001,5.0,0.11938329537113868,0.06756637017108581,-0.05181692520005286,13.293919095892054,13.490648340852532,10.849595203512509,10.968690528883446,0.11782111889377792,0.06882719116217004,-0.04899392773160788,11.525610959027235,11.753718427815237,9.32128025174092,9.598648920267292,0.7,0.3
working_memory,0,1,cross_task,Cross-task,1.0,0.03,0.10285093270285744,0.10782568875342934,0.004974756050571891,11.170861805981449,11.14388321820452,8.906232226663366,8.916202532804071,0.15675934302987524,0.1613343567084014,0.004575013678526169,10.918187145651823,10.896289032177375,8.742277880833678,8.747343603275628,0.8,0.2
working_memory,0,2,cross_task,Cross-task,0.1,0.5,0.2295511984439056,0.160823221189755,-0.06872797725415059,12.465827554090408,12.789496836260364,9.596211671573899,9.837620881230233,0.27096062061485127,0.21730949517559445,-0.05365112543925682,11.814203452222825,12.048752467630834,9.165805768010012,9.302318527359908,0.65,0.35
working_memory,0,3,cross_task,Cross-task,1.0,0.03,0.4252858535434746,0.4248407191085499,-0.00044513443492466553,10.494643293600866,10.486343718873663,8.847597841397263,8.849342821572513,0.3362522549116212,0.33379843665625664,-0.0024538182553645593,10.802232991874833,10.806290497999553,9.178699292945886,9.190359916550914,0.55,0.45
working_memory,0,4,cross_task,Cross-task,0.1,2.0,0.3486710269929013,0.3052372507790666,-0.04343377621383471,12.88672782290869,13.211505921560025,10.804327453210128,11.126774435149377,0.3682404169016615,0.3275889232144556,-0.040651493687205886,12.706322103111146,12.96058256730004,10.659771007234102,10.904268399754729,0.8,0.2
working_memory,1,0,cross_task,Cross-task,0.1,0.5,0.48669814245397225,0.4637674218543858,-0.02293072059958645,9.864355397932576,10.046142563079934,8.228650636792509,8.336256151318866,0.47696875142429085,0.4620157452600833,-0.014953006164207527,9.870964554803011,9.945298878637354,8.352281281570907,8.496070685943762,0.45,0.55
working_memory,1,1,cross_task,Cross-task,1.0,0.5,0.07451499086374411,0.07347008785417046,-0.0010449030095736472,11.983345683119378,12.014479641614676,9.773301344441665,9.831293225195333,0.04973310025977766,0.04941744264163949,-0.00031565761813816956,12.03536789233477,12.055136764902766,9.808964762688506,9.836916374384682,0.65,0.35
working_memory,1,2,cross_task,Cross-task,0.1,2.0,0.2411940403246028,0.21289677745929034,-0.02829726286531245,11.5144352215056,11.647205090288598,9.68413760815454,9.876274732883312,0.15974787333978707,0.1426683843748572,-0.017079488964929862,11.692718548124022,11.78314542577809,9.918994454752672,10.033806625874906,0.4,0.6
working_memory,1,3,cross_task,Cross-task,0.1,0.03,0.2884903282333578,0.25671516185020904,-0.031775166383148756,11.951516553596349,12.158471228902249,9.570299085972367,9.714205051779166,0.29484334804447704,0.26522756450426455,-0.029615783540212492,11.665858792588038,11.834217409004282,9.416891957879141,9.554432388195972,0.75,0.25
working_memory,1,4,cross_task,Cross-task,0.01,5.0,0.24572599088486802,0.18048104168040804,-0.06524494920445997,12.037374796704135,12.304321689688557,8.743589213717954,9.315327463817612,0.2682954333644001,0.21395728216969814,-0.05433815119470195,11.100720713073922,11.313921240566907,8.270957556827621,8.671764535080946,0.7,0.3
working_memory,2,0,cross_task,Cross-task,0.1,1.0,0.3835226334566685,0.363269161412812,-0.02025347204385647,11.639320485159987,11.823963317910087,9.430522460955148,9.800172800479746,0.3892873679498099,0.36830840753703814,-0.020978960412771752,11.447515972486418,11.590099351870125,9.397646231013068,9.54063785280401,0.75,0.25
working_memory,2,1,cross_task,Cross-task,0.1,5.0,0.3975587132607836,0.33740397201224326,-0.060154741248540367,10.487049678742755,10.791202970367435,8.465950095966663,8.90630052911178,0.40470106988040855,0.3474894802012488,-0.057211589679159736,10.31715972099692,10.603715039250334,8.311726961512989,8.697992874002285,0.9,0.1
working_memory,2,2,cross_task,Cross-task,0.1,0.1,0.2355338913646014,0.21191826859895818,-0.02361562276564322,12.332928166751277,12.50337253033774,9.58084867206193,9.755444626455564,0.2518756975571505,0.22789573754612336,-0.023979960011027146,11.66285752951705,11.819678187508897,9.068575060689023,9.196107534067652,0.75,0.25
working_memory,2,3,cross_task,Cross-task,1.0,0.5,0.35206433475188026,0.32429413179149796,-0.027770202960382295,10.754400836870403,10.843066226437097,9.275357625539467,9.354086611364282,0.3803242279842638,0.3539042165703279,-0.026420011413935907,10.684102485650444,10.750151654563743,9.22964498692933,9.300042383267625,0.8,0.2
