task,task_display,control_prior,control_display,metric_family,mean_matched,mean_control,mean_delta,std_delta,cohens_dz,positive_seeds,n_seeds,wilcoxon_statistic,raw_p,ci_95_lower,ci_95_upper,p_holm,significant_holm_005
working_memory,Working Memory,cross_task,Cross-task,fp_branch,0.27818126672270543,0.25428836882473627,0.023892897897969164,0.009352336831816702,2.5547516441757523,10,10,0.0,0.001953125,0.018103639743231974,0.02891577677970862,0.005859375,True
working_memory,Working Memory,shuffled,Shuffled,fp_branch,0.27818126672270543,0.25478086864486627,0.023400398077839175,0.01392307600041165,1.6806916860288144,9,10,1.0,0.00390625,0.014763651383723075,0.031033329254475293,0.0078125,True
working_memory,Working Memory,random,Random,fp_branch,0.27818126672270543,0.2637814785696386,0.014399788153066898,0.012585115806237897,1.1441919466429977,9,10,3.0,0.009765625,0.006722139776374923,0.021504532464793006,0.009765625,True
working_memory,Working Memory,cross_task,Cross-task,fused,0.26249975212135696,0.2424135566395163,0.020086195481840572,0.008093386389492245,2.481803600519896,10,10,0.0,0.001953125,0.015108704835466861,0.024553538813179055,0.005859375,True
working_memory,Working Memory,shuffled,Shuffled,fused,0.26249975212135696,0.24430236338583433,0.018197388735522547,0.01190121851848334,1.5290357627885633,9,10,1.0,0.00390625,0.010708627873028764,0.02463822055089078,0.0078125,True
working_memory,Working Memory,random,Random,fused,0.26249975212135696,0.2507262417715196,0.011773510349837334,0.010206588535358005,1.1535206214153872,9,10,4.0,0.013671875,0.0057023829393418966,0.017700682255886075,0.013671875,True
fluid_intelligence,Fluid Intelligence,cross_task,Cross-task,fp_branch,0.22385683137955495,0.21876055534717884,0.0050962760323760604,0.007092104033970592,0.7185845001660043,7,10,8.0,0.048828125,0.0009520989195957532,0.009252044053674812,0.048828125,True
fluid_intelligence,Fluid Intelligence,shuffled,Shuffled,fp_branch,0.22385683137955495,0.20985591159882383,0.01400091978073106,0.01090740908575956,1.2836155379016918,8,10,3.0,0.009765625,0.007558133400961651,0.0203016880572948,0.01953125,True
fluid_intelligence,Fluid Intelligence,random,Random,fp_branch,0.22385683137955495,0.2088225677756257,0.01503426360392921,0.009139655296256656,1.644948645939286,9,10,1.0,0.00390625,0.009510539358804786,0.02030969493572573,0.01171875,True
fluid_intelligence,Fluid Intelligence,cross_task,Cross-task,fused,0.3700313844593241,0.3691730134368036,0.000858371022520514,0.002099116769901997,0.4089200919301833,7,10,17.0,0.322265625,-0.00037829192757646643,0.002059920350010299,0.64453125,False
fluid_intelligence,Fluid Intelligence,shuffled,Shuffled,fused,0.3700313844593241,0.36978315879003487,0.0002482256692891939,0.0032232195760704026,0.07701171559395248,5,10,26.0,0.921875,-0.001616546260413619,0.0021811951331078432,0.921875,False
fluid_intelligence,Fluid Intelligence,random,Random,fused,0.3700313844593241,0.36731721575351733,0.002714168705806764,0.0038602297227502006,0.7031106697642514,8,10,7.0,0.037109375,0.0006787482312086681,0.005189538388112859,0.111328125,False
