task,seed,baseline_pearson,selected_pearson,delta_pearson,baseline_rmse,selected_rmse,baseline_mae,selected_mae,selected_candidate,n_folds
fluid_intelligence,0,0.37557260244286034,0.3690976364170309,-0.006474966025829421,4.535225493491794,4.546812788647965,3.7593923678696997,3.7703871064057033,B,5
fluid_intelligence,1,0.34459300984927027,0.3441642640046291,-0.00042874584464119847,4.635884270636216,4.644385915278982,3.850701241775274,3.85271321909943,B,5
fluid_intelligence,2,0.4036322586183549,0.4027079688143738,-0.000924289803981071,4.501720764592184,4.513926283029212,3.749406566370039,3.7755912966453677,A,5
fluid_intelligence,3,0.34274501749661423,0.3378244729051154,-0.004920544591498821,4.627873516353316,4.637808573073711,3.7976189210864044,3.8014276583396267,A,5
fluid_intelligence,4,0.36746625104437325,0.3440084229281878,-0.023457828116185464,4.569414806236046,4.659555334079714,3.7935195677345077,3.8435804820199713,B,5
fluid_intelligence,5,0.37012113748568504,0.3624565433195025,-0.007664594166182537,4.568173582511649,4.571092347023697,3.7902465885781047,3.79166446706771,B,5
fluid_intelligence,6,0.37781763057728973,0.377713728261375,-0.00010390231591472787,4.529032798304348,4.528916236000768,3.7651800237992434,3.768689556943664,A,5
fluid_intelligence,7,0.36326975166406483,0.3641800335226619,0.0009102818585970396,4.566521987375254,4.565238930578865,3.7849357122598706,3.7855685174950353,B,5
fluid_intelligence,8,0.3461928625559406,0.34495144615045603,-0.0012414164054845855,4.639234164766112,4.661418683512352,3.850415611470855,3.8339210995240727,B,5
fluid_intelligence,9,0.4177628279611506,0.4088228607675551,-0.008939967193595522,4.493810552319114,4.501296270570443,3.7451683007558287,3.7305959353411553,B,5
working_memory,0,0.27805949200912916,0.28278035892398473,0.00472086691485557,11.268764793560308,11.217079832014502,9.204182294742552,9.183804003577768,B,5
working_memory,1,0.26122625011777784,0.23661206466155155,-0.02461418545622629,11.287734911244621,11.335950639786898,9.277823848777583,9.19026961767479,B,5
working_memory,2,0.305828348776284,0.30726995018289094,0.0014416014066069294,11.15362154853683,11.194585578333783,9.07227124864566,9.071543987554815,A,5
working_memory,3,0.2865453913302085,0.27743923415297456,-0.009106157177233953,11.108622915981787,11.101044138359358,9.048135349962603,8.948696622723162,B,5
working_memory,4,0.2601853858557382,0.2592053909415914,-0.0009799949141467978,11.171367098036033,11.117736514642207,9.089603439663495,9.057774009481463,B,5
working_memory,5,0.19377912110713919,0.19379122739641727,1.2106289278085436e-05,11.720015114888096,11.606651299929485,9.503750749884226,9.375707496036174,B,5
working_memory,6,0.2325919074620618,0.15113727593558177,-0.08145463152648003,11.391746685199681,11.843187547474631,9.286846419591395,9.628733122723437,A,5
working_memory,7,0.2583498077236942,0.26312729374635124,0.00477748602265704,11.237600300530467,11.12619430286161,9.152379588849168,9.050950390241349,B,5
working_memory,8,0.2959315459576896,0.31009371634349014,0.014162170385800532,11.301014987427,11.1922016228752,9.192760805799416,9.077066031901383,A,5
working_memory,9,0.2626504855627122,0.2634772702726975,0.0008267847099853176,11.288721671705506,11.287130306802501,9.134341677176176,9.120051253673939,B,5
