task,seed,outer_fold,selected_candidate,selected_hyperparam,baseline_r,selected_r,delta_r,baseline_rmse,selected_rmse,baseline_mae,selected_mae,a_oof_r,b_oof_r,c_oof_r,b_best_a,c_best_lambda
working_memory,0,0,B,0.1,0.18150781171657335,0.1714678791074507,-0.010039932609122643,9.953708897125898,10.091681991619037,8.282356821465521,8.389230608108354,0.2069607224996977,0.2074341783703764,0.18676188127263904,0.1,100.0
working_memory,0,1,B,0.25,0.21011026114967962,0.19846441241711577,-0.011645848732563857,11.10745620520068,11.002507103697209,8.969329674853686,8.807764744191646,0.23814676440686255,0.23928754189534418,0.21121525103239275,0.25,100.0
working_memory,0,2,B,0.5,0.22032587855192703,0.2598980672319532,0.039572188680026155,12.108116520564563,11.855096053581379,9.190667007115003,9.148325505845753,0.3010979090438739,0.30601691050593316,0.2948224070542297,0.5,100.0
working_memory,0,3,A,0.0,0.4137912456424629,0.4137912456424629,0.0,10.42601669321304,10.42601669321304,8.961099740064574,8.961099740064574,0.1782629168043615,0.1782629168043615,0.14952759519167358,0.0,100.0
working_memory,0,4,B,0.25,0.36456226298500305,0.3702801902209411,0.005717927235938058,12.74852565169736,12.710097317961853,10.61745823021397,10.61259941967851,0.08615407272195341,0.08686523646871043,-0.011548078059955377,0.25,0.0
working_memory,1,0,B,2.0,0.44757299068149653,0.3848421121662317,-0.06273087851526482,10.046232664142096,10.42007307088242,8.538997172606766,8.597864533081907,-0.027512303050443127,0.014813880805165366,-0.12899366494182055,2.0,0.0
working_memory,1,1,B,0.5,0.09411153151249077,0.05581080868626259,-0.03830072282622818,12.205825200604622,12.072593478242654,9.948780304082451,9.845351083714178,0.29782764766280456,0.3075435383445059,0.2588585750598731,0.5,100.0
working_memory,1,2,A,0.0,0.16069440039950006,0.16069440039950006,0.0,11.679811649163742,11.679811649163742,9.942213548614829,9.942213548614829,0.2062265257365344,0.2062265257365344,0.16379375726635587,0.0,100.0
working_memory,1,3,B,0.75,0.2737362078145558,0.2951399234500997,0.021403715635543885,12.180754679081122,11.708436277648321,9.92988983966068,9.428403238920591,0.27102464447574137,0.2815071997194949,0.26819521234875043,0.75,100.0
working_memory,1,4,B,0.5,0.3300161201808461,0.2865730786056634,-0.043443041575182695,10.326050363231529,10.79883872299736,8.029238378923193,8.13751568404245,0.17380760938136663,0.1786526776230487,0.14245488158105343,0.5,100.0
working_memory,2,0,A,0.0,0.3449048637888086,0.3449048637888086,0.0,12.263145134570001,12.263145134570001,10.035475092160155,10.035475092160155,0.1956494085847023,0.1956494085847023,0.18940318170782497,0.0,100.0
