task,seed,fold,alpha_SC,baseline_lambda_F,adaptive_rho,adaptive_tau,adaptive_lambda_F,uses_semantic
working_memory,101,0,3000.0,0.1,0.0,0.0,0.1,False
working_memory,101,1,3000.0,0.1,0.0,0.0,0.1,False
working_memory,101,2,3000.0,0.1,0.0,0.0,0.1,False
working_memory,101,3,3000.0,0.1,0.0,0.0,0.1,False
working_memory,101,4,3000.0,0.1,0.0,0.0,0.1,False
working_memory,202,0,3000.0,0.1,0.25,0.5,0.001,True
working_memory,202,1,0.001,0.1,0.0,0.003,0.001,True
working_memory,202,2,3000.0,0.1,0.0,0.0,0.1,False
working_memory,202,3,3000.0,0.1,0.0,0.0,0.01,False
working_memory,202,4,3000.0,0.1,0.0,0.0,1.0,False
working_memory,303,0,3000.0,0.1,0.25,0.0,0.1,True
working_memory,303,1,3000.0,0.1,0.0,0.0,0.1,False
working_memory,303,2,3000.0,0.1,0.0,0.0,0.1,False
working_memory,303,3,3000.0,0.1,0.0,0.1,0.1,True
working_memory,303,4,3000.0,0.1,0.25,0.0,0.1,True
working_memory,404,0,3000.0,0.1,0.0,0.0,0.1,False
working_memory,404,1,3000.0,0.1,0.0,0.0,0.1,False
working_memory,404,2,3000.0,0.1,0.0,0.0,0.1,False
working_memory,404,3,3000.0,0.1,0.0,0.0,0.1,False
working_memory,404,4,3000.0,0.1,0.0,0.0,1.0,False
fluid_intelligence,101,0,3000.0,0.1,0.5,0.0,1.0,True
fluid_intelligence,101,1,3000.0,0.1,0.0,0.0,0.1,False
fluid_intelligence,101,2,3000.0,0.1,0.0,0.0,0.1,False
fluid_intelligence,101,3,3000.0,0.1,0.0,0.0,0.1,False
fluid_intelligence,101,4,3000.0,0.1,0.0,0.0,0.1,False
fluid_intelligence,202,0,3000.0,0.1,0.0,0.0,0.1,False
fluid_intelligence,202,1,3000.0,0.1,0.0,0.0,0.1,False
fluid_intelligence,202,2,3000.0,0.1,0.0,0.0,0.1,False
fluid_intelligence,202,3,3000.0,0.1,0.0,0.0,0.1,False
fluid_intelligence,202,4,3000.0,0.1,0.5,0.0,1.0,True
fluid_intelligence,303,0,3000.0,0.1,0.0,0.0,0.1,False
fluid_intelligence,303,1,3000.0,0.1,0.0,0.0,1.0,False
fluid_intelligence,303,2,1000.0,0.1,0.0,0.0,0.1,False
fluid_intelligence,303,3,1000.0,0.1,0.25,0.0,0.1,True
fluid_intelligence,303,4,3000.0,1.0,0.0,0.0,1.0,False
fluid_intelligence,404,0,0.001,0.1,0.0,0.0,0.1,False
fluid_intelligence,404,1,3000.0,0.1,0.0,0.0,0.1,False
fluid_intelligence,404,2,3000.0,0.1,0.0,0.0,0.1,False
fluid_intelligence,404,3,0.001,0.1,0.0,0.0,0.1,False
fluid_intelligence,404,4,3000.0,0.1,0.25,0.0,1.0,True
