task,seed,outer_fold,selected_rho,selected_tau,selected_lambda_F,best_max_rho,best_max_tau,best_max_lambda_F,best_max_pearson,best_se_pearson
working_memory,101,0,0.0,0.0,0.1,1.0,0.5,0.1,0.3090800338517414,0.2934204808561698
working_memory,101,1,0.0,0.0,0.1,0.75,0.01,0.01,0.3085619800714577,0.2841464667458111
working_memory,101,2,0.0,0.0,0.1,0.25,0.03,0.001,0.20134892688966058,0.16501264837514368
working_memory,101,3,0.0,0.0,0.1,0.5,1.0,0.1,0.23807368080201874,0.22774561627326906
working_memory,101,4,0.0,0.01,0.1,1.0,0.0,1.0,0.3069646236148597,0.28207892904738857
working_memory,202,0,0.25,0.0,1.0,1.0,0.5,1.0,0.2793149944195558,0.26038407690589627
working_memory,202,1,0.0,0.0,0.1,0.25,0.5,0.01,0.2532470180000104,0.2399343098486552
working_memory,202,2,0.0,0.0,0.1,0.25,0.0,0.1,0.2954165065916167,0.2931866713457112
working_memory,202,3,0.0,0.0,0.1,1.0,0.0,1.0,0.26328079281975764,0.2437747705921602
working_memory,202,4,0.0,0.0,0.1,1.0,0.0,1.0,0.29670456371702253,0.2629570744805331
working_memory,303,0,0.0,0.0,0.1,1.0,5.0,1.0,0.23816432700318524,0.19806869441947236
working_memory,303,1,0.0,0.0,0.1,1.0,0.5,0.1,0.2929106012725361,0.27390015284246527
working_memory,303,2,0.25,0.0,1.0,1.0,0.5,1.0,0.2724582193960335,0.24417157837167447
working_memory,303,3,0.25,0.0,0.1,1.0,0.0,1.0,0.15097381645980554,0.11043276826512634
working_memory,303,4,0.0,0.003,0.001,0.25,5.0,0.001,0.3840709354795922,0.3640096626241722
working_memory,404,0,0.0,0.0,0.1,0.0,0.0,0.1,0.22175187228333085,0.22175187228333085
working_memory,404,1,0.0,0.0,0.1,0.75,0.1,0.1,0.36087868787224914,0.3483188048931754
working_memory,404,2,0.0,0.0,0.1,1.0,0.1,1.0,0.26817593161312153,0.25373493627228233
working_memory,404,3,0.0,0.0,0.1,1.0,5.0,0.1,0.27180519142295145,0.2454827079065939
working_memory,404,4,0.0,0.0,0.1,1.0,0.01,1.0,0.2785453362894997,0.2521921041311573
fluid_intelligence,101,0,0.0,0.0,0.1,1.0,0.0,1.0,0.1943246018268834,0.14453623059208606
fluid_intelligence,101,1,0.0,0.0,0.1,0.75,0.1,0.1,0.20997872352282773,0.2010990420229939
fluid_intelligence,101,2,0.0,0.0,0.1,1.0,0.0,1.0,0.23658206362321202,0.23298133111305033
fluid_intelligence,101,3,0.0,0.1,0.01,1.0,0.1,0.01,0.2730093986102898,0.24577437906379662
fluid_intelligence,101,4,0.0,0.0,0.1,0.0,5.0,0.1,0.2958031339681942,0.29332580639531836
fluid_intelligence,202,0,0.5,0.0,1.0,1.0,0.0,1.0,0.2609780353995674,0.24477844147918248
fluid_intelligence,202,1,0.0,0.0,0.1,0.25,0.0,0.1,0.2627761607014572,0.26198511511361855
fluid_intelligence,202,2,0.0,0.0,0.1,0.25,0.0,1.0,0.27312390083974974,0.2497191296207382
fluid_intelligence,202,3,0.0,0.0,0.1,0.75,0.01,0.1,0.12261736008043934,0.11800214447542641
fluid_intelligence,202,4,0.0,0.0,0.1,1.0,0.0,1.0,0.2238379071312384,0.20389768976728195
fluid_intelligence,303,0,0.0,0.0,0.1,0.5,0.0,0.1,0.21745573078024802,0.2147189828711971
fluid_intelligence,303,1,0.0,0.0,0.1,1.0,5.0,0.1,0.21459268104327553,0.20032127368431862
fluid_intelligence,303,2,0.0,0.0,1.0,1.0,0.0,1.0,0.2660084548127751,0.23917532273522138
fluid_intelligence,303,3,0.0,0.0,0.1,1.0,0.0,0.1,0.1635045021802981,0.14144483157360355
fluid_intelligence,303,4,0.0,0.0,0.1,0.0,0.0,1.0,0.14123538298281454,0.12436512979224813
fluid_intelligence,404,0,0.0,0.0,0.1,0.0,0.0,1.0,0.20251583961003172,0.1657753433420511
fluid_intelligence,404,1,0.0,0.0,0.1,1.0,0.5,1.0,0.15833954648228754,0.12926298877491113
fluid_intelligence,404,2,0.25,0.0,1.0,1.0,0.0,1.0,0.17172086235712306,0.15151174831952274
fluid_intelligence,404,3,0.0,0.0,0.01,1.0,0.0,0.01,0.20399557799091905,0.1847266981488809
fluid_intelligence,404,4,0.0,0.0,1.0,1.0,0.0,1.0,0.26850876053328904,0.24315425325780463
