task,seed,model,mean_fused_pearson,mean_fused_rmse,mean_fused_mae,mean_fp_pearson,mean_sc_pearson,n_folds
working_memory,101,baseline,0.3361020410082891,11.024866961602669,9.160390694220352,0.33959834983701526,0.17260227225187527,5
working_memory,101,adaptive,0.33741023616107035,10.905334740338345,9.020914137288305,0.341465692090383,0.17260227225187527,5
working_memory,202,baseline,0.2707748543124793,11.195247660746611,9.13105863624107,0.26493279879836096,0.1773250479183379,5
working_memory,202,adaptive,0.30174835505624564,11.035093765341035,8.992504292501302,0.3020450669103978,0.18762235229370813,5
working_memory,303,baseline,0.2944979656826635,11.096715887359883,9.070515777031327,0.3149861312458923,0.13633643022627165,5
working_memory,303,adaptive,0.3018736176756901,11.248571240010776,9.130608265181978,0.3191988456858733,0.13633643022627165,5
working_memory,404,baseline,0.27409326762000524,11.173470585164747,9.080108045209577,0.2756902110857948,0.15762357008390748,5
working_memory,404,adaptive,0.2892940385457501,11.071655347024535,9.004468050787878,0.2923662539556416,0.15762357008390748,5
fluid_intelligence,101,baseline,0.32383798163477534,4.62943835349092,3.940032983566921,0.17955422653052996,0.31872927272664214,5
fluid_intelligence,101,adaptive,0.3190503600578323,4.651367050080998,3.959739510438631,0.16034918561933745,0.3171512027048963,5
fluid_intelligence,202,baseline,0.3629754628901338,4.569618023654128,3.83885569303243,0.17953682942444077,0.365502300923921,5
fluid_intelligence,202,adaptive,0.3744648948441786,4.547130135178825,3.8162272792918692,0.23920444207506936,0.365502300923921,5
fluid_intelligence,303,baseline,0.3883012425321544,4.55758019598539,3.8467126025867318,0.2786107007976947,0.3692281964880847,5
fluid_intelligence,303,adaptive,0.39780042342382,4.5253449860758135,3.8089350810850733,0.28161126392420377,0.37551764471553817,5
fluid_intelligence,404,baseline,0.41847657383782766,4.486330784419307,3.7807579513485576,0.24045270717804387,0.389561936161249,5
fluid_intelligence,404,adaptive,0.41686038283072946,4.469143806990279,3.7647417846530757,0.2305726609383248,0.39283832041074146,5
