task,seed,fold,model,r_A,lambda,r_S,mean_pearson,mean_rmse,mean_mae
working_memory,505,0,joint_baseline,1.0,100.0,2.0,0.2928782086281173,11.533097672380965,9.393292518870236
working_memory,505,0,palf_mpr,0.1,100.0,0.25,0.3053447363017098,11.245571417259203,9.028695699382467
working_memory,505,1,joint_baseline,1.0,100.0,10.0,0.17734894617222166,12.496535371649644,9.920428579051363
working_memory,505,1,palf_mpr,1.0,100.0,10.0,0.17734894617222166,12.496535371649644,9.920428579051363
working_memory,505,2,joint_baseline,1.0,100.0,10.0,0.26499692704983324,12.311146033167237,9.772085388260223
working_memory,505,2,palf_mpr,1.0,100.0,10.0,0.26499692704983324,12.311146033167237,9.772085388260223
working_memory,505,3,joint_baseline,1.0,100.0,10.0,0.22250082039004196,11.962720631267823,9.637850314814543
working_memory,505,3,palf_mpr,1.0,100.0,10.0,0.22250082039004196,11.962720631267823,9.637850314814543
working_memory,505,4,joint_baseline,1.0,100.0,10.0,0.31838219789133176,11.124464123549004,9.05612684446657
working_memory,505,4,palf_mpr,1.0,100.0,10.0,0.31838219789133176,11.124464123549004,9.05612684446657
working_memory,606,0,joint_baseline,1.0,100.0,10.0,0.21692967153976075,12.220222909467644,9.713045368308403
working_memory,606,0,palf_mpr,0.1,100.0,10.0,0.24117095271365185,12.583395078802162,10.140075221213369
working_memory,606,1,joint_baseline,1.0,100.0,10.0,0.30031980454244084,11.515645367409375,9.461730098378906
working_memory,606,1,palf_mpr,1.0,100.0,10.0,0.30031980454244084,11.515645367409375,9.461730098378906
working_memory,606,2,joint_baseline,1.0,10.0,4.0,0.32430443494195654,11.27814908333779,9.10427075861399
working_memory,606,2,palf_mpr,1.0,10.0,4.0,0.32430443494195654,11.27814908333779,9.10427075861399
working_memory,606,3,joint_baseline,1.0,100.0,10.0,0.23811578493519944,12.155467882925034,9.789073263856228
working_memory,606,3,palf_mpr,1.0,100.0,10.0,0.23811578493519944,12.155467882925034,9.789073263856228
working_memory,606,4,joint_baseline,1.0,100.0,10.0,0.26866609759853793,11.79654112705345,9.554815891317649
working_memory,606,4,palf_mpr,0.25,100.0,4.0,0.2737168953208041,11.825981135914384,9.57399246452039
working_memory,707,0,joint_baseline,1.0,100.0,4.0,0.246957928133659,11.58555820429199,9.383496764748337
working_memory,707,0,palf_mpr,1.0,100.0,4.0,0.246957928133659,11.58555820429199,9.383496764748337
working_memory,707,1,joint_baseline,1.0,100.0,10.0,0.20951440896307796,12.182228051645302,9.832152503793031
working_memory,707,1,palf_mpr,0.25,100.0,10.0,0.21636147631244484,12.40127102353635,10.003438000528055
working_memory,707,2,joint_baseline,1.0,100.0,10.0,0.4188016422012624,10.951093033751656,8.83827566880104
working_memory,707,2,palf_mpr,0.25,100.0,4.0,0.4232233726428216,10.865322788979224,8.719504743115314
working_memory,707,3,joint_baseline,1.0,100.0,10.0,0.1820685066948225,12.375493635438426,9.917382231929007
working_memory,707,3,palf_mpr,0.5,100.0,10.0,0.18208531189818725,12.446513918457388,9.947437299492915
working_memory,707,4,joint_baseline,1.0,100.0,10.0,0.2643591354735103,11.791381039218415,9.528372660340295
working_memory,707,4,palf_mpr,1.0,100.0,10.0,0.2643591354735103,11.791381039218415,9.528372660340295
working_memory,808,0,joint_baseline,1.0,100.0,10.0,0.1800808469690332,12.641377365522327,9.882883127768064
working_memory,808,0,palf_mpr,1.0,100.0,10.0,0.1800808469690332,12.641377365522327,9.882883127768064
working_memory,808,1,joint_baseline,1.0,100.0,4.0,0.21482194919715497,11.710029973662364,9.576979447569173
working_memory,808,1,palf_mpr,0.1,100.0,0.25,0.21797491878865954,11.434174310393248,9.393052971130906
working_memory,808,2,joint_baseline,1.0,100.0,10.0,0.28688813849505507,11.491447396143519,9.165222432932202
working_memory,808,2,palf_mpr,1.0,100.0,10.0,0.28688813849505507,11.491447396143519,9.165222432932202
working_memory,808,3,joint_baseline,1.0,100.0,4.0,0.2872275600131373,11.820204417010448,9.662439477586158
working_memory,808,3,palf_mpr,0.1,100.0,2.0,0.3023399571224679,11.947443216554761,9.784602684585055
working_memory,808,4,joint_baseline,1.0,100.0,10.0,0.16740922721396187,12.682543667694238,10.04943355722589
working_memory,808,4,palf_mpr,0.1,100.0,2.0,0.17244406230635864,12.631183059211784,9.978651964040068
fluid_intelligence,505,0,joint_baseline,1.0,100.0,0.1,0.41313183716887136,4.4357602290159255,3.6601413327115937
fluid_intelligence,505,0,palf_mpr,1.0,100.0,0.1,0.41313183716887136,4.4357602290159255,3.6601413327115937
fluid_intelligence,505,1,joint_baseline,1.0,100.0,0.25,0.32403960874148574,4.712005344241455,3.919625979060539
fluid_intelligence,505,1,palf_mpr,0.1,100.0,0.1,0.32956062308042555,4.705139771392571,3.9314368029142686
fluid_intelligence,505,2,joint_baseline,1.0,100.0,1.0,0.3686310650623713,4.661587801644703,3.872454704503152
fluid_intelligence,505,2,palf_mpr,1.0,100.0,1.0,0.3686310650623713,4.661587801644703,3.872454704503152
fluid_intelligence,505,3,joint_baseline,1.0,100.0,0.1,0.4105480643020627,4.425986758429087,3.639576555093142
fluid_intelligence,505,3,palf_mpr,0.5,100.0,0.1,0.4110090812497432,4.424316209459441,3.6377248963924487
fluid_intelligence,505,4,joint_baseline,1.0,100.0,0.25,0.3246965454808143,4.757860650596948,3.8939038579154515
fluid_intelligence,505,4,palf_mpr,0.1,100.0,0.1,0.3324007785430962,4.739539738362413,3.871432798425866
fluid_intelligence,606,0,joint_baseline,1.0,100.0,0.1,0.3534351463435123,4.626985828347533,3.8449152092597734
fluid_intelligence,606,0,palf_mpr,0.1,100.0,0.1,0.3569887966418404,4.611325830889312,3.8163692600154215
fluid_intelligence,606,1,joint_baseline,1.0,100.0,0.5,0.42217656085786415,4.471952207030959,3.6618609463313256
fluid_intelligence,606,1,palf_mpr,0.1,100.0,0.1,0.433721624008215,4.446312793018485,3.638075793128446
fluid_intelligence,606,2,joint_baseline,1.0,0.01,0.25,0.33428702228803886,4.792794843108477,4.047220524592966
fluid_intelligence,606,2,palf_mpr,0.25,100.0,0.25,0.3366672555776404,4.791157347455538,4.0367596169830335
fluid_intelligence,606,3,joint_baseline,1.0,100.0,0.5,0.3859777948209301,4.594850837946125,3.772216627371088
fluid_intelligence,606,3,palf_mpr,0.1,100.0,0.25,0.3953517902664361,4.589418174134292,3.7465941189173266
fluid_intelligence,606,4,joint_baseline,1.0,100.0,0.1,0.34007606966167697,4.565913956618314,3.7176783573964585
fluid_intelligence,606,4,palf_mpr,0.25,100.0,0.1,0.3420348354916925,4.56554508938882,3.7223338645521133
fluid_intelligence,707,0,joint_baseline,1.0,100.0,0.25,0.3972092301879382,4.5480282032621675,3.7561073987324454
fluid_intelligence,707,0,palf_mpr,0.25,100.0,0.25,0.4030966750733806,4.535794214387363,3.74832422749438
fluid_intelligence,707,1,joint_baseline,1.0,100.0,1.0,0.30330863225665017,4.706862566218959,3.808134648434085
fluid_intelligence,707,1,palf_mpr,1.0,100.0,1.0,0.30330863225665017,4.706862566218959,3.808134648434085
fluid_intelligence,707,2,joint_baseline,1.0,100.0,0.5,0.3297368698096609,4.820234319908711,3.979620972437157
fluid_intelligence,707,2,palf_mpr,0.1,100.0,0.25,0.3385155997784574,4.817372235995322,3.9915183451889105
fluid_intelligence,707,3,joint_baseline,1.0,100.0,0.5,0.3393452149283912,4.636944610776964,3.791746144435469
fluid_intelligence,707,3,palf_mpr,0.25,100.0,0.25,0.34398789550112374,4.634885391352361,3.7924320970224046
fluid_intelligence,707,4,joint_baseline,1.0,0.01,0.1,0.3453693304210166,4.651082156094373,3.8174542515564434
fluid_intelligence,707,4,palf_mpr,0.5,0.01,0.1,0.34574418881485297,4.652221048502367,3.8224292918827145
fluid_intelligence,808,0,joint_baseline,1.0,100.0,0.25,0.3193783999592344,4.663913503999067,3.813304367258566
fluid_intelligence,808,0,palf_mpr,0.1,100.0,0.1,0.32548567991846616,4.65900707955723,3.8068625234479945
fluid_intelligence,808,1,joint_baseline,1.0,100.0,0.5,0.42560428271744916,4.570181739931078,3.6915374127343483
fluid_intelligence,808,1,palf_mpr,0.5,100.0,0.25,0.42565385844446374,4.578547956644997,3.7020854725950323
fluid_intelligence,808,2,joint_baseline,1.0,100.0,0.1,0.3332770169413982,4.733704396830258,3.892431667610533
fluid_intelligence,808,2,palf_mpr,0.1,100.0,0.1,0.3430975666662729,4.708577746821682,3.89696905872436
fluid_intelligence,808,3,joint_baseline,1.0,0.01,0.25,0.40107481073221596,4.499404105030827,3.6780087345525394
fluid_intelligence,808,3,palf_mpr,0.1,0.01,0.1,0.408256778529958,4.486026128152491,3.65297099634219
fluid_intelligence,808,4,joint_baseline,1.0,100.0,1.0,0.3250094787925236,4.800388074196155,4.002538971417814
fluid_intelligence,808,4,palf_mpr,0.5,100.0,1.0,0.3266037644423886,4.801763705414109,4.005212593198719
