seed,fold,task,prior_type,expert_type,baseline_pearson,baseline_rmse,baseline_mae,fc_expert_pearson,sc_expert_pearson,expert_fused_pearson,final_pearson,final_rmse,final_mae,delta_final_vs_baseline,selected_mask_family_fc,selected_mask_size_fc,selected_lambda_fc_expert,selected_laplacian_ratio_fc,selected_mask_family_sc,selected_mask_size_sc,selected_lambda_sc_expert,selected_laplacian_ratio_sc,expert_w_FC,expert_w_SC,alpha_base_vs_expert,base_expert_prediction_corr,base_expert_error_corr,ridge_final_pearson,ridge_delta_vs_baseline,ridge_lambda_r,ridge_laplacian_ratio,max_recon_error_expert_ncr,max_recon_error_final_ncr,max_recon_error_expert_ridge,max_recon_error_final_ridge
1717,0,WM,matched,ncr,0.22177365573959026,11.243798886638961,9.211316067535494,0.1718675784628977,0.06673282322489148,0.1836682718102362,0.2707253199127869,10.97497932533226,9.055854633627103,0.04895166417319666,roi_incident,15,0.1,0.3,roi_incident,5,0.1,0.3,0.85,0.15000000000000002,0.2,0.0,0.0,0.270265294856068,0.04849163911647772,1000.0,0.0,4.405364961712621e-13,8.526512829121202e-14,2.842170943040401e-14,1.4210854715202004e-14
1717,0,WM,cross_task,ncr,0.22177365573959026,11.243798886638961,9.211316067535494,0.2276023651635256,0.07206303695590464,0.23775786255539272,0.2785059534921114,10.906478103040667,8.96511907869889,0.056732297752521116,roi_incident,15,1000.0,0.0,direct_topk,1200,1000.0,0.0,0.8,0.19999999999999996,0.35,0.0,0.0,0.26800775435533314,0.046234098615742875,1000.0,0.0,2.842170943040401e-14,2.842170943040401e-14,2.842170943040401e-14,1.4210854715202004e-14
1717,0,WM,shuffled,ncr,0.22177365573959026,11.243798886638961,9.211316067535494,0.17746556859591658,0.06685382900228441,0.18457262651955433,0.23221071549684189,11.175501506610233,9.14375243884419,0.010437059757251621,direct_topk,1200,0.1,1.0,direct_topk,1200,0.1,1.0,0.8,0.19999999999999996,0.1,0.0,0.0,0.2292494499157004,0.007475794176110134,1000.0,0.0,2.5579538487363607e-13,2.842170943040401e-14,2.842170943040401e-14,1.4210854715202004e-14
1717,0,WM,random,ncr,0.22177365573959026,11.243798886638961,9.211316067535494,0.12961701780624368,0.06743816591794669,0.14720484474474615,0.24556540758088574,11.11952927538112,9.111415942918464,0.023791751841295478,direct_topk,1200,0.01,1.0,direct_topk,1200,0.01,1.0,0.55,0.44999999999999996,0.1,0.0,0.0,0.23029463816005824,0.008520982420467976,100.0,0.0,5.684341886080801e-13,5.684341886080802e-14,2.842170943040401e-14,0.0
1717,0,FI,matched,ncr,0.40601468822578113,4.685179643191415,3.9266591037090457,0.11267586346024702,0.11705118081622383,0.15511229216251168,0.40601468822578113,4.685179643191415,3.9266591037090457,0.0,roi_incident,15,0.1,0.1,roi_incident,15,0.1,0.1,0.35,0.65,0.0,0.0,0.0,0.3976811701643017,-0.008333518061479417,1000.0,0.0,5.684341886080802e-14,0.0,1.7763568394002505e-14,3.552713678800501e-15
1717,0,FI,cross_task,ncr,0.40601468822578113,4.685179643191415,3.9266591037090457,0.18940787394892603,0.1648172746725664,0.23008592747185735,0.3706142462446827,4.759495008964265,4.007623471766251,-0.03540044198109843,roi_incident,5,0.1,0.1,direct_topk,1200,0.1,0.1,0.6,0.4,0.25,0.0,0.0,0.3581762034127734,-0.04783848481300773,100.0,0.0,2.0605739337042905e-13,5.1514348342607263e-14,8.881784197001252e-15,3.552713678800501e-15
1717,0,FI,shuffled,ncr,0.40601468822578113,4.685179643191415,3.9266591037090457,0.10249406458677884,0.08667741373774243,0.1270390089133904,0.40601468822578113,4.685179643191415,3.9266591037090457,0.0,roi_incident,10,0.1,1.0,direct_topk,1200,0.1,1.0,0.45,0.55,0.0,0.0,0.0,0.40601468822578113,0.0,1000.0,0.0,8.881784197001252e-14,0.0,7.105427357601002e-15,0.0
1717,0,FI,random,ncr,0.40601468822578113,4.685179643191415,3.9266591037090457,0.14423280912863443,0.1613682579612578,0.2026315364934649,0.40601468822578113,4.685179643191415,3.9266591037090457,0.0,roi_incident,15,0.1,0.1,roi_incident,10,0.1,0.1,0.35,0.65,0.0,0.0,0.0,0.40601468822578113,0.0,1000.0,0.0,4.973799150320701e-14,0.0,1.2434497875801753e-14,0.0
1717,1,WM,matched,ncr,0.31121127775384916,11.286301566886946,9.528365920183155,0.13514064593511232,-0.014520116433279136,0.13514064593511232,0.31121127775384916,11.286301566886946,9.528365920183155,0.0,roi_incident,15,0.1,1.0,roi_incident,5,0.1,1.0,1.0,0.0,0.0,0.0,0.0,0.31121127775384916,0.0,1000.0,0.0,6.536993168992922e-13,0.0,2.842170943040401e-14,0.0
1717,1,WM,cross_task,ncr,0.31121127775384916,11.286301566886946,9.528365920183155,0.17705109325637064,0.05033198262687201,0.17998628532161787,0.33186993121517283,11.20952997041499,9.477640505827209,0.020658653461323673,roi_incident,15,0.1,1.0,direct_topk,300,0.1,1.0,0.9,0.09999999999999998,0.45,0.0,0.0,0.33674994887739007,0.025538671123540913,1000.0,0.0,3.268496584496461e-13,1.4210854715202004e-13,4.263256414560601e-14,2.842170943040401e-14
1717,1,WM,shuffled,ncr,0.31121127775384916,11.286301566886946,9.528365920183155,0.18564732872129291,-0.11414421509181817,0.18564732872129291,0.27052755682384244,11.508897513999964,9.675315842704517,-0.04068372093000672,roi_incident,15,0.1,1.0,direct_topk,600,0.1,1.0,1.0,0.0,0.4,0.0,0.0,0.2923305025185069,-0.018880775235342262,1000.0,0.0,4.121147867408581e-13,1.7053025658242404e-13,2.842170943040401e-14,1.4210854715202004e-14
1717,1,WM,random,ncr,0.31121127775384916,11.286301566886946,9.528365920183155,0.17606742919094037,0.0777958709870965,0.18809476260932326,0.307379964174073,11.3450336129166,9.623961094520132,-0.0038313135797761744,direct_topk,1200,0.01,1.0,direct_topk,300,0.01,1.0,0.6,0.4,0.3,0.0,0.0,0.3150205041283686,0.0038092263745194144,100.0,0.0,1.2505552149377763e-12,3.836930773104541e-13,2.842170943040401e-14,1.4210854715202004e-14
1717,1,FI,matched,ncr,0.49114471464678594,4.382552116923746,3.7442031114013097,0.03693270521520153,0.22179133990658387,0.222049670081088,0.46617365176561404,4.396649106031114,3.7168464218561956,-0.0249710628811719,roi_incident,15,1.0,0.1,roi_incident,15,1.0,0.1,0.05,0.95,0.15,0.0,0.0,0.4715202776734242,-0.019624436973361747,1000.0,0.0,3.197442310920451e-14,7.105427357601002e-15,1.4210854715202004e-14,3.552713678800501e-15
1717,1,FI,cross_task,ncr,0.49114471464678594,4.382552116923746,3.7442031114013097,0.06985361389000448,0.18803049115937207,0.19260757845510915,0.4919762953428446,4.397654616213988,3.7531090246782823,0.0008315806960586536,direct_topk,100,10.0,0.1,direct_topk,1200,10.0,0.1,0.4,0.6,0.1,0.0,0.0,0.49144557772464414,0.00030086307785820443,1000.0,0.0,7.105427357601002e-15,0.0,1.0658141036401503e-14,3.552713678800501e-15
1717,1,FI,shuffled,ncr,0.49114471464678594,4.382552116923746,3.7442031114013097,0.1301961781203628,0.10975250507263272,0.1629655498651164,0.4932785128558902,4.382057130381179,3.7451677306735913,0.002133798209104254,roi_incident,10,0.1,0.1,roi_incident,15,0.1,0.1,0.35,0.65,0.05,0.0,0.0,0.49114471464678594,0.0,100.0,0.0,8.881784197001252e-14,3.552713678800501e-15,1.0658141036401503e-14,0.0
1717,1,FI,random,ncr,0.49114471464678594,4.382552116923746,3.7442031114013097,0.19651019072653253,0.18705957458882924,0.27684408258527404,0.47927215174700855,4.491800978978353,3.816943353501128,-0.011872562899777395,direct_topk,600,0.1,1.0,direct_topk,100,0.1,1.0,0.25,0.75,0.4,0.0,0.0,0.4766366141853855,-0.014508100461400442,100.0,0.0,3.197442310920451e-14,1.4210854715202004e-14,7.105427357601002e-15,3.552713678800501e-15
1717,2,WM,matched,ncr,0.29398105521790124,12.01318031658526,9.8574918590558,0.17561501634322044,0.0661287682942502,0.18440689336427704,0.3033311548378421,11.711659039660098,9.695004098920274,0.009350099619940877,roi_incident,15,0.1,1.0,roi_incident,15,0.1,1.0,0.45,0.55,0.25,0.0,0.0,0.28961608376464926,-0.004364971453251987,100.0,0.0,2.2737367544323206e-13,5.684341886080802e-14,2.842170943040401e-14,1.4210854715202004e-14
1717,2,WM,cross_task,ncr,0.29398105521790124,12.01318031658526,9.8574918590558,0.19053754446454627,0.15866396105763103,0.24566320091240232,0.33049624602721006,11.474648945985725,9.516325252348471,0.03651519080930882,roi_incident,15,0.1,0.1,direct_topk,100,0.1,0.1,0.55,0.44999999999999996,0.45,0.0,0.0,0.30185286622373914,0.007871811005837892,100.0,0.0,2.8421709430404007e-13,1.4210854715202004e-13,2.842170943040401e-14,1.4210854715202004e-14
1717,2,WM,shuffled,ncr,0.29398105521790124,12.01318031658526,9.8574918590558,0.23486448464563348,0.11057294414730869,0.24130224716592258,0.2726969709283271,11.92581280543503,9.92853053727744,-0.021284084289574123,roi_incident,15,100.0,0.0,direct_topk,100,100.0,0.0,0.65,0.35,0.65,0.0,0.0,0.24384795463533154,-0.0501331005825697,100.0,0.0,5.684341886080802e-14,4.263256414560601e-14,2.842170943040401e-14,2.842170943040401e-14
1717,2,WM,random,ncr,0.29398105521790124,12.01318031658526,9.8574918590558,0.22949621760296265,0.11353339282702116,0.2484123310238121,0.3017439348900517,11.802690405162302,9.794920192153334,0.007762879672150447,roi_incident,15,0.01,1.0,direct_topk,300,0.01,1.0,0.75,0.25,0.6,0.0,0.0,0.3011187265820958,0.0071376713641945755,100.0,0.0,1.0800249583553523e-12,6.394884621840902e-13,2.842170943040401e-14,2.842170943040401e-14
1717,2,FI,matched,ncr,0.3609071934510857,4.4994999461067104,3.729654270026301,0.09313504949380608,0.2664044820836181,0.2742675313667926,0.3609071934510857,4.4994999461067104,3.729654270026301,0.0,roi_incident,15,1000.0,0.0,direct_topk,100,1000.0,0.0,0.15,0.85,0.0,0.0,0.0,0.3609071934510857,0.0,1000.0,0.0,7.105427357601002e-15,0.0,3.552713678800501e-15,0.0
1717,2,FI,cross_task,ncr,0.3609071934510857,4.4994999461067104,3.729654270026301,0.07006387835912842,0.271437084997691,0.271437084997691,0.36344579090834483,4.483046551297855,3.7445135542209274,0.0025385974572591508,roi_incident,15,1000.0,0.0,roi_incident,5,1000.0,0.0,0.0,1.0,0.15,0.0,0.0,0.3641536376249654,0.0032464441738797034,1000.0,0.0,7.105427357601002e-15,3.552713678800501e-15,3.552713678800501e-15,0.0
1717,2,FI,shuffled,ncr,0.3609071934510857,4.4994999461067104,3.729654270026301,0.18255044323358016,0.22298434705392278,0.2550529064906216,0.3609071934510857,4.4994999461067104,3.729654270026301,0.0,roi_incident,5,100.0,0.0,direct_topk,1200,100.0,0.0,0.3,0.7,0.0,0.0,0.0,0.3609071934510857,0.0,100.0,0.0,7.105427357601002e-15,0.0,7.105427357601002e-15,0.0
1717,2,FI,random,ncr,0.3609071934510857,4.4994999461067104,3.729654270026301,0.11376165947497807,0.31065150194567365,0.3183972946690612,0.356877074597889,4.491448855762347,3.7709832089250828,-0.004030118853196707,direct_topk,600,0.01,0.3,roi_incident,10,0.01,0.3,0.05,0.95,0.3,0.0,0.0,0.36239317491734085,0.0014859814662551707,10.0,0.0,7.993605777301127e-14,2.3092638912203256e-14,7.105427357601002e-15,3.552713678800501e-15
1717,3,WM,matched,ncr,0.14314251503811665,11.060382716068231,8.486761484663202,0.26744830579708523,0.015627926248149522,0.26744830579708523,0.1245911402172542,11.179176305360327,8.4511413772365,-0.018551374820862443,roi_incident,10,0.1,1.0,roi_incident,5,0.1,1.0,1.0,0.0,0.45,0.0,0.0,0.1389228921842261,-0.004219622853890548,1000.0,0.0,9.094947017729282e-13,4.121147867408581e-13,2.842170943040401e-14,1.4210854715202004e-14
1717,3,WM,cross_task,ncr,0.14314251503811665,11.060382716068231,8.486761484663202,0.27612807747025236,-0.0037908523721341056,0.27612807747025236,0.11718400066473642,11.29239463952523,8.613894306166713,-0.02595851437338023,roi_incident,15,0.1,1.0,direct_topk,300,0.1,1.0,1.0,0.0,0.5,0.0,0.0,0.12193130212455579,-0.02121121291356086,1000.0,0.0,5.400124791776761e-13,2.7000623958883807e-13,2.842170943040401e-14,1.4210854715202004e-14
1717,3,WM,shuffled,ncr,0.14314251503811665,11.060382716068231,8.486761484663202,0.2724122654583624,0.0481365043995204,0.27308182031895567,0.13497186712962353,10.89450262741908,8.30781778073453,-0.008170647908493117,roi_incident,10,1000.0,0.0,roi_incident,10,1000.0,0.0,0.95,0.050000000000000044,0.5,0.0,0.0,0.14315927236663684,1.6757328520189407e-05,1000.0,0.0,1.4210854715202004e-14,1.4210854715202004e-14,2.842170943040401e-14,1.4210854715202004e-14
1717,3,WM,random,ncr,0.14314251503811665,11.060382716068231,8.486761484663202,0.2461525749320344,0.04879756140458669,0.24911274525508842,0.1951809127441671,10.85380923545861,8.40194621310119,0.052038397706050454,direct_topk,300,0.01,0.1,direct_topk,300,0.01,0.1,0.85,0.15000000000000002,0.25,0.0,0.0,0.20715276993955317,0.06401025490143653,10.0,0.0,4.632738637155853e-12,1.1510792319313623e-12,2.842170943040401e-14,1.4210854715202004e-14
1717,3,FI,matched,ncr,0.30550791123093524,4.400469206635915,3.684161489533251,0.2678904161723651,0.19132796884464723,0.30317999089895387,0.28850453377579355,4.416884730983849,3.735216665829612,-0.01700337745514169,roi_incident,10,0.1,0.1,direct_topk,1200,0.1,0.1,0.6,0.4,0.2,0.0,0.0,0.288397615162008,-0.017110296068927222,100.0,0.0,1.0302869668521453e-13,2.1316282072803006e-14,1.0658141036401503e-14,3.552713678800501e-15
1717,3,FI,cross_task,ncr,0.30550791123093524,4.400469206635915,3.684161489533251,0.267883597332564,0.24175361346405777,0.3452975122458807,0.24940987317861976,4.49225312319944,3.8102488398454533,-0.056098038052315474,roi_incident,10,0.1,0.1,direct_topk,1200,0.1,0.1,0.6,0.4,0.4,0.0,0.0,0.24991190256421064,-0.055596008666724595,100.0,0.0,2.0605739337042905e-13,8.171241461241152e-14,1.0658141036401503e-14,3.552713678800501e-15
1717,3,FI,shuffled,ncr,0.30550791123093524,4.400469206635915,3.684161489533251,0.16607068785410353,0.28272866195482094,0.3010462853142061,0.3097316954524218,4.365611309433393,3.6701179684284293,0.0042237842214865595,roi_incident,15,0.1,0.1,direct_topk,1200,0.1,0.1,0.1,0.9,0.15,0.0,0.0,0.30550791123093524,0.0,1000.0,0.0,1.7763568394002505e-14,3.552713678800501e-15,7.105427357601002e-15,0.0
