seed,fold,task,prior_type,expert_type,baseline_pearson,baseline_rmse,baseline_mae,fc_expert_pearson,sc_expert_pearson,expert_fused_pearson,final_pearson,final_rmse,final_mae,delta_final_vs_baseline,selected_mask_family_fc,selected_mask_size_fc,selected_lambda_fc_expert,selected_laplacian_ratio_fc,selected_mask_family_sc,selected_mask_size_sc,selected_lambda_sc_expert,selected_laplacian_ratio_sc,expert_w_FC,expert_w_SC,alpha_base_vs_expert,base_expert_prediction_corr,base_expert_error_corr,ridge_final_pearson,ridge_delta_vs_baseline,ridge_lambda_r,ridge_laplacian_ratio,max_recon_error
1313,0,WM,matched,ncr,0.15591285832392876,113.41319795685277,112.69381384243057,0.08271399309059467,0.04868961930931326,0.09832032948675191,0.15591285832392876,113.41319795685277,112.69381384243057,0.0,direct_topk,1200,0.1,1.0,direct_topk,1200,0.1,1.0,0.7,0.30000000000000004,0.0,0.5218646124467246,0.9199096198841855,0.15591285832392876,0.0,1000.0,0.0,121.09668436284242
1313,0,WM,cross_task,ncr,0.15591285832392876,113.41319795685277,112.69381384243057,0.2330651181758462,0.16399284968070832,0.2676741075608363,0.14182834709304803,58.29275311499899,56.896613772240585,-0.014084511230880725,roi_incident,15,1000.0,0.0,roi_incident,15,1000.0,0.0,0.5,0.5,0.5,0.7870982387709093,0.9459807116825435,0.14182834709304767,-0.014084511230881086,1000.0,0.0,60.7520751258419
1313,0,WM,shuffled,ncr,0.15591285832392876,113.41319795685277,112.69381384243057,0.10374842436547188,0.09980763995242914,0.1396889632152008,0.15591285832392876,113.41319795685277,112.69381384243057,0.0,roi_incident,5,0.1,0.3,roi_incident,5,0.1,0.3,0.2,0.8,0.0,0.553660522001854,0.9243836599631328,0.15591285832392876,0.0,100.0,0.0,125.57265685997659
1313,0,WM,random,ncr,0.15591285832392876,113.41319795685277,112.69381384243057,0.2009473476474252,0.19308080199714178,0.255279885095019,0.1788314529211777,58.322680641878996,56.992961398482805,0.02291859459724893,direct_topk,1200,0.1,1.0,direct_topk,1200,0.1,1.0,0.3,0.7,0.5,0.7579180042003686,0.9531099968284296,0.18036760653776207,0.02445474821383331,100.0,0.0,63.991805986537315
1313,0,FI,matched,ncr,0.4822554559661981,18.164077529346738,17.69199353090269,0.051020901873647696,0.19727360327528198,0.20039226338726562,0.4811713905810552,13.28456869564349,12.630188974325073,-0.0010840653851429405,direct_topk,300,100.0,0.0,direct_topk,300,100.0,0.0,0.15,0.85,0.3,0.5359912640542477,0.9146896972725937,0.4784312320372156,-0.0038242239289825175,100.0,0.0,16.228867728598676
1313,0,FI,cross_task,ncr,0.4822554559661981,18.164077529346738,17.69199353090269,0.05430105833880358,0.16627037974970268,0.17100542163616173,0.4807723809278344,14.878728209421311,14.298863964577878,-0.0014830750383637015,roi_incident,5,1000.0,0.0,roi_incident,5,1000.0,0.0,0.2,0.8,0.2,0.480404836884037,0.896785670013628,0.4791786853421188,-0.0030767706240792947,1000.0,0.0,17.554100106182645
1313,0,FI,shuffled,ncr,0.4822554559661981,18.164077529346738,17.69199353090269,0.1798885494956868,0.13562561058001588,0.21866139018294217,0.5163212941623245,12.499064253655236,11.8309679897672,0.03406583819612641,direct_topk,100,1000.0,0.0,direct_topk,100,1000.0,0.0,0.55,0.44999999999999996,0.35,0.5084994585549347,0.891334851840653,0.5163212941623245,0.03406583819612641,1000.0,0.0,15.397473874341634
1313,0,FI,random,ncr,0.4822554559661981,18.164077529346738,17.69199353090269,0.14841984496284413,0.20821514419146178,0.24569241434837855,0.5185758290099249,10.91136842627374,10.122116030791892,0.03632037304372682,direct_topk,100,10.0,0.0,direct_topk,100,10.0,0.0,0.35,0.65,0.45,0.5765742441968589,0.913925323921591,0.5199326754909617,0.03767721952476355,10.0,0.0,13.517739053349867
1313,1,WM,matched,ncr,0.2138630430943273,113.1649976552853,112.47013656406315,0.1141284962824134,0.04184224790606837,0.11907670141468277,0.2138630430943273,113.1649976552853,112.47013656406315,0.0,direct_topk,1200,1000.0,0.0,direct_topk,1200,1000.0,0.0,0.45,0.55,0.0,0.6831627220799255,0.8716425324028015,0.2138630430943273,0.0,1000.0,0.0,124.36021693916865
1313,1,WM,cross_task,ncr,0.2138630430943273,113.1649976552853,112.47013656406315,0.1506628561376202,0.01330543813904637,0.1506628561376202,0.2138630430943273,113.1649976552853,112.47013656406315,0.0,direct_topk,600,1000.0,0.0,direct_topk,600,1000.0,0.0,1.0,0.0,0.0,0.6145017003980981,0.8478545715762088,0.2138630430943273,0.0,1000.0,0.0,122.88018079591612
1313,1,WM,shuffled,ncr,0.2138630430943273,113.1649976552853,112.47013656406315,0.23477882666990632,0.10996352569958011,0.2550642112808318,0.27101528099941,58.09483623171473,56.99921531706002,0.057152237905082726,roi_incident,10,1000.0,0.0,roi_incident,10,1000.0,0.0,0.85,0.15000000000000002,0.5,0.6105363017576423,0.8442887805814802,0.27101528099940997,0.05715223790508267,1000.0,0.0,62.324768167070765
