system_a,system_b,pair_name,n_seeds,median_score,mean_score,std_score,min_score,max_score,normalized_score
VIS,VIS,VIS,5,0.3,0.33,0.14338758663147935,0.12,0.5,0.2564102564102564
VIS,SM,SM-VIS,5,0.1,0.174,0.12419339757008019,0.04,0.38,0.0
VIS,DAN,DAN-VIS,5,0.5,0.49800000000000005,0.13029197979921864,0.28,0.64,0.5128205128205129
VIS,VAN,VAN-VIS,5,0.4,0.41800000000000004,0.14400000000000002,0.2,0.62,0.38461538461538464
VIS,LIMBIC,LIMBIC-VIS,5,0.2,0.198,0.11142710621747295,0.05,0.34,0.12820512820512822
VIS,FPN,FPN-VIS,5,0.7,0.61,0.13023056476879763,0.38,0.72,0.7692307692307692
VIS,DMN,DMN-VIS,5,0.4,0.30999999999999994,0.16272676485446394,0.08,0.48,0.38461538461538464
VIS,SUBCORTICAL,SUBCORTICAL-VIS,5,0.3,0.306,0.10650821564555477,0.14,0.42,0.2564102564102564
VIS,CEREBELLAR,CEREBELLAR-VIS,5,0.3,0.326,0.14527215837867904,0.1,0.55,0.2564102564102564
SM,SM,SM,5,0.1,0.152,0.11788129622633099,0.04,0.35,0.0
SM,DAN,DAN-SM,5,0.2,0.25,0.1475127113166862,0.08,0.5,0.12820512820512822
SM,VAN,SM-VAN,5,0.1,0.19599999999999998,0.13350655414622908,0.08,0.42,0.0
SM,LIMBIC,LIMBIC-SM,5,0.1,0.152,0.09431860898041275,0.04,0.3,0.0
SM,FPN,FPN-SM,5,0.2,0.29600000000000004,0.1546091847207015,0.14,0.56,0.12820512820512822
SM,DMN,DMN-SM,5,0.1,0.184,0.1346996659238619,0.04,0.4,0.0
SM,SUBCORTICAL,SM-SUBCORTICAL,5,0.2,0.29599999999999993,0.13705473359209452,0.16,0.5,0.12820512820512822
SM,CEREBELLAR,CEREBELLAR-SM,5,0.3,0.342,0.14783774890061063,0.14,0.54,0.2564102564102564
DAN,DAN,DAN,5,0.55,0.61,0.11730302638892144,0.5,0.78,0.576923076923077
DAN,VAN,DAN-VAN,5,0.7,0.7,0.045607017003965515,0.62,0.76,0.7692307692307692
DAN,LIMBIC,DAN-LIMBIC,5,0.2,0.236,0.1207642331156042,0.08,0.4,0.12820512820512822
DAN,FPN,DAN-FPN,5,0.88,0.8459999999999999,0.06183849933496123,0.75,0.92,1.0
DAN,DMN,DAN-DMN,5,0.5,0.514,0.14691494137765568,0.3,0.7,0.5128205128205129
DAN,SUBCORTICAL,DAN-SUBCORTICAL,5,0.58,0.562,0.08009993757800314,0.45,0.68,0.6153846153846153
DAN,CEREBELLAR,CEREBELLAR-DAN,5,0.35,0.39,0.1515255753990065,0.18,0.6,0.3205128205128205
VAN,VAN,VAN,5,0.4,0.45599999999999996,0.07709734106958555,0.38,0.55,0.38461538461538464
VAN,LIMBIC,LIMBIC-VAN,5,0.2,0.22199999999999998,0.1043839068055991,0.08,0.36,0.12820512820512822
VAN,FPN,FPN-VAN,5,0.72,0.718,0.025612496949731386,0.68,0.75,0.7948717948717948
VAN,DMN,DMN-VAN,5,0.5,0.398,0.13362634470792054,0.22,0.52,0.5128205128205129
VAN,SUBCORTICAL,SUBCORTICAL-VAN,5,0.45,0.43200000000000005,0.12383860464330175,0.28,0.58,0.4487179487179487
VAN,CEREBELLAR,CEREBELLAR-VAN,5,0.3,0.30799999999999994,0.13422369388450012,0.14,0.52,0.2564102564102564
LIMBIC,LIMBIC,LIMBIC,5,0.1,0.172,0.09682974749528164,0.08,0.3,0.0
LIMBIC,FPN,FPN-LIMBIC,5,0.3,0.308,0.10777754868245984,0.18,0.44,0.2564102564102564
LIMBIC,DMN,DMN-LIMBIC,5,0.3,0.322,0.08772684879784523,0.22,0.46,0.2564102564102564
LIMBIC,SUBCORTICAL,LIMBIC-SUBCORTICAL,5,0.3,0.348,0.08818163074019442,0.24,0.48,0.2564102564102564
LIMBIC,CEREBELLAR,CEREBELLAR-LIMBIC,5,0.15,0.184,0.0976933979345585,0.08,0.34,0.06410256410256408
FPN,FPN,FPN,5,0.85,0.844,0.08912911982062878,0.7,0.95,0.9615384615384615
FPN,DMN,DMN-FPN,5,0.88,0.736,0.20915066339842195,0.4,0.92,1.0
FPN,SUBCORTICAL,FPN-SUBCORTICAL,5,0.82,0.77,0.09338094023943001,0.6,0.85,0.923076923076923
FPN,CEREBELLAR,CEREBELLAR-FPN,5,0.6,0.564,0.14333178293735133,0.32,0.72,0.641025641025641
DMN,DMN,DMN,5,0.5,0.41,0.2043526363911168,0.15,0.62,0.5128205128205129
DMN,SUBCORTICAL,DMN-SUBCORTICAL,5,0.3,0.31599999999999995,0.13937001112147476,0.14,0.52,0.2564102564102564
DMN,CEREBELLAR,CEREBELLAR-DMN,5,0.3,0.30200000000000005,0.15954936540143305,0.08,0.55,0.2564102564102564
SUBCORTICAL,SUBCORTICAL,SUBCORTICAL,5,0.62,0.564,0.0989141041510259,0.4,0.65,0.6666666666666666
SUBCORTICAL,CEREBELLAR,CEREBELLAR-SUBCORTICAL,5,0.4,0.43200000000000005,0.06997142273814361,0.34,0.54,0.38461538461538464
CEREBELLAR,CEREBELLAR,CEREBELLAR,5,0.3,0.376,0.14987995196156156,0.18,0.58,0.2564102564102564
