system_a,system_b,pair_name,n_seeds,median_score,mean_score,std_score,min_score,max_score,normalized_score
VIS,VIS,VIS,0,0.0024218440838939,0.0024218440838939,0.0,0.0024218440838939,0.0024218440838939,0.0
VIS,SM,VIS-SM,0,0.0057057623816626,0.0057057623816626,0.0,0.0057057623816626,0.0057057623816626,0.0035888653357125
VIS,DATN,VIS-DATN,0,0.0475346260387811,0.0475346260387811,0.0,0.0475346260387811,0.0475346260387811,0.0493019876485546
VIS,LIMBIC,VIS-LIMBIC,0,0.0294013228560121,0.0294013228560121,0.0,0.0294013228560121,0.0294013228560121,0.0294848127636543
VIS,FPN,VIS-FPN,0,0.0048753462603878,0.0048753462603878,0.0,0.0048753462603878,0.0048753462603878,0.0026813361703599
VIS,DMN,VIS-DMN,0,0.0249687376335575,0.0249687376335575,0.0,0.0249687376335575,0.0249687376335575,0.0246406144584565
VIS,VAS,VIS-VAS,0,0.0269595040232159,0.0269595040232159,0.0,0.0269595040232159,0.0269595040232159,0.0268162448607723
VIS,SUBCORTICAL,VIS-SUBCORTICAL,0,0.0151483973090621,0.0151483973090621,0.0,0.0151483973090621,0.0151483973090621,0.0139083501998027
VIS,CEREBELLAR,VIS-CEREBELLAR,0,0.0185437277404036,0.0185437277404036,0.0,0.0185437277404036,0.0185437277404036,0.0176189734807203
SM,SM,SM,0,0.0120818239931813,0.0120818239931813,0.0,0.0120818239931813,0.0120818239931813,0.0105570126588342
SM,DATN,SM-DATN,0,0.1101385041551246,0.1101385041551246,0.0,0.1101385041551246,0.1101385041551246,0.1177193073503208
SM,LIMBIC,SM-LIMBIC,0,0.0681233447992451,0.0681233447992451,0.0,0.0681233447992451,0.0681233447992451,0.071802589784841
SM,FPN,SM-FPN,0,0.011296256836423,0.011296256836423,0.0,0.011296256836423,0.011296256836423,0.0096984971654128
SM,DMN,SM-DMN,0,0.0578529725122523,0.0578529725122523,0.0,0.0578529725122523,0.0578529725122523,0.0605785032688348
SM,VAS,SM-VAS,0,0.0624656107204583,0.0624656107204583,0.0,0.0624656107204583,0.0624656107204583,0.0656194744107972
