roi_index,roi_label,system,winning_network,winning_overlap_fraction,n_voxels,overlap_VIS,overlap_SM,overlap_DATN,overlap_LIMBIC,overlap_FPN,overlap_DMN,overlap_VAS
1,Precentral_L,SM,SM,0.3741,3526,0,1319,811,105,0,332,78
2,Precentral_R,SM,SM,0.4818,3381,0,1629,442,228,0,166,0
3,Frontal_Sup_L,VAS,VAS,0.4454,3599,0,107,334,163,1,329,1603
4,Frontal_Sup_R,VAS,VAS,0.3129,4056,0,336,426,169,4,840,1269
5,Frontal_Sup_Orb_L,FPN,FPN,0.5826,963,0,0,0,0,561,56,162
6,Frontal_Sup_Orb_R,FPN,FPN,0.5787,997,0,0,0,0,577,247,7
7,Frontal_Mid_L,DMN,DMN,0.3928,4863,0,1,220,555,0,1910,1201
8,Frontal_Mid_R,DMN,DMN,0.6373,5104,0,26,170,447,0,3253,314
9,Frontal_Mid_Orb_L,DMN,DMN,0.4324,888,0,0,0,8,215,384,139
10,Frontal_Mid_Orb_R,DMN,DMN,0.6414,1015,0,0,0,0,149,651,40
11,Frontal_Inf_Oper_L,DMN,DMN,0.3044,1038,0,4,50,271,0,316,149
12,Frontal_Inf_Oper_R,DMN,DMN,0.3374,1399,0,4,275,314,0,472,15
13,Frontal_Inf_Tri_L,DMN,DMN,0.4444,2529,0,0,0,153,0,1124,682
14,Frontal_Inf_Tri_R,DMN,DMN,0.4254,2151,0,0,29,245,0,915,279
15,Frontal_Inf_Orb_L,VAS,VAS,0.5473,1690,0,0,0,14,351,122,925
16,Frontal_Inf_Orb_R,VAS,VAS,0.382,1707,0,1,0,33,277,260,652
17,Rolandic_Oper_L,SM,SM,0.5949,990,0,589,0,270,0,1,0
18,Rolandic_Oper_R,SM,SM,0.5718,1331,0,761,2,352,0,0,0
19,Supp_Motor_Area_L,LIMBIC,LIMBIC,0.2776,2147,0,533,32,596,0,202,309
20,Supp_Motor_Area_R,SM,SM,0.3416,2371,0,810,0,677,0,129,139
21,Olfactory_L,FPN,FPN,0.4036,280,0,0,0,0,113,0,10
22,Olfactory_R,FPN,FPN,0.4775,289,0,0,0,0,138,0,10
23,Frontal_Sup_Medial_L,VAS,VAS,0.6427,2992,0,0,0,40,1,300,1923
24,Frontal_Sup_Medial_R,VAS,VAS,0.6903,2134,0,0,0,12,3,223,1473
25,Frontal_Med_Orb_L,VAS,VAS,0.6064,719,0,0,0,0,153,0,436
26,Frontal_Med_Orb_R,VAS,VAS,0.6273,856,0,0,0,0,184,1,537
27,Rectus_L,FPN,FPN,0.8016,852,0,0,0,0,683,0,59
28,Rectus_R,FPN,FPN,0.7638,745,0,0,0,0,569,0,74
29,Insula_L,LIMBIC,LIMBIC,0.556,1858,0,241,0,1033,26,160,92
30,Insula_R,LIMBIC,LIMBIC,0.5469,1770,0,434,0,968,14,101,118
31,Cingulum_Ant_L,VAS,VAS,0.605,1400,0,0,0,190,27,185,847
32,Cingulum_Ant_R,VAS,VAS,0.5819,1313,0,0,0,116,2,219,764
33,Cingulum_Mid_L,LIMBIC,LIMBIC,0.3879,1941,0,375,1,753,0,99,506
34,Cingulum_Mid_R,LIMBIC,LIMBIC,0.4212,2203,0,337,8,928,0,372,335
35,Cingulum_Post_L,VAS,VAS,0.6695,463,0,0,0,0,0,10,310
36,Cingulum_Post_R,VAS,VAS,0.4716,335,0,0,0,0,0,15,158
37,Hippocampus_L,SUBCORTICAL,SUBCORTICAL,1.0,932,0,0,0,0,0,0,0
38,Hippocampus_R,SUBCORTICAL,SUBCORTICAL,1.0,946,0,0,0,0,0,0,0
39,ParaHippocampal_L,SUBCORTICAL,SUBCORTICAL,1.0,978,0,0,0,0,0,0,0
