task,seed,fold,model,pearson,rmse,mae,oof_r,eta
WM,2727,0,A0,0.09705296314497544,12.013111177465605,10.065463391357431,0.3419342409012627,
WM,2727,0,A1,0.09849199233923966,11.951089098805214,10.007908920073577,0.3422186927769618,0.05
WM,2727,0,A2,0.09849199233923966,11.951089098805214,10.007908920073577,0.3422186927769618,0.05
WM,2727,0,A3,0.09705296314497544,12.013111177465605,10.065463391357431,0.3419342409012627,0.0
WM,2727,0,A4,0.09705296314497544,12.013111177465605,10.065463391357431,0.3419342409012627,0.0
WM,2727,0,A5,0.09705296314497544,12.013111177465605,10.065463391357431,0.3419342409012627,0.0
WM,2727,0,A6,0.09705296314497544,12.013111177465605,10.065463391357431,0.3419342409012627,0.0
WM,2727,1,A0,0.31596632721093987,10.324182970963225,8.154439046134307,0.19512975013611655,
WM,2727,1,A1,0.3178951030406515,10.277045418172012,8.10578419722441,0.19554814901729306,0.05
WM,2727,1,A2,0.3178951030406515,10.277045418172012,8.10578419722441,0.19554814901729306,0.05
WM,2727,1,A3,0.31596632721093987,10.324182970963225,8.154439046134307,0.19512975013611655,0.0
WM,2727,1,A4,0.31596632721093987,10.324182970963225,8.154439046134307,0.19512975013611655,0.0
WM,2727,1,A5,0.27075192455121744,10.308918106901912,8.051634696128438,0.19927084343072715,0.35000000000000003
WM,2727,1,A6,0.31596632721093987,10.324182970963225,8.154439046134307,0.19512975013611655,0.0
WM,2727,2,A0,0.3559326307178292,11.35012582705554,9.163822540228994,0.26361873537952624,
WM,2727,2,A1,0.3249368525989098,11.352993522080538,9.090552694844048,0.28626247918870873,0.25
WM,2727,2,A2,0.3249368525989098,11.352993522080538,9.090552694844048,0.28626247918870873,0.25
WM,2727,2,A3,0.35297378400934937,11.29167828904811,9.09049052388305,0.26370608458740863,0.1
WM,2727,2,A4,0.3080130660432876,11.412500294693102,9.104658394365874,0.2690437681414061,0.35000000000000003
WM,2727,2,A5,0.354779162847452,11.229053078647382,8.980181607995647,0.26610441780702254,0.25
WM,2727,2,A6,0.31569755821042306,11.421294091705636,9.041487229171869,0.3016089001662917,0.5
WM,2727,3,A0,0.3739025115362964,10.852725304217945,9.05662063654542,0.0731845577308198,
WM,2727,3,A1,0.36478365163118714,10.841548848660317,9.079230204712132,0.07891380312009558,0.2
WM,2727,3,A2,0.36478365163118714,10.841548848660317,9.079230204712132,0.07891380312009558,0.2
WM,2727,3,A3,0.3739025115362964,10.852725304217945,9.05662063654542,0.0731845577308198,0.0
WM,2727,3,A4,0.3739025115362964,10.852725304217945,9.05662063654542,0.0731845577308198,0.0
WM,2727,3,A5,0.3739025115362964,10.852725304217945,9.05662063654542,0.0731845577308198,0.0
WM,2727,3,A6,0.37097766279535144,10.870176794774862,9.069178195829286,0.07457172561776748,0.25
WM,2727,4,A0,0.18644107195981782,11.249105258401507,9.337029236092908,0.24144888694468136,
WM,2727,4,A1,0.18741596561799492,11.243651470784728,9.314650970093263,0.24259574089985558,0.05
WM,2727,4,A2,0.18741596561799492,11.243651470784728,9.314650970093263,0.24259574089985558,0.05
WM,2727,4,A3,0.18644107195981782,11.249105258401507,9.337029236092908,0.24144888694468136,0.0
WM,2727,4,A4,0.18644107195981782,11.249105258401507,9.337029236092908,0.24144888694468136,0.0
WM,2727,4,A5,0.18644107195981782,11.249105258401507,9.337029236092908,0.24144888694468136,0.0
