model,task,seed,fold,recon_err,abstained
C0,WM,4343,0,3.885780586188048e-15,True
C0,WM,4343,1,5.662137425588298e-15,False
C0,WM,4343,2,3.552713678800501e-15,True
C0,WM,4343,3,2.4424906541753444e-15,False
C0,WM,4343,4,3.3306690738754696e-15,True
C0,WM,4444,0,1.021405182655144e-14,True
C0,WM,4444,1,4.218847493575595e-15,True
C0,WM,4444,2,9.769962616701378e-15,True
C0,WM,4444,3,3.219646771412954e-15,True
C0,WM,4444,4,3.219646771412954e-15,True
C0,WM,4545,0,1.1324274851176597e-14,False
C0,WM,4545,1,2.9976021664879227e-15,True
C0,WM,4545,2,8.770761894538737e-15,False
C0,WM,4545,3,1.021405182655144e-14,False
C0,WM,4545,4,3.219646771412954e-15,True
C0,WM,4646,0,1.687538997430238e-14,True
C0,WM,4646,1,2.9976021664879227e-15,True
C0,WM,4646,2,2.886579864025407e-15,True
C0,WM,4646,3,3.5180192092809648e-15,True
C0,WM,4646,4,2.3869795029440866e-15,True
C0,FI,4343,0,4.551914400963142e-15,True
C0,FI,4343,1,5.995204332975845e-15,False
C0,FI,4343,2,3.2751579226442118e-15,False
C0,FI,4343,3,5.995204332975845e-15,False
C0,FI,4343,4,2.9976021664879227e-15,False
C0,FI,4444,0,7.549516567451064e-15,False
C0,FI,4444,1,5.218048215738236e-15,False
C0,FI,4444,2,1.1435297153639112e-14,False
C0,FI,4444,3,3.552713678800501e-15,True
C0,FI,4444,4,3.219646771412954e-15,False
C0,FI,4545,0,9.325873406851315e-15,True
C0,FI,4545,1,4.218847493575595e-15,True
C0,FI,4545,2,1.1546319456101628e-14,False
C0,FI,4545,3,7.771561172376096e-15,False
C0,FI,4545,4,5.10702591327572e-15,False
C0,FI,4646,0,7.549516567451064e-15,False
C0,FI,4646,1,4.551914400963142e-15,True
C0,FI,4646,2,7.438494264988549e-15,True
C0,FI,4646,3,5.523359547510154e-15,True
C0,FI,4646,4,4.884981308350689e-15,False
C1,WM,4343,0,5.2735593669694936e-15,False
C1,WM,4343,1,4.399258735077183e-15,False
C1,WM,4343,2,2.1649348980190553e-15,True
C1,WM,4343,3,5.329070518200751e-15,False
C1,WM,4343,4,1.7208456881689926e-15,False
C1,WM,4444,0,3.9968028886505635e-15,True
C1,WM,4444,1,8.881784197001252e-15,False
C1,WM,4444,2,2.7200464103316335e-15,False
C1,WM,4444,3,1.3010426069826053e-17,False
C1,WM,4444,4,1.4432899320127035e-15,True
C1,WM,4545,0,8.659739592076221e-15,False
C1,WM,4545,1,1.887379141862766e-15,True
C1,WM,4545,2,3.566591466608315e-15,False
C1,WM,4545,3,1.4876988529977098e-14,True
C1,WM,4545,4,2.9976021664879227e-15,False
C1,WM,4646,0,2.7755575615628914e-15,True
C1,WM,4646,1,6.8833827526759706e-15,False
C1,WM,4646,2,1.1546319456101628e-14,False
C1,WM,4646,3,1.2212453270876722e-15,True
C1,WM,4646,4,9.492406860545088e-15,False
C1,FI,4343,0,6.661338147750939e-15,True
C1,FI,4343,1,8.881784197001252e-15,True
C1,FI,4343,2,3.6637359812630166e-15,False
C1,FI,4343,3,6.661338147750939e-15,False
C1,FI,4343,4,2.6645352591003757e-15,False
C1,FI,4444,0,5.440092820663267e-15,False
C1,FI,4444,1,5.773159728050814e-15,True
C1,FI,4444,2,1.582067810090848e-15,False
C1,FI,4444,3,3.0357660829594124e-17,True
C1,FI,4444,4,2.581268532253489e-15,False
C1,FI,4545,0,8.104628079763643e-15,True
C1,FI,4545,1,1.1657341758564144e-15,False
C1,FI,4545,2,5.218048215738236e-15,False
C1,FI,4545,3,6.661338147750939e-15,False
C1,FI,4545,4,3.9968028886505635e-15,False
C1,FI,4646,0,3.552713678800501e-15,False
C1,FI,4646,1,5.773159728050814e-15,False
C1,FI,4646,2,9.325873406851315e-15,True
C1,FI,4646,3,1.9984014443252818e-15,False
C1,FI,4646,4,1.554312234475219e-14,False
