model,task,seed,fold,recon_err,abstained
C0,WM,3939,0,1.2656542480726785e-14,True
C0,WM,3939,1,1.454392162258955e-14,False
C0,WM,3939,2,1.0880185641326534e-14,False
C0,WM,3939,3,1.2434497875801753e-14,False
C0,WM,3939,4,9.825473767932635e-15,False
C0,WM,4040,0,2.9976021664879227e-15,False
C0,WM,4040,1,1.4210854715202004e-14,False
C0,WM,4040,2,3.6637359812630166e-15,False
C0,WM,4040,3,1.0519363158323358e-14,True
C0,WM,4040,4,4.9960036108132044e-15,False
C0,WM,4141,0,8.076872504148014e-15,True
C0,WM,4141,1,8.43769498715119e-15,False
C0,WM,4141,2,7.244205235679146e-15,True
C0,WM,4141,3,5.995204332975845e-15,False
C0,WM,4141,4,7.549516567451064e-15,False
C0,WM,4242,0,1.4210854715202004e-14,False
C0,WM,4242,1,8.215650382226158e-15,True
C0,WM,4242,2,5.162537064506978e-15,True
C0,WM,4242,3,8.215650382226158e-15,True
C0,WM,4242,4,1.176836406102666e-14,True
C0,FI,3939,0,9.2148511043888e-15,False
C0,FI,3939,1,1.1102230246251565e-14,False
C0,FI,3939,2,1.2490009027033011e-14,True
C0,FI,3939,3,7.993605777301127e-15,False
C0,FI,3939,4,9.325873406851315e-15,False
C0,FI,4040,0,4.107825191113079e-15,False
C0,FI,4040,1,9.103828801926284e-15,False
C0,FI,4040,2,3.9968028886505635e-15,True
C0,FI,4040,3,7.993605777301127e-15,False
C0,FI,4040,4,6.217248937900877e-15,False
C0,FI,4141,0,9.992007221626409e-15,False
C0,FI,4141,1,8.881784197001252e-15,False
C0,FI,4141,2,5.745404152435185e-15,False
C0,FI,4141,3,7.327471962526033e-15,False
C0,FI,4141,4,6.8833827526759706e-15,False
C0,FI,4242,0,1.2656542480726785e-14,True
C0,FI,4242,1,9.547918011776346e-15,False
C0,FI,4242,2,6.217248937900877e-15,False
C0,FI,4242,3,1.1102230246251565e-14,False
C0,FI,4242,4,1.1102230246251565e-14,False
C1,WM,3939,0,8.104628079763643e-15,False
C1,WM,3939,1,1.021405182655144e-14,False
C1,WM,3939,2,7.771561172376096e-15,False
C1,WM,3939,3,1.2434497875801753e-14,False
C1,WM,3939,4,9.769962616701378e-15,False
C1,WM,4040,0,7.993605777301127e-15,False
C1,WM,4040,1,9.325873406851315e-15,False
C1,WM,4040,2,1.1324274851176597e-14,False
C1,WM,4040,3,8.659739592076221e-15,False
C1,WM,4040,4,1.3988810110276972e-14,False
C1,WM,4141,0,8.43769498715119e-15,True
C1,WM,4141,1,7.41073868937292e-15,False
C1,WM,4141,2,5.773159728050814e-15,True
C1,WM,4141,3,1.2434497875801753e-14,True
C1,WM,4141,4,7.327471962526033e-15,True
C1,WM,4242,0,1.4210854715202004e-14,False
C1,WM,4242,1,4.107825191113079e-15,True
C1,WM,4242,2,9.325873406851315e-15,True
C1,WM,4242,3,8.215650382226158e-15,False
C1,WM,4242,4,9.769962616701378e-15,False
C1,FI,3939,0,1.1102230246251565e-14,False
C1,FI,3939,1,1.5765166949677223e-14,False
C1,FI,3939,2,6.938893903907228e-15,True
C1,FI,3939,3,9.547918011776346e-15,False
C1,FI,3939,4,7.882583474838611e-15,True
C1,FI,4040,0,2.248201624865942e-14,True
C1,FI,4040,1,1.4210854715202004e-14,False
C1,FI,4040,2,7.549516567451064e-15,False
C1,FI,4040,3,8.881784197001252e-15,False
C1,FI,4040,4,5.10702591327572e-15,False
C1,FI,4141,0,1.2212453270876722e-14,False
C1,FI,4141,1,1.1546319456101628e-14,False
C1,FI,4141,2,5.551115123125783e-15,False
C1,FI,4141,3,5.773159728050814e-15,False
C1,FI,4141,4,8.215650382226158e-15,False
C1,FI,4242,0,1.4654943925052066e-14,True
C1,FI,4242,1,6.661338147750939e-15,False
C1,FI,4242,2,1.2434497875801753e-14,False
C1,FI,4242,3,1.0436096431476471e-14,True
C1,FI,4242,4,1.0658141036401503e-14,False
