control,rank,roi_index_0based,roi_index_1based,roi_name,importance
cross_task,1,64,65,Angular_L,0.23355088899157708
cross_task,2,65,66,Angular_R,0.21629387095785724
cross_task,3,58,59,Parietal_Sup_L,0.21527335084690338
cross_task,4,63,64,SupraMarginal_R,0.21117738608570977
cross_task,5,2,3,Frontal_Sup_L,0.19762511169705244
cross_task,6,7,8,Frontal_Mid_R,0.19630901865209432
cross_task,7,6,7,Frontal_Mid_L,0.18698048896449843
cross_task,8,62,63,SupraMarginal_L,0.1762498711168739
cross_task,9,59,60,Parietal_Sup_R,0.1735445769712498
cross_task,10,3,4,Frontal_Sup_R,0.17085748107345824
shuffled,1,78,79,Heschl_L,0.1486310401090722
shuffled,2,15,16,Frontal_Inf_Orb_R,0.14309258609670794
shuffled,3,89,90,Temporal_Inf_R,0.14151549554008633
shuffled,4,95,96,Cerebelum_3_R,0.13831992060566695
shuffled,5,113,114,Vermis_8,0.13775661883706225
shuffled,6,103,104,Cerebelum_8_R,0.13746175796989554
shuffled,7,52,53,Occipital_Inf_L,0.12398269398941356
shuffled,8,38,39,ParaHippocampal_L,0.12391994987906017
shuffled,9,18,19,Supp_Motor_Area_L,0.12168613317702778
shuffled,10,80,81,Temporal_Sup_L,0.12102309170387483
random,1,101,102,Cerebelum_7b_R,0.24661365142515282
random,2,32,33,Cingulum_Mid_L,0.23206381110374047
random,3,23,24,Frontal_Sup_Medial_R,0.22655699647546168
random,4,74,75,Pallidum_L,0.21685186923804498
random,5,104,105,Cerebelum_9_L,0.19164914404461544
random,6,84,85,Temporal_Mid_L,0.1579704716517584
random,7,65,66,Angular_R,0.15057048971299838
random,8,26,27,Rectus_L,0.1430102364004702
random,9,92,93,Cerebelum_Crus2_L,0.14120960276697192
random,10,59,60,Parietal_Sup_R,0.13991211273732607
matched_ridge,1,7,8,Frontal_Mid_R,0.16691251301414775
matched_ridge,2,2,3,Frontal_Sup_L,0.16234603465326983
matched_ridge,3,6,7,Frontal_Mid_L,0.1598806475993131
matched_ridge,4,3,4,Frontal_Sup_R,0.15761568427086314
matched_ridge,5,59,60,Parietal_Sup_R,0.1455987817618032
matched_ridge,6,64,65,Angular_L,0.12153568990391045
matched_ridge,7,65,66,Angular_R,0.10757402844379158
matched_ridge,8,58,59,Parietal_Sup_L,0.10495819043377541
matched_ridge,9,63,64,SupraMarginal_R,0.09932382004255451
matched_ridge,10,80,81,Temporal_Sup_L,0.09219081708033623
