rank,roi_index_0based,roi_index_1based,roi_name,importance
1,6,7,Frontal_Mid_L,0.28802503576640154
2,7,8,Frontal_Mid_R,0.2793835935665285
3,3,4,Frontal_Sup_R,0.2748705539777578
4,2,3,Frontal_Sup_L,0.26419906132553056
5,59,60,Parietal_Sup_R,0.2551762357434345
6,64,65,Angular_L,0.23740307110779016
7,63,64,SupraMarginal_R,0.2057075389962864
8,80,81,Temporal_Sup_L,0.19829890848986673
9,11,12,Frontal_Inf_Oper_R,0.1955246031845289
10,60,61,Parietal_Inf_L,0.17127878740122954
11,65,66,Angular_R,0.12828343513967982
12,58,59,Parietal_Sup_L,0.12676840453735141
13,61,62,Parietal_Inf_R,0.10914905724590643
14,10,11,Frontal_Inf_Oper_L,0.1032486263194559
15,62,63,SupraMarginal_L,0.09338532578144276
16,115,116,Vermis_10,0.041751640495122054
17,105,106,Cerebelum_9_R,0.03783973942731493
18,13,14,Frontal_Inf_Tri_R,0.03644654548838798
19,103,104,Cerebelum_8_R,0.03642779748981409
20,57,58,Postcentral_R,0.03638244796174837
21,113,114,Vermis_8,0.03624648992937768
22,67,68,Precuneus_R,0.03622072978207012
23,24,25,Frontal_Med_Orb_L,0.03531130269196928
24,35,36,Cingulum_Post_R,0.03488273719588901
25,68,69,Paracentral_Lobule_L,0.034239645193899985
26,89,90,Temporal_Inf_R,0.03383708307302066
27,39,40,ParaHippocampal_R,0.033463650027203966
28,97,98,Cerebelum_4_5_R,0.03308104203670869
29,28,29,Insula_L,0.03305822577863997
30,21,22,Olfactory_R,0.03303484533638168
31,8,9,Frontal_Mid_Orb_L,0.031692888808818334
32,12,13,Frontal_Inf_Tri_L,0.030653035135072573
33,56,57,Postcentral_L,0.03064912908039926
34,83,84,Temporal_Pole_Sup_R,0.030441367354736078
35,79,80,Heschl_R,0.03029671296819402
36,69,70,Paracentral_Lobule_R,0.03015839161878519
37,78,79,Heschl_L,0.02980528425596805
38,109,110,Vermis_3,0.02978744125755822
39,15,16,Frontal_Inf_Orb_R,0.029692233529634647
40,5,6,Frontal_Sup_Orb_R,0.029635514102886364
41,9,10,Frontal_Mid_Orb_R,0.029471831487433982
